,2007-2011,2017-2022,2012-2016,2001-2006
0,1.0,1.0,3.0,0.0
1,4.0,0.0,0.0,0.0
2,4.0,0.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,2.0,0.0,3.0,0.0
5,0.0,0.0,0.0,1.0
6,2.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.0,1.0,5.0,1.0
11,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,2.0,0.0,1.0,2.0
16,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,0.0,0.0,1.0,1.0
19,0.0,0.0,0.0,0.0
20,2.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,8.0,0.0,0.0,0.0
23,0.0,1.0,0.0,0.0
24,3.0,2.0,0.0,0.0
25,1.0,3.0,0.0,2.0
26,0.0,2.0,0.0,0.0
27,0.0,2.0,1.0,0.0
28,1.0,1.0,0.0,1.0
29,0.0,0.0,0.0,0.0
30,0.0,2.0,0.0,1.0
31,0.0,0.0,0.0,0.0
32,2.0,0.0,0.0,6.0
33,4.0,0.0,0.0,0.0
34,0.0,0.0,3.0,0.0
35,0.0,0.0,1.0,0.0
36,0.0,0.0,2.0,0.0
37,0.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,5.0,0.0
40,6.0,0.0,0.0,1.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,1.0,0.0,1.0,1.0
45,1.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,1.0,0.0,2.0,0.0
48,0.0,0.0,1.0,1.0
49,0.0,2.0,0.0,0.0
50,1.0,1.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,2.0,0.0,0.0,0.0
53,0.0,5.0,1.0,1.0
54,0.0,0.0,2.0,0.0
55,0.0,1.0,0.0,1.0
56,0.0,1.0,0.0,0.0
57,0.0,3.0,0.0,0.0
58,1.0,1.0,0.0,0.0
59,1.0,0.0,0.0,1.0
60,1.0,0.0,0.0,0.0
61,0.0,2.0,0.0,1.0
62,3.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,1.0
66,6.0,0.0,1.0,0.0
67,0.0,0.0,2.0,0.0
68,0.0,0.0,1.0,0.0
69,2.0,1.0,0.0,2.0
70,1.0,1.0,2.0,1.0
71,7.0,0.0,0.0,0.0
72,9.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,0.0,0.0,1.0,1.0
77,0.0,0.0,0.0,0.0
78,1.0,0.0,1.0,1.0
79,3.0,0.0,0.0,1.0
80,2.0,0.0,0.0,3.0
81,2.0,1.0,0.0,1.0
82,0.0,0.0,0.0,0.0
83,1.0,0.0,8.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,2.0,0.0,0.0,4.0
88,3.0,0.0,1.0,1.0
89,0.0,0.0,3.0,0.0
90,0.0,0.0,6.0,0.0
91,0.0,0.0,5.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,10.0,0.0
98,1.0,0.0,1.0,0.0
99,0.0,0.0,1.0,0.0
100,0.0,0.0,0.0,0.0
101,1.0,1.0,0.0,2.0
102,0.0,0.0,7.0,0.0
103,0.0,0.0,1.0,0.0
104,0.0,1.0,2.0,0.0
105,0.0,0.0,1.0,0.0
106,0.0,0.0,0.0,2.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,1.0
111,1.0,0.0,0.0,4.0
112,0.0,0.0,0.0,0.0
113,0.0,3.0,0.0,0.0
114,0.0,1.0,0.0,0.0
115,1.0,0.0,2.0,0.0
116,3.0,0.0,0.0,0.0
117,1.0,0.0,0.0,1.0
118,1.0,0.0,1.0,0.0
119,1.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,1.0,1.0,1.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,5.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,4.0,0.0,0.0,0.0
129,0.0,8.0,0.0,0.0
130,1.0,3.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,2.0,1.0,0.0,0.0
133,0.0,10.0,0.0,0.0
134,2.0,2.0,1.0,0.0
135,0.0,8.0,0.0,0.0
136,0.0,0.0,5.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,2.0,0.0,0.0
139,0.0,2.0,0.0,1.0
140,1.0,0.0,0.0,0.0
141,0.0,2.0,0.0,0.0
142,0.0,3.0,0.0,1.0
143,0.0,0.0,0.0,0.0
