,2007-2011,2017-2022,2012-2016,2001-2006
0,0.2,0.2,0.4,0.2
1,0.6,0.1,0.0,0.3
2,0.9,0.0,0.1,0.0
3,0.3,0.5,0.1,0.1
4,0.4,0.0,0.5,0.1
5,0.1,0.0,0.8,0.1
6,0.5,0.0,0.1,0.4
7,0.3,0.0,0.6,0.1
8,0.4,0.0,0.3,0.3
9,0.8,0.0,0.0,0.2
10,0.1,0.1,0.6,0.2
11,0.1,0.0,0.8,0.1
12,0.1,0.0,0.8,0.1
13,0.1,0.3,0.4,0.2
14,0.7,0.0,0.1,0.2
15,0.2,0.4,0.1,0.3
16,0.4,0.0,0.3,0.3
17,0.5,0.1,0.3,0.1
18,0.3,0.0,0.4,0.3
19,0.4,0.1,0.3,0.2
20,0.5,0.0,0.1,0.4
21,0.3,0.3,0.2,0.2
22,1.0,0.0,0.0,0.0
23,0.3,0.3,0.2,0.2
24,0.4,0.3,0.1,0.2
25,0.2,0.5,0.1,0.2
26,0.4,0.4,0.0,0.2
27,0.3,0.4,0.1,0.2
28,0.3,0.3,0.0,0.4
29,0.7,0.0,0.1,0.2
30,0.3,0.4,0.0,0.3
31,0.1,0.3,0.5,0.1
32,0.3,0.0,0.0,0.7
33,0.8,0.0,0.2,0.0
34,0.0,0.0,1.0,0.0
35,0.2,0.2,0.3,0.3
36,0.2,0.2,0.2,0.4
37,0.5,0.0,0.0,0.5
38,0.6,0.0,0.2,0.2
39,0.2,0.0,0.8,0.0
40,0.7,0.0,0.0,0.3
41,0.1,0.9,0.0,0.0
42,0.8,0.2,0.0,0.0
43,0.7,0.0,0.0,0.3
44,0.2,0.2,0.1,0.5
45,0.5,0.3,0.2,0.0
46,0.2,0.1,0.6,0.1
47,0.5,0.1,0.3,0.1
48,0.3,0.2,0.2,0.3
49,0.1,0.4,0.1,0.4
50,0.5,0.2,0.2,0.1
51,0.9,0.0,0.1,0.0
52,0.7,0.1,0.0,0.2
53,0.1,0.5,0.1,0.3
54,0.5,0.0,0.3,0.2
55,0.2,0.2,0.0,0.6
56,0.3,0.2,0.2,0.3
57,0.4,0.5,0.1,0.0
58,0.7,0.2,0.0,0.1
59,0.5,0.1,0.2,0.2
60,0.8,0.0,0.2,0.0
61,0.2,0.5,0.0,0.3
62,1.0,0.0,0.0,0.0
63,0.5,0.0,0.2,0.3
64,0.6,0.0,0.4,0.0
65,0.4,0.0,0.1,0.5
66,0.8,0.0,0.2,0.0
67,0.6,0.0,0.3,0.1
68,0.3,0.2,0.4,0.1
69,0.2,0.2,0.0,0.6
70,0.3,0.2,0.3,0.2
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.2,0.3,0.3,0.2
74,0.0,0.0,1.0,0.0
75,0.6,0.0,0.3,0.1
76,0.3,0.0,0.2,0.5
77,0.5,0.2,0.2,0.1
78,0.4,0.1,0.4,0.1
79,0.3,0.1,0.0,0.6
80,0.3,0.1,0.0,0.6
81,0.4,0.3,0.0,0.3
82,0.1,0.5,0.3,0.1
83,0.1,0.0,0.9,0.0
84,0.1,0.0,0.9,0.0
85,0.3,0.0,0.7,0.0
86,0.1,0.1,0.4,0.4
87,0.2,0.1,0.0,0.7
88,0.5,0.3,0.1,0.1
89,0.4,0.0,0.4,0.2
90,0.1,0.0,0.9,0.0
91,0.1,0.0,0.9,0.0
92,0.6,0.1,0.3,0.0
93,0.1,0.0,0.9,0.0
94,0.6,0.0,0.4,0.0
95,0.4,0.1,0.3,0.2
96,0.4,0.1,0.2,0.3
97,0.0,0.0,1.0,0.0
98,0.3,0.1,0.4,0.2
99,0.3,0.3,0.3,0.1
100,0.1,0.3,0.2,0.4
101,0.3,0.2,0.1,0.4
102,0.0,0.0,1.0,0.0
103,0.5,0.0,0.5,0.0
104,0.2,0.1,0.7,0.0
105,0.4,0.0,0.1,0.5
106,0.4,0.2,0.0,0.4
107,0.1,0.3,0.5,0.1
108,0.3,0.6,0.0,0.1
109,0.5,0.2,0.3,0.0
110,0.4,0.2,0.0,0.4
111,0.1,0.0,0.2,0.7
112,0.2,0.0,0.7,0.1
113,0.2,0.7,0.1,0.0
114,0.1,0.1,0.7,0.1
115,0.1,0.1,0.6,0.2
116,0.4,0.1,0.3,0.2
117,0.4,0.0,0.2,0.4
118,0.4,0.2,0.2,0.2
119,0.6,0.2,0.1,0.1
120,0.4,0.0,0.3,0.3
121,0.9,0.0,0.1,0.0
122,0.5,0.2,0.2,0.1
123,0.4,0.0,0.4,0.2
124,0.5,0.0,0.3,0.2
125,0.0,1.0,0.0,0.0
126,0.0,1.0,0.0,0.0
127,0.5,0.1,0.2,0.2
128,0.5,0.2,0.1,0.2
129,0.0,1.0,0.0,0.0
130,0.4,0.4,0.2,0.0
131,0.5,0.0,0.3,0.2
132,0.3,0.1,0.2,0.4
133,0.0,1.0,0.0,0.0
134,0.4,0.4,0.1,0.1
135,0.0,1.0,0.0,0.0
136,0.0,0.0,1.0,0.0
137,0.5,0.0,0.3,0.2
138,0.0,1.0,0.0,0.0
139,0.0,0.9,0.0,0.1
140,0.1,0.5,0.3,0.1
141,0.5,0.3,0.2,0.0
142,0.2,0.5,0.0,0.3
143,0.3,0.2,0.2,0.3
