,a-d,l-r,e-k,s-
0,0.1,0.6,0.1,0.2
1,0.6,0.3,0.1,0.0
2,0.0,0.5,0.4,0.1
3,0.2,0.4,0.3,0.1
4,0.7,0.0,0.0,0.3
5,0.2,0.5,0.2,0.1
6,0.2,0.4,0.3,0.1
7,0.2,0.5,0.1,0.2
8,0.3,0.3,0.3,0.1
9,0.3,0.2,0.2,0.3
10,0.0,0.2,0.4,0.4
11,0.2,0.5,0.2,0.1
12,0.1,0.5,0.3,0.1
13,0.4,0.1,0.3,0.2
14,0.2,0.3,0.3,0.2
15,0.0,0.4,0.4,0.2
16,0.3,0.3,0.3,0.1
17,0.2,0.3,0.4,0.1
18,0.0,0.0,0.5,0.5
19,0.0,0.3,0.4,0.3
20,0.4,0.2,0.2,0.2
21,0.2,0.4,0.0,0.4
22,0.7,0.0,0.3,0.0
23,0.4,0.1,0.1,0.4
24,0.2,0.4,0.2,0.2
25,0.1,0.1,0.1,0.7
26,0.2,0.0,0.4,0.4
27,0.3,0.1,0.2,0.4
28,0.4,0.3,0.1,0.2
29,0.2,0.2,0.4,0.2
30,0.3,0.0,0.3,0.4
31,0.4,0.2,0.3,0.1
32,0.6,0.1,0.3,0.0
33,0.1,0.2,0.6,0.1
34,0.5,0.2,0.3,0.0
35,0.1,0.1,0.1,0.7
36,0.2,0.3,0.2,0.3
37,0.4,0.1,0.2,0.3
38,0.1,0.2,0.4,0.3
39,0.4,0.2,0.2,0.2
40,0.4,0.5,0.0,0.1
41,0.0,0.3,0.4,0.3
42,0.2,0.6,0.1,0.1
43,0.0,0.5,0.5,0.0
44,0.5,0.3,0.1,0.1
45,0.4,0.5,0.1,0.0
46,0.3,0.1,0.3,0.3
47,0.0,0.0,0.6,0.4
48,0.1,0.0,0.8,0.1
49,0.3,0.5,0.2,0.0
50,0.1,0.1,0.6,0.2
51,0.1,0.2,0.1,0.6
52,0.4,0.3,0.2,0.1
53,0.1,0.3,0.2,0.4
54,0.4,0.2,0.3,0.1
55,0.0,0.8,0.2,0.0
56,0.2,0.4,0.4,0.0
57,0.3,0.6,0.1,0.0
58,0.4,0.1,0.3,0.2
59,0.5,0.2,0.3,0.0
60,0.1,0.9,0.0,0.0
61,0.2,0.0,0.2,0.6
62,1.0,0.0,0.0,0.0
63,0.1,0.2,0.2,0.5
64,0.1,0.3,0.3,0.3
65,0.1,0.6,0.0,0.3
66,1.0,0.0,0.0,0.0
67,0.1,0.9,0.0,0.0
68,0.1,0.4,0.0,0.5
69,0.2,0.4,0.1,0.3
70,0.0,1.0,0.0,0.0
71,0.2,0.4,0.2,0.2
72,0.2,0.4,0.3,0.1
73,0.4,0.2,0.2,0.2
74,0.1,0.3,0.3,0.3
75,0.0,0.0,0.9,0.1
76,0.3,0.5,0.1,0.1
77,0.2,0.3,0.3,0.2
78,0.3,0.1,0.5,0.1
79,0.4,0.4,0.0,0.2
80,0.4,0.4,0.0,0.2
81,0.2,0.3,0.3,0.2
82,0.4,0.1,0.2,0.3
83,0.2,0.2,0.1,0.5
84,0.4,0.2,0.2,0.2
85,0.1,0.1,0.7,0.1
86,0.4,0.4,0.1,0.1
87,0.1,0.3,0.3,0.3
88,0.1,0.9,0.0,0.0
89,0.3,0.2,0.3,0.2
90,0.5,0.1,0.1,0.3
91,0.3,0.4,0.3,0.0
92,0.7,0.0,0.2,0.1
93,0.1,0.5,0.0,0.4
94,0.2,0.4,0.2,0.2
95,0.3,0.4,0.3,0.0
96,0.1,0.4,0.3,0.2
97,0.1,0.2,0.4,0.3
98,0.0,0.0,0.8,0.2
99,0.0,0.4,0.0,0.6
100,0.2,0.4,0.1,0.3
101,0.1,0.3,0.1,0.5
102,0.0,0.0,0.0,1.0
103,0.0,0.7,0.1,0.2
104,0.5,0.4,0.1,0.0
105,0.1,0.1,0.1,0.7
106,0.7,0.1,0.0,0.2
107,0.4,0.4,0.2,0.0
108,0.1,0.2,0.5,0.2
109,0.0,0.3,0.6,0.1
110,0.1,0.6,0.2,0.1
111,0.3,0.4,0.2,0.1
112,0.0,1.0,0.0,0.0
113,0.3,0.1,0.2,0.4
114,0.4,0.2,0.3,0.1
115,0.1,0.6,0.0,0.3
116,0.5,0.2,0.2,0.1
117,0.1,0.5,0.4,0.0
118,0.0,0.4,0.2,0.4
119,0.2,0.2,0.5,0.1
120,0.3,0.3,0.3,0.1
121,0.3,0.3,0.3,0.1
122,0.1,0.1,0.0,0.8
123,0.4,0.1,0.4,0.1
124,0.4,0.2,0.3,0.1
125,0.1,0.3,0.1,0.5
126,0.3,0.2,0.5,0.0
127,0.4,0.1,0.1,0.4
128,0.4,0.2,0.3,0.1
129,0.2,0.4,0.2,0.2
130,0.1,0.3,0.4,0.2
131,0.4,0.2,0.3,0.1
132,0.4,0.4,0.2,0.0
133,0.0,0.1,0.9,0.0
134,0.3,0.6,0.1,0.0
135,0.2,0.3,0.2,0.3
136,0.1,0.3,0.4,0.2
137,0.4,0.2,0.3,0.1
138,0.3,0.1,0.5,0.1
139,0.0,0.1,0.0,0.9
140,0.3,0.1,0.4,0.2
141,0.3,0.3,0.1,0.3
142,0.3,0.1,0.2,0.4
143,0.2,0.1,0.1,0.6
