,Low,High,Medium-Low,Medium-High
0,0.7,0.0,0.3,0.0
1,0.9,0.0,0.1,0.0
2,0.5,0.0,0.4,0.1
3,0.7,0.0,0.3,0.0
4,0.9,0.0,0.1,0.0
5,0.8,0.0,0.1,0.1
6,0.3,0.0,0.5,0.2
7,0.8,0.0,0.1,0.1
8,0.7,0.0,0.3,0.0
9,1.0,0.0,0.0,0.0
10,0.7,0.0,0.3,0.0
11,0.8,0.0,0.0,0.2
12,0.8,0.0,0.0,0.2
13,0.8,0.0,0.1,0.1
14,0.9,0.0,0.1,0.0
15,0.8,0.0,0.0,0.2
16,0.7,0.0,0.3,0.0
17,0.8,0.0,0.2,0.0
18,0.8,0.0,0.2,0.0
19,0.9,0.0,0.1,0.0
20,0.9,0.1,0.0,0.0
21,0.9,0.0,0.1,0.0
22,1.0,0.0,0.0,0.0
23,0.9,0.0,0.1,0.0
24,1.0,0.0,0.0,0.0
25,0.7,0.0,0.3,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,0.8,0.0,0.2,0.0
29,0.8,0.0,0.2,0.0
30,1.0,0.0,0.0,0.0
31,0.8,0.0,0.0,0.2
32,0.9,0.0,0.1,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,0.6,0.1,0.1,0.2
36,0.5,0.0,0.5,0.0
37,0.7,0.0,0.2,0.1
38,0.7,0.1,0.2,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,0.4,0.2,0.3,0.1
44,0.4,0.1,0.2,0.3
45,0.6,0.0,0.3,0.1
46,0.9,0.0,0.0,0.1
47,0.8,0.0,0.2,0.0
48,1.0,0.0,0.0,0.0
49,0.6,0.1,0.3,0.0
50,0.9,0.0,0.0,0.1
51,1.0,0.0,0.0,0.0
52,0.8,0.0,0.2,0.0
53,0.3,0.2,0.2,0.3
54,0.7,0.0,0.3,0.0
55,0.8,0.0,0.1,0.1
56,0.6,0.1,0.2,0.1
57,0.9,0.0,0.1,0.0
58,0.8,0.0,0.2,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,0.6,0.0,0.2,0.2
62,0.8,0.0,0.2,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,0.4,0.0,0.4,0.2
66,0.8,0.0,0.2,0.0
67,0.3,0.1,0.2,0.4
68,1.0,0.0,0.0,0.0
69,0.2,0.3,0.2,0.3
70,0.2,0.2,0.3,0.3
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.5,0.0,0.4,0.1
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,0.5,0.0,0.2,0.3
77,0.9,0.0,0.1,0.0
78,0.8,0.0,0.2,0.0
79,0.5,0.0,0.5,0.0
80,0.5,0.0,0.5,0.0
81,1.0,0.0,0.0,0.0
82,0.9,0.0,0.0,0.1
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.7,0.0,0.2,0.1
87,0.4,0.1,0.3,0.2
88,0.1,0.1,0.1,0.7
89,0.7,0.0,0.3,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,0.7,0.0,0.3,0.0
93,1.0,0.0,0.0,0.0
94,0.9,0.0,0.1,0.0
95,0.9,0.0,0.1,0.0
96,0.3,0.1,0.4,0.2
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,0.9,0.0,0.0,0.1
100,0.5,0.0,0.4,0.1
101,0.8,0.0,0.0,0.2
102,1.0,0.0,0.0,0.0
103,0.5,0.0,0.3,0.2
104,0.8,0.0,0.2,0.0
105,0.9,0.0,0.1,0.0
106,0.8,0.0,0.2,0.0
107,0.5,0.0,0.4,0.1
108,1.0,0.0,0.0,0.0
109,0.9,0.0,0.1,0.0
110,0.6,0.2,0.2,0.0
111,0.9,0.0,0.0,0.1
112,0.1,0.7,0.0,0.2
113,1.0,0.0,0.0,0.0
114,0.9,0.0,0.0,0.1
115,0.5,0.1,0.4,0.0
116,1.0,0.0,0.0,0.0
117,0.8,0.0,0.2,0.0
118,0.4,0.0,0.5,0.1
119,0.8,0.0,0.2,0.0
120,0.7,0.0,0.3,0.0
121,0.8,0.0,0.2,0.0
122,0.8,0.0,0.1,0.1
123,0.7,0.0,0.3,0.0
124,0.7,0.0,0.3,0.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,0.7,0.0,0.3,0.0
128,0.7,0.0,0.3,0.0
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,0.7,0.0,0.3,0.0
132,0.7,0.0,0.3,0.0
133,1.0,0.0,0.0,0.0
134,0.8,0.0,0.1,0.1
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.7,0.0,0.3,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,1.0,0.0,0.0,0.0
142,1.0,0.0,0.0,0.0
143,0.6,0.0,0.4,0.0
