,Unknown,21st century,Pre-1900s,20th century
0,4.0,0.0,1.0,0.0
1,4.0,0.0,0.0,0.0
2,0.0,4.0,0.0,0.0
3,0.0,0.0,1.0,0.0
4,5.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,2.0,0.0,0.0,6.0
11,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,5.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,1.0,0.0
19,0.0,0.0,0.0,0.0
20,2.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,8.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,5.0,0.0,0.0,0.0
25,5.0,0.0,1.0,0.0
26,0.0,2.0,0.0,0.0
27,1.0,2.0,0.0,0.0
28,3.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,3.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,5.0,0.0,0.0,3.0
33,3.0,0.0,0.0,1.0
34,3.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,2.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,6.0,0.0,0.0,0.0
40,7.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,3.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,3.0
48,1.0,0.0,1.0,0.0
49,2.0,0.0,0.0,0.0
50,2.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,2.0,0.0,0.0,0.0
53,7.0,0.0,0.0,0.0
54,2.0,0.0,0.0,0.0
55,2.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,1.0,0.0,1.0
58,0.0,0.0,1.0,1.0
59,2.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,3.0,0.0,0.0,0.0
62,3.0,0.0,0.0,0.0
63,0.0,0.0,0.0,1.0
64,0.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,7.0,0.0,0.0,0.0
67,2.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,5.0,0.0,0.0,0.0
70,5.0,0.0,0.0,0.0
71,0.0,1.0,0.0,6.0
72,0.0,1.0,0.0,8.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,2.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,3.0,0.0,0.0,0.0
79,1.0,3.0,0.0,0.0
80,3.0,2.0,0.0,0.0
81,4.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,9.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,2.0,0.0,3.0,1.0
88,5.0,0.0,0.0,0.0
89,3.0,0.0,0.0,0.0
90,6.0,0.0,0.0,0.0
91,4.0,1.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,10.0,0.0,0.0,0.0
98,1.0,0.0,1.0,0.0
99,1.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,3.0,0.0,0.0,1.0
102,0.0,0.0,0.0,7.0
103,1.0,0.0,0.0,0.0
104,3.0,0.0,0.0,0.0
105,0.0,0.0,0.0,1.0
106,2.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,5.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,3.0,0.0,0.0,0.0
114,1.0,0.0,0.0,0.0
115,3.0,0.0,0.0,0.0
116,3.0,0.0,0.0,0.0
117,1.0,0.0,0.0,1.0
118,2.0,0.0,0.0,0.0
119,1.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,2.0,0.0,0.0,1.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,5.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,4.0,0.0,0.0,0.0
129,8.0,0.0,0.0,0.0
130,4.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,3.0,0.0,0.0,0.0
133,10.0,0.0,0.0,0.0
134,5.0,0.0,0.0,0.0
135,8.0,0.0,0.0,0.0
136,5.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,2.0,0.0,0.0,0.0
139,3.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,1.0,1.0,0.0,0.0
142,1.0,2.0,0.0,1.0
143,0.0,0.0,0.0,0.0
