,Unknown,21st century,Pre-1900s,20th century
0,0.7,0.0,0.3,0.0
1,0.8,0.2,0.0,0.0
2,0.1,0.9,0.0,0.0
3,0.7,0.1,0.2,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,0.5,0.0,0.0,0.5
7,0.8,0.0,0.2,0.0
8,0.9,0.0,0.1,0.0
9,1.0,0.0,0.0,0.0
10,0.3,0.0,0.0,0.7
11,0.9,0.0,0.0,0.1
12,0.9,0.0,0.0,0.1
13,1.0,0.0,0.0,0.0
14,0.7,0.0,0.3,0.0
15,1.0,0.0,0.0,0.0
16,0.9,0.0,0.1,0.0
17,0.7,0.0,0.3,0.0
18,0.3,0.0,0.7,0.0
19,0.9,0.0,0.0,0.1
20,1.0,0.0,0.0,0.0
21,0.5,0.0,0.5,0.0
22,1.0,0.0,0.0,0.0
23,0.2,0.0,0.7,0.1
24,1.0,0.0,0.0,0.0
25,0.9,0.0,0.1,0.0
26,0.2,0.6,0.0,0.2
27,0.2,0.6,0.0,0.2
28,1.0,0.0,0.0,0.0
29,0.7,0.0,0.3,0.0
30,0.1,0.7,0.0,0.2
31,1.0,0.0,0.0,0.0
32,0.6,0.0,0.0,0.4
33,0.9,0.0,0.0,0.1
34,1.0,0.0,0.0,0.0
35,0.8,0.0,0.0,0.2
36,1.0,0.0,0.0,0.0
37,0.9,0.0,0.1,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,0.9,0.0,0.1,0.0
42,1.0,0.0,0.0,0.0
43,0.2,0.7,0.0,0.1
44,0.5,0.0,0.1,0.4
45,0.7,0.0,0.1,0.2
46,0.3,0.0,0.1,0.6
47,0.2,0.0,0.1,0.7
48,0.3,0.0,0.6,0.1
49,0.8,0.1,0.1,0.0
50,0.9,0.0,0.0,0.1
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,0.8,0.0,0.2,0.0
55,0.7,0.0,0.2,0.1
56,0.8,0.0,0.1,0.1
57,0.4,0.1,0.0,0.5
58,0.5,0.1,0.2,0.2
59,0.7,0.0,0.1,0.2
60,1.0,0.0,0.0,0.0
61,0.8,0.0,0.2,0.0
62,1.0,0.0,0.0,0.0
63,0.4,0.0,0.3,0.3
64,1.0,0.0,0.0,0.0
65,0.9,0.1,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.9,0.1,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.1,0.0,0.9
72,0.0,0.1,0.0,0.9
73,0.9,0.0,0.0,0.1
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,0.6,0.0,0.2,0.2
78,0.8,0.0,0.2,0.0
79,0.6,0.3,0.0,0.1
80,0.6,0.3,0.0,0.1
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.9,0.0,0.1,0.0
87,0.4,0.1,0.3,0.2
88,1.0,0.0,0.0,0.0
89,0.9,0.0,0.1,0.0
90,1.0,0.0,0.0,0.0
91,0.9,0.1,0.0,0.0
92,0.7,0.0,0.0,0.3
93,1.0,0.0,0.0,0.0
94,0.8,0.0,0.2,0.0
95,0.7,0.0,0.2,0.1
96,0.7,0.2,0.0,0.1
97,1.0,0.0,0.0,0.0
98,0.3,0.1,0.1,0.5
99,0.6,0.0,0.0,0.4
100,0.9,0.0,0.1,0.0
101,0.9,0.0,0.0,0.1
102,0.0,0.0,0.0,1.0
103,1.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,0.6,0.1,0.0,0.3
106,0.9,0.0,0.1,0.0
107,0.8,0.0,0.0,0.2
108,0.7,0.0,0.1,0.2
109,0.7,0.0,0.2,0.1
110,0.9,0.0,0.0,0.1
111,1.0,0.0,0.0,0.0
112,0.6,0.0,0.2,0.2
113,1.0,0.0,0.0,0.0
114,0.8,0.1,0.0,0.1
115,0.8,0.0,0.0,0.2
116,0.7,0.0,0.0,0.3
117,0.7,0.0,0.1,0.2
118,0.7,0.2,0.0,0.1
119,1.0,0.0,0.0,0.0
120,0.9,0.0,0.1,0.0
121,0.6,0.0,0.0,0.4
122,0.6,0.0,0.3,0.1
123,0.8,0.0,0.2,0.0
124,0.8,0.0,0.2,0.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,0.9,0.0,0.0,0.1
129,1.0,0.0,0.0,0.0
130,0.9,0.0,0.1,0.0
131,0.8,0.0,0.2,0.0
132,0.9,0.0,0.0,0.1
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.8,0.0,0.2,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.8,0.2,0.0,0.0
142,0.2,0.6,0.0,0.2
143,0.9,0.0,0.0,0.1
