,s-,l-r,a-d,e-k
0,0.2,0.6,0.1,0.1
1,0.0,0.3,0.6,0.1
2,0.1,0.5,0.0,0.4
3,0.1,0.4,0.2,0.3
4,0.3,0.0,0.7,0.0
5,0.1,0.5,0.2,0.2
6,0.1,0.4,0.2,0.3
7,0.2,0.5,0.2,0.1
8,0.1,0.3,0.3,0.3
9,0.3,0.2,0.3,0.2
10,0.4,0.2,0.0,0.4
11,0.1,0.5,0.2,0.2
12,0.1,0.5,0.1,0.3
13,0.2,0.1,0.4,0.3
14,0.2,0.3,0.2,0.3
15,0.2,0.4,0.0,0.4
16,0.1,0.3,0.3,0.3
17,0.1,0.3,0.2,0.4
18,0.5,0.0,0.0,0.5
19,0.3,0.3,0.0,0.4
20,0.2,0.2,0.4,0.2
21,0.4,0.4,0.2,0.0
22,0.0,0.0,0.7,0.3
23,0.4,0.1,0.4,0.1
24,0.2,0.4,0.2,0.2
25,0.7,0.1,0.1,0.1
26,0.4,0.0,0.2,0.4
27,0.4,0.1,0.3,0.2
28,0.2,0.3,0.4,0.1
29,0.2,0.2,0.2,0.4
30,0.4,0.0,0.3,0.3
31,0.1,0.2,0.4,0.3
32,0.0,0.1,0.6,0.3
33,0.1,0.2,0.1,0.6
34,0.0,0.2,0.5,0.3
35,0.7,0.1,0.1,0.1
36,0.3,0.3,0.2,0.2
37,0.3,0.1,0.4,0.2
38,0.3,0.2,0.1,0.4
39,0.2,0.2,0.4,0.2
40,0.1,0.5,0.4,0.0
41,0.3,0.3,0.0,0.4
42,0.1,0.6,0.2,0.1
43,0.0,0.5,0.0,0.5
44,0.1,0.3,0.5,0.1
45,0.0,0.5,0.4,0.1
46,0.3,0.1,0.3,0.3
47,0.4,0.0,0.0,0.6
48,0.1,0.0,0.1,0.8
49,0.0,0.5,0.3,0.2
50,0.2,0.1,0.1,0.6
51,0.6,0.2,0.1,0.1
52,0.1,0.3,0.4,0.2
53,0.4,0.3,0.1,0.2
54,0.1,0.2,0.4,0.3
55,0.0,0.8,0.0,0.2
56,0.0,0.4,0.2,0.4
57,0.0,0.6,0.3,0.1
58,0.2,0.1,0.4,0.3
59,0.0,0.2,0.5,0.3
60,0.0,0.9,0.1,0.0
61,0.6,0.0,0.2,0.2
62,0.0,0.0,1.0,0.0
63,0.5,0.2,0.1,0.2
64,0.3,0.3,0.1,0.3
65,0.3,0.6,0.1,0.0
66,0.0,0.0,1.0,0.0
67,0.0,0.9,0.1,0.0
68,0.5,0.4,0.1,0.0
69,0.3,0.4,0.2,0.1
70,0.0,1.0,0.0,0.0
71,0.2,0.4,0.2,0.2
72,0.1,0.4,0.2,0.3
73,0.2,0.2,0.4,0.2
74,0.3,0.3,0.1,0.3
75,0.1,0.0,0.0,0.9
76,0.1,0.5,0.3,0.1
77,0.2,0.3,0.2,0.3
78,0.1,0.1,0.3,0.5
79,0.2,0.4,0.4,0.0
80,0.2,0.4,0.4,0.0
81,0.2,0.3,0.2,0.3
82,0.3,0.1,0.4,0.2
83,0.5,0.2,0.2,0.1
84,0.2,0.2,0.4,0.2
85,0.1,0.1,0.1,0.7
86,0.1,0.4,0.4,0.1
87,0.3,0.3,0.1,0.3
88,0.0,0.9,0.1,0.0
89,0.2,0.2,0.3,0.3
90,0.3,0.1,0.5,0.1
91,0.0,0.4,0.3,0.3
92,0.1,0.0,0.7,0.2
93,0.4,0.5,0.1,0.0
94,0.2,0.4,0.2,0.2
95,0.0,0.4,0.3,0.3
96,0.2,0.4,0.1,0.3
97,0.3,0.2,0.1,0.4
98,0.2,0.0,0.0,0.8
99,0.6,0.4,0.0,0.0
100,0.3,0.4,0.2,0.1
101,0.5,0.3,0.1,0.1
102,1.0,0.0,0.0,0.0
103,0.2,0.7,0.0,0.1
104,0.0,0.4,0.5,0.1
105,0.7,0.1,0.1,0.1
106,0.2,0.1,0.7,0.0
107,0.0,0.4,0.4,0.2
108,0.2,0.2,0.1,0.5
109,0.1,0.3,0.0,0.6
110,0.1,0.6,0.1,0.2
111,0.1,0.4,0.3,0.2
112,0.0,1.0,0.0,0.0
113,0.4,0.1,0.3,0.2
114,0.1,0.2,0.4,0.3
115,0.3,0.6,0.1,0.0
116,0.1,0.2,0.5,0.2
117,0.0,0.5,0.1,0.4
118,0.4,0.4,0.0,0.2
119,0.1,0.2,0.2,0.5
120,0.1,0.3,0.3,0.3
121,0.1,0.3,0.3,0.3
122,0.8,0.1,0.1,0.0
123,0.1,0.1,0.4,0.4
124,0.1,0.2,0.4,0.3
125,0.5,0.3,0.1,0.1
126,0.0,0.2,0.3,0.5
127,0.4,0.1,0.4,0.1
128,0.1,0.2,0.4,0.3
129,0.2,0.4,0.2,0.2
130,0.2,0.3,0.1,0.4
131,0.1,0.2,0.4,0.3
132,0.0,0.4,0.4,0.2
133,0.0,0.1,0.0,0.9
134,0.0,0.6,0.3,0.1
135,0.3,0.3,0.2,0.2
136,0.2,0.3,0.1,0.4
137,0.1,0.2,0.4,0.3
138,0.1,0.1,0.3,0.5
139,0.9,0.1,0.0,0.0
140,0.2,0.1,0.3,0.4
141,0.3,0.3,0.3,0.1
142,0.4,0.1,0.3,0.2
143,0.6,0.1,0.2,0.1
