,Medium-Low,Low,High,Medium-High
0,0.3,0.7,0.0,0.0
1,0.1,0.9,0.0,0.0
2,0.4,0.5,0.0,0.1
3,0.3,0.7,0.0,0.0
4,0.1,0.9,0.0,0.0
5,0.1,0.8,0.0,0.1
6,0.5,0.3,0.0,0.2
7,0.1,0.8,0.0,0.1
8,0.3,0.7,0.0,0.0
9,0.0,1.0,0.0,0.0
10,0.3,0.7,0.0,0.0
11,0.0,0.8,0.0,0.2
12,0.0,0.8,0.0,0.2
13,0.1,0.8,0.0,0.1
14,0.1,0.9,0.0,0.0
15,0.0,0.8,0.0,0.2
16,0.3,0.7,0.0,0.0
17,0.2,0.8,0.0,0.0
18,0.2,0.8,0.0,0.0
19,0.1,0.9,0.0,0.0
20,0.0,0.9,0.1,0.0
21,0.1,0.9,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.1,0.9,0.0,0.0
24,0.0,1.0,0.0,0.0
25,0.3,0.7,0.0,0.0
26,0.0,1.0,0.0,0.0
27,0.0,1.0,0.0,0.0
28,0.2,0.8,0.0,0.0
29,0.2,0.8,0.0,0.0
30,0.0,1.0,0.0,0.0
31,0.0,0.8,0.0,0.2
32,0.1,0.9,0.0,0.0
33,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,0.0
35,0.1,0.6,0.1,0.2
36,0.5,0.5,0.0,0.0
37,0.2,0.7,0.0,0.1
38,0.2,0.7,0.1,0.0
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.0,1.0,0.0,0.0
42,0.0,1.0,0.0,0.0
43,0.3,0.4,0.2,0.1
44,0.2,0.4,0.1,0.3
45,0.3,0.6,0.0,0.1
46,0.0,0.9,0.0,0.1
47,0.2,0.8,0.0,0.0
48,0.0,1.0,0.0,0.0
49,0.3,0.6,0.1,0.0
50,0.0,0.9,0.0,0.1
51,0.0,1.0,0.0,0.0
52,0.2,0.8,0.0,0.0
53,0.2,0.3,0.2,0.3
54,0.3,0.7,0.0,0.0
55,0.1,0.8,0.0,0.1
56,0.2,0.6,0.1,0.1
57,0.1,0.9,0.0,0.0
58,0.2,0.8,0.0,0.0
59,0.0,1.0,0.0,0.0
60,0.0,1.0,0.0,0.0
61,0.2,0.6,0.0,0.2
62,0.2,0.8,0.0,0.0
63,0.0,1.0,0.0,0.0
64,0.0,1.0,0.0,0.0
65,0.4,0.4,0.0,0.2
66,0.2,0.8,0.0,0.0
67,0.2,0.3,0.1,0.4
68,0.0,1.0,0.0,0.0
69,0.2,0.2,0.3,0.3
70,0.3,0.2,0.2,0.3
71,0.0,1.0,0.0,0.0
72,0.0,1.0,0.0,0.0
73,0.4,0.5,0.0,0.1
74,0.0,1.0,0.0,0.0
75,0.0,1.0,0.0,0.0
76,0.2,0.5,0.0,0.3
77,0.1,0.9,0.0,0.0
78,0.2,0.8,0.0,0.0
79,0.5,0.5,0.0,0.0
80,0.5,0.5,0.0,0.0
81,0.0,1.0,0.0,0.0
82,0.0,0.9,0.0,0.1
83,0.0,1.0,0.0,0.0
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.2,0.7,0.0,0.1
87,0.3,0.4,0.1,0.2
88,0.1,0.1,0.1,0.7
89,0.3,0.7,0.0,0.0
90,0.0,1.0,0.0,0.0
91,0.0,1.0,0.0,0.0
92,0.3,0.7,0.0,0.0
93,0.0,1.0,0.0,0.0
94,0.1,0.9,0.0,0.0
95,0.1,0.9,0.0,0.0
96,0.4,0.3,0.1,0.2
97,0.0,1.0,0.0,0.0
98,0.0,1.0,0.0,0.0
99,0.0,0.9,0.0,0.1
100,0.4,0.5,0.0,0.1
101,0.0,0.8,0.0,0.2
102,0.0,1.0,0.0,0.0
103,0.3,0.5,0.0,0.2
104,0.2,0.8,0.0,0.0
105,0.1,0.9,0.0,0.0
106,0.2,0.8,0.0,0.0
107,0.4,0.5,0.0,0.1
108,0.0,1.0,0.0,0.0
109,0.1,0.9,0.0,0.0
110,0.2,0.6,0.2,0.0
111,0.0,0.9,0.0,0.1
112,0.0,0.1,0.7,0.2
113,0.0,1.0,0.0,0.0
114,0.0,0.9,0.0,0.1
115,0.4,0.5,0.1,0.0
116,0.0,1.0,0.0,0.0
117,0.2,0.8,0.0,0.0
118,0.5,0.4,0.0,0.1
119,0.2,0.8,0.0,0.0
120,0.3,0.7,0.0,0.0
121,0.2,0.8,0.0,0.0
122,0.1,0.8,0.0,0.1
123,0.3,0.7,0.0,0.0
124,0.3,0.7,0.0,0.0
125,0.0,1.0,0.0,0.0
126,0.0,1.0,0.0,0.0
127,0.3,0.7,0.0,0.0
128,0.3,0.7,0.0,0.0
129,0.0,1.0,0.0,0.0
130,0.0,1.0,0.0,0.0
131,0.3,0.7,0.0,0.0
132,0.3,0.7,0.0,0.0
133,0.0,1.0,0.0,0.0
134,0.1,0.8,0.0,0.1
135,0.0,1.0,0.0,0.0
136,0.0,1.0,0.0,0.0
137,0.3,0.7,0.0,0.0
138,0.0,1.0,0.0,0.0
139,0.0,1.0,0.0,0.0
140,0.0,1.0,0.0,0.0
141,0.0,1.0,0.0,0.0
142,0.0,1.0,0.0,0.0
143,0.4,0.6,0.0,0.0
