,Unknown,20th century,21st century,Pre-1900s
0,0.7,0.0,0.0,0.3
1,0.8,0.0,0.2,0.0
2,0.1,0.0,0.9,0.0
3,0.7,0.0,0.1,0.2
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,0.5,0.5,0.0,0.0
7,0.8,0.0,0.0,0.2
8,0.9,0.0,0.0,0.1
9,1.0,0.0,0.0,0.0
10,0.3,0.7,0.0,0.0
11,0.9,0.1,0.0,0.0
12,0.9,0.1,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.7,0.0,0.0,0.3
15,1.0,0.0,0.0,0.0
16,0.9,0.0,0.0,0.1
17,0.7,0.0,0.0,0.3
18,0.3,0.0,0.0,0.7
19,0.9,0.1,0.0,0.0
20,1.0,0.0,0.0,0.0
21,0.5,0.0,0.0,0.5
22,1.0,0.0,0.0,0.0
23,0.2,0.1,0.0,0.7
24,1.0,0.0,0.0,0.0
25,0.9,0.0,0.0,0.1
26,0.2,0.2,0.6,0.0
27,0.2,0.2,0.6,0.0
28,1.0,0.0,0.0,0.0
29,0.7,0.0,0.0,0.3
30,0.1,0.2,0.7,0.0
31,1.0,0.0,0.0,0.0
32,0.6,0.4,0.0,0.0
33,0.9,0.1,0.0,0.0
34,1.0,0.0,0.0,0.0
35,0.8,0.2,0.0,0.0
36,1.0,0.0,0.0,0.0
37,0.9,0.0,0.0,0.1
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,0.9,0.0,0.0,0.1
42,1.0,0.0,0.0,0.0
43,0.2,0.1,0.7,0.0
44,0.5,0.4,0.0,0.1
45,0.7,0.2,0.0,0.1
46,0.3,0.6,0.0,0.1
47,0.2,0.7,0.0,0.1
48,0.3,0.1,0.0,0.6
49,0.8,0.0,0.1,0.1
50,0.9,0.1,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,0.8,0.0,0.0,0.2
55,0.7,0.1,0.0,0.2
56,0.8,0.1,0.0,0.1
57,0.4,0.5,0.1,0.0
58,0.5,0.2,0.1,0.2
59,0.7,0.2,0.0,0.1
60,1.0,0.0,0.0,0.0
61,0.8,0.0,0.0,0.2
62,1.0,0.0,0.0,0.0
63,0.4,0.3,0.0,0.3
64,1.0,0.0,0.0,0.0
65,0.9,0.0,0.1,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.9,0.0,0.1,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.9,0.1,0.0
72,0.0,0.9,0.1,0.0
73,0.9,0.1,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,0.6,0.2,0.0,0.2
78,0.8,0.0,0.0,0.2
79,0.6,0.1,0.3,0.0
80,0.6,0.1,0.3,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.9,0.0,0.0,0.1
87,0.4,0.2,0.1,0.3
88,1.0,0.0,0.0,0.0
89,0.9,0.0,0.0,0.1
90,1.0,0.0,0.0,0.0
91,0.9,0.0,0.1,0.0
92,0.7,0.3,0.0,0.0
93,1.0,0.0,0.0,0.0
94,0.8,0.0,0.0,0.2
95,0.7,0.1,0.0,0.2
96,0.7,0.1,0.2,0.0
97,1.0,0.0,0.0,0.0
98,0.3,0.5,0.1,0.1
99,0.6,0.4,0.0,0.0
100,0.9,0.0,0.0,0.1
101,0.9,0.1,0.0,0.0
102,0.0,1.0,0.0,0.0
103,1.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,0.6,0.3,0.1,0.0
106,0.9,0.0,0.0,0.1
107,0.8,0.2,0.0,0.0
108,0.7,0.2,0.0,0.1
109,0.7,0.1,0.0,0.2
110,0.9,0.1,0.0,0.0
111,1.0,0.0,0.0,0.0
112,0.6,0.2,0.0,0.2
113,1.0,0.0,0.0,0.0
114,0.8,0.1,0.1,0.0
115,0.8,0.2,0.0,0.0
116,0.7,0.3,0.0,0.0
117,0.7,0.2,0.0,0.1
118,0.7,0.1,0.2,0.0
119,1.0,0.0,0.0,0.0
120,0.9,0.0,0.0,0.1
121,0.6,0.4,0.0,0.0
122,0.6,0.1,0.0,0.3
123,0.8,0.0,0.0,0.2
124,0.8,0.0,0.0,0.2
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0
128,0.9,0.1,0.0,0.0
129,1.0,0.0,0.0,0.0
130,0.9,0.0,0.0,0.1
131,0.8,0.0,0.0,0.2
132,0.9,0.1,0.0,0.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.8,0.0,0.0,0.2
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.8,0.0,0.2,0.0
142,0.2,0.2,0.6,0.0
143,0.9,0.1,0.0,0.0
