,2012-2016,2001-2006,2007-2011,2017-2022
0,0.4,0.3,0.2,0.1
1,0.0,0.4,0.6,0.0
2,0.1,0.6,0.1,0.2
3,0.2,0.2,0.3,0.3
4,0.2,0.0,0.8,0.0
5,0.1,0.6,0.2,0.1
6,0.1,0.8,0.1,0.0
7,0.6,0.1,0.2,0.1
8,0.4,0.2,0.2,0.2
9,0.0,0.1,0.9,0.0
10,0.6,0.1,0.3,0.0
11,0.4,0.2,0.4,0.0
12,0.6,0.1,0.3,0.0
13,0.0,0.4,0.5,0.1
14,0.4,0.2,0.3,0.1
15,0.1,0.2,0.4,0.3
16,0.2,0.2,0.5,0.1
17,0.2,0.5,0.3,0.0
18,0.3,0.4,0.3,0.0
19,0.2,0.4,0.4,0.0
20,0.4,0.4,0.2,0.0
21,0.4,0.1,0.2,0.3
22,0.1,0.0,0.9,0.0
23,0.0,0.4,0.4,0.2
24,0.1,0.6,0.3,0.0
25,0.1,0.3,0.0,0.6
26,0.3,0.3,0.4,0.0
27,0.2,0.6,0.1,0.1
28,0.0,1.0,0.0,0.0
29,0.6,0.2,0.1,0.1
30,0.3,0.2,0.0,0.5
31,0.0,0.2,0.0,0.8
32,0.1,0.6,0.3,0.0
33,0.2,0.3,0.5,0.0
34,1.0,0.0,0.0,0.0
35,0.2,0.4,0.1,0.3
36,0.1,0.5,0.3,0.1
37,0.0,0.4,0.5,0.1
38,0.1,0.5,0.1,0.3
39,0.9,0.0,0.1,0.0
40,0.0,0.2,0.8,0.0
41,0.0,0.0,0.0,1.0
42,0.1,0.4,0.3,0.2
43,0.0,0.8,0.1,0.1
44,0.0,1.0,0.0,0.0
45,0.0,0.3,0.6,0.1
46,0.0,0.3,0.7,0.0
47,0.2,0.2,0.3,0.3
48,0.4,0.3,0.3,0.0
49,0.2,0.5,0.3,0.0
50,0.1,0.4,0.5,0.0
51,0.0,0.2,0.7,0.1
52,0.0,0.5,0.4,0.1
53,0.2,0.2,0.5,0.1
54,0.3,0.4,0.2,0.1
55,0.0,0.6,0.3,0.1
56,0.1,0.5,0.2,0.2
57,0.2,0.0,0.3,0.5
58,0.1,0.4,0.5,0.0
59,0.2,0.3,0.5,0.0
60,0.1,0.6,0.3,0.0
61,0.2,0.2,0.3,0.3
62,0.0,0.1,0.9,0.0
63,0.2,0.2,0.5,0.1
64,0.3,0.2,0.5,0.0
65,0.0,0.4,0.5,0.1
66,0.0,0.1,0.9,0.0
67,0.0,0.1,0.9,0.0
68,0.3,0.2,0.4,0.1
69,0.1,0.7,0.0,0.2
70,0.4,0.4,0.1,0.1
71,0.0,0.0,1.0,0.0
72,0.0,0.0,1.0,0.0
73,0.0,0.4,0.4,0.2
74,0.7,0.1,0.2,0.0
75,0.0,0.3,0.7,0.0
76,0.5,0.1,0.4,0.0
77,0.1,0.3,0.4,0.2
78,0.2,0.4,0.3,0.1
79,0.0,0.7,0.3,0.0
80,0.0,0.7,0.3,0.0
81,0.0,0.9,0.1,0.0
82,0.0,0.0,0.1,0.9
83,0.9,0.0,0.1,0.0
84,0.8,0.0,0.2,0.0
85,0.9,0.0,0.1,0.0
86,0.4,0.3,0.3,0.0
87,0.0,0.0,0.0,1.0
88,0.1,0.4,0.2,0.3
89,0.3,0.3,0.4,0.0
90,1.0,0.0,0.0,0.0
91,0.8,0.1,0.1,0.0
92,0.2,0.0,0.7,0.1
93,1.0,0.0,0.0,0.0
94,0.4,0.1,0.2,0.3
95,0.0,0.2,0.3,0.5
96,0.2,0.6,0.1,0.1
97,0.9,0.0,0.1,0.0
98,0.1,0.2,0.2,0.5
99,0.5,0.4,0.1,0.0
100,0.1,0.3,0.4,0.2
101,0.2,0.4,0.3,0.1
102,1.0,0.0,0.0,0.0
103,0.4,0.2,0.2,0.2
104,0.4,0.3,0.3,0.0
105,0.2,0.5,0.3,0.0
106,0.0,0.5,0.2,0.3
107,0.5,0.0,0.3,0.2
108,0.1,0.1,0.5,0.3
109,0.1,0.4,0.5,0.0
110,0.2,0.1,0.3,0.4
111,0.2,0.2,0.3,0.3
112,0.4,0.3,0.3,0.0
113,0.3,0.3,0.3,0.1
114,0.4,0.1,0.2,0.3
115,0.1,0.5,0.3,0.1
116,0.0,0.8,0.1,0.1
117,0.3,0.4,0.2,0.1
118,0.2,0.7,0.1,0.0
119,0.1,0.0,0.9,0.0
120,0.0,0.3,0.2,0.5
121,0.0,0.6,0.1,0.3
122,0.1,0.3,0.3,0.3
123,0.1,0.5,0.3,0.1
124,0.0,0.4,0.0,0.6
125,0.0,0.0,0.2,0.8
126,0.0,0.0,0.0,1.0
127,0.2,0.2,0.5,0.1
128,0.3,0.4,0.2,0.1
129,0.0,0.0,0.0,1.0
130,0.1,0.0,0.1,0.8
131,0.0,0.2,0.3,0.5
132,0.2,0.4,0.1,0.3
133,0.0,0.0,0.0,1.0
134,0.1,0.0,0.2,0.7
135,0.0,0.0,0.0,1.0
136,0.5,0.0,0.4,0.1
137,0.3,0.3,0.0,0.4
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.0,1.0
141,0.2,0.1,0.3,0.4
142,0.1,0.6,0.0,0.3
143,0.1,0.3,0.2,0.4
