,e-k,l-r,s-,a-d
0,0.3,0.4,0.2,0.1
1,0.2,0.0,0.2,0.6
2,0.1,0.3,0.3,0.3
3,0.1,0.4,0.2,0.3
4,0.1,0.4,0.0,0.5
5,0.1,0.3,0.4,0.2
6,0.1,0.5,0.3,0.1
7,0.4,0.4,0.1,0.1
8,0.4,0.2,0.1,0.3
9,0.3,0.1,0.3,0.3
10,0.2,0.3,0.5,0.0
11,0.0,0.0,0.1,0.9
12,0.8,0.1,0.0,0.1
13,0.0,0.2,0.6,0.2
14,0.2,0.3,0.3,0.2
15,0.7,0.1,0.1,0.1
16,0.0,0.5,0.0,0.5
17,0.3,0.3,0.2,0.2
18,0.7,0.2,0.1,0.0
19,0.6,0.3,0.0,0.1
20,0.4,0.3,0.2,0.1
21,0.2,0.5,0.3,0.0
22,0.1,0.0,0.0,0.9
23,0.5,0.1,0.0,0.4
24,0.3,0.4,0.1,0.2
25,0.1,0.0,0.8,0.1
26,0.1,0.1,0.3,0.5
27,0.3,0.5,0.2,0.0
28,0.4,0.1,0.1,0.4
29,0.4,0.4,0.0,0.2
30,0.0,0.7,0.2,0.1
31,0.0,0.5,0.5,0.0
32,0.1,0.5,0.1,0.3
33,0.4,0.0,0.1,0.5
34,0.8,0.0,0.0,0.2
35,0.0,0.3,0.7,0.0
36,0.1,0.3,0.2,0.4
37,0.4,0.2,0.1,0.3
38,0.0,0.1,0.5,0.4
39,0.2,0.0,0.3,0.5
40,0.0,0.6,0.3,0.1
41,0.0,0.3,0.2,0.5
42,0.0,0.7,0.2,0.1
43,0.2,0.4,0.2,0.2
44,0.1,0.4,0.2,0.3
45,0.3,0.4,0.1,0.2
46,0.2,0.1,0.4,0.3
47,0.2,0.4,0.1,0.3
48,0.4,0.0,0.3,0.3
49,0.1,0.3,0.1,0.5
50,0.8,0.0,0.2,0.0
51,0.1,0.1,0.5,0.3
52,0.1,0.3,0.2,0.4
53,0.4,0.2,0.3,0.1
54,0.2,0.4,0.0,0.4
55,0.1,0.8,0.0,0.1
56,0.1,0.3,0.1,0.5
57,0.2,0.2,0.2,0.4
58,0.5,0.2,0.1,0.2
59,0.1,0.2,0.2,0.5
60,0.2,0.3,0.2,0.3
61,0.4,0.2,0.1,0.3
62,0.0,0.0,0.1,0.9
63,0.4,0.4,0.0,0.2
64,0.2,0.6,0.0,0.2
65,0.0,0.4,0.5,0.1
66,0.1,0.1,0.2,0.6
67,0.0,1.0,0.0,0.0
68,0.4,0.3,0.2,0.1
69,0.2,0.5,0.2,0.1
70,0.2,0.8,0.0,0.0
71,0.2,0.3,0.2,0.3
72,0.5,0.3,0.1,0.1
73,0.1,0.2,0.2,0.5
74,0.0,0.2,0.4,0.4
75,0.5,0.0,0.3,0.2
76,0.0,1.0,0.0,0.0
77,0.0,0.2,0.2,0.6
78,0.5,0.0,0.3,0.2
79,0.3,0.1,0.3,0.3
80,0.3,0.1,0.2,0.4
81,0.4,0.2,0.2,0.2
82,0.8,0.1,0.1,0.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.1,0.9
85,0.8,0.1,0.1,0.0
86,0.0,0.2,0.4,0.4
87,0.0,0.3,0.7,0.0
88,0.0,0.7,0.3,0.0
89,0.7,0.1,0.1,0.1
90,0.1,0.1,0.4,0.4
91,0.2,0.8,0.0,0.0
92,0.3,0.2,0.2,0.3
93,0.0,0.1,0.8,0.1
94,0.0,0.7,0.0,0.3
95,0.3,0.5,0.1,0.1
96,0.3,0.3,0.1,0.3
97,0.6,0.1,0.3,0.0
98,0.2,0.2,0.2,0.4
99,0.1,0.1,0.7,0.1
100,0.3,0.2,0.2,0.3
101,0.1,0.3,0.4,0.2
102,0.1,0.1,0.7,0.1
103,0.1,0.8,0.0,0.1
104,0.1,0.5,0.1,0.3
105,0.2,0.0,0.6,0.2
106,0.1,0.3,0.0,0.6
107,0.2,0.0,0.0,0.8
108,0.2,0.3,0.1,0.4
109,0.2,0.1,0.6,0.1
110,0.2,0.4,0.2,0.2
111,0.2,0.2,0.0,0.6
112,0.0,1.0,0.0,0.0
113,0.0,0.4,0.6,0.0
114,0.1,0.1,0.2,0.6
115,0.0,0.0,0.9,0.1
116,0.3,0.2,0.3,0.2
117,0.2,0.5,0.1,0.2
118,0.5,0.1,0.2,0.2
119,0.5,0.1,0.1,0.3
120,0.2,0.4,0.2,0.2
121,0.1,0.6,0.1,0.2
122,0.2,0.2,0.3,0.3
123,0.6,0.0,0.2,0.2
124,0.2,0.4,0.3,0.1
125,0.9,0.0,0.0,0.1
126,0.3,0.1,0.4,0.2
127,0.2,0.1,0.3,0.4
128,0.1,0.2,0.3,0.4
129,0.3,0.1,0.2,0.4
130,0.4,0.5,0.0,0.1
131,0.3,0.0,0.2,0.5
132,0.1,0.2,0.5,0.2
133,0.9,0.1,0.0,0.0
134,0.1,0.7,0.0,0.2
135,0.4,0.2,0.3,0.1
136,0.5,0.3,0.1,0.1
137,0.1,0.6,0.2,0.1
138,0.6,0.0,0.2,0.2
139,0.0,0.4,0.5,0.1
140,0.3,0.1,0.3,0.3
141,0.0,0.7,0.3,0.0
142,0.2,0.4,0.3,0.1
143,0.1,0.3,0.3,0.3
