,High,Low,Medium-High,Medium-Low
0,0.0,0.6,0.0,0.4
1,0.0,0.7,0.0,0.3
2,0.1,0.2,0.4,0.3
3,0.1,0.8,0.0,0.1
4,0.0,1.0,0.0,0.0
5,0.0,0.5,0.0,0.5
6,0.0,0.0,0.2,0.8
7,0.0,0.9,0.0,0.1
8,0.0,0.7,0.0,0.3
9,0.0,1.0,0.0,0.0
10,0.0,0.7,0.1,0.2
11,0.0,0.8,0.1,0.1
12,0.0,0.9,0.0,0.1
13,0.0,0.7,0.0,0.3
14,0.0,1.0,0.0,0.0
15,0.0,0.9,0.0,0.1
16,0.0,0.8,0.0,0.2
17,0.0,0.7,0.2,0.1
18,0.0,0.6,0.0,0.4
19,0.0,0.7,0.1,0.2
20,0.1,0.7,0.0,0.2
21,0.0,0.9,0.0,0.1
22,0.0,1.0,0.0,0.0
23,0.1,0.8,0.0,0.1
24,0.1,0.2,0.1,0.6
25,0.0,0.8,0.0,0.2
26,0.0,0.8,0.0,0.2
27,0.0,0.8,0.0,0.2
28,0.0,0.1,0.2,0.7
29,0.0,0.8,0.1,0.1
30,0.0,0.9,0.0,0.1
31,0.0,0.9,0.1,0.0
32,0.0,0.8,0.0,0.2
33,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,0.0
35,0.3,0.3,0.0,0.4
36,0.0,0.6,0.0,0.4
37,0.0,0.9,0.0,0.1
38,0.1,0.4,0.1,0.4
39,0.0,1.0,0.0,0.0
40,0.0,0.9,0.0,0.1
41,0.0,1.0,0.0,0.0
42,0.0,0.9,0.0,0.1
43,0.5,0.0,0.3,0.2
44,0.2,0.5,0.3,0.0
45,0.0,1.0,0.0,0.0
46,0.0,0.8,0.0,0.2
47,0.0,0.8,0.0,0.2
48,0.0,1.0,0.0,0.0
49,0.2,0.3,0.1,0.4
50,0.0,0.9,0.1,0.0
51,0.0,0.6,0.1,0.3
52,0.0,0.9,0.0,0.1
53,0.0,0.8,0.1,0.1
54,0.0,0.8,0.0,0.2
55,0.0,0.8,0.1,0.1
56,0.0,0.7,0.2,0.1
57,0.0,1.0,0.0,0.0
58,0.0,0.7,0.0,0.3
59,0.0,0.9,0.1,0.0
60,0.0,0.9,0.0,0.1
61,0.0,0.9,0.0,0.1
62,0.0,0.5,0.0,0.5
63,0.0,0.9,0.0,0.1
64,0.0,0.9,0.0,0.1
65,0.0,0.7,0.2,0.1
66,0.0,0.9,0.0,0.1
67,0.0,0.2,0.4,0.4
68,0.0,1.0,0.0,0.0
69,0.3,0.0,0.5,0.2
70,0.0,0.3,0.3,0.4
71,0.0,1.0,0.0,0.0
72,0.0,1.0,0.0,0.0
73,0.1,0.4,0.1,0.4
74,0.0,1.0,0.0,0.0
75,0.0,1.0,0.0,0.0
76,0.1,0.4,0.5,0.0
77,0.1,0.5,0.1,0.3
78,0.1,0.5,0.1,0.3
79,0.0,0.2,0.0,0.8
80,0.1,0.1,0.1,0.7
81,0.1,0.1,0.1,0.7
82,0.0,1.0,0.0,0.0
83,0.0,1.0,0.0,0.0
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.0,0.7,0.1,0.2
87,0.0,1.0,0.0,0.0
88,0.1,0.6,0.1,0.2
89,0.0,0.7,0.0,0.3
90,0.0,1.0,0.0,0.0
91,0.0,1.0,0.0,0.0
92,0.0,1.0,0.0,0.0
93,0.0,1.0,0.0,0.0
94,0.0,0.9,0.0,0.1
95,0.0,1.0,0.0,0.0
96,0.0,0.2,0.3,0.5
97,0.0,1.0,0.0,0.0
98,0.1,0.8,0.0,0.1
99,0.0,0.6,0.0,0.4
100,0.0,0.7,0.1,0.2
101,0.1,0.2,0.3,0.4
102,0.0,0.9,0.0,0.1
103,0.2,0.1,0.3,0.4
104,0.0,0.8,0.0,0.2
105,0.0,0.8,0.0,0.2
106,0.1,0.6,0.0,0.3
107,0.0,0.3,0.1,0.6
108,0.0,0.9,0.0,0.1
109,0.0,0.8,0.0,0.2
110,0.0,0.7,0.1,0.2
111,0.0,0.8,0.1,0.1
112,0.6,0.0,0.3,0.1
113,0.0,0.7,0.1,0.2
114,0.0,1.0,0.0,0.0
115,0.2,0.4,0.2,0.2
116,0.0,0.9,0.0,0.1
117,0.3,0.4,0.2,0.1
118,0.1,0.1,0.2,0.6
119,0.0,0.9,0.1,0.0
120,0.0,0.9,0.0,0.1
121,0.0,0.4,0.2,0.4
122,0.0,0.7,0.1,0.2
123,0.0,0.6,0.1,0.3
124,0.0,0.7,0.1,0.2
125,0.0,0.9,0.0,0.1
126,0.0,1.0,0.0,0.0
127,0.0,0.7,0.0,0.3
128,0.0,0.5,0.1,0.4
129,0.0,1.0,0.0,0.0
130,0.0,1.0,0.0,0.0
131,0.0,0.8,0.0,0.2
132,0.0,0.2,0.1,0.7
133,0.0,0.9,0.1,0.0
134,0.0,0.6,0.4,0.0
135,0.0,1.0,0.0,0.0
136,0.0,1.0,0.0,0.0
137,0.0,0.9,0.0,0.1
138,0.0,1.0,0.0,0.0
139,0.0,1.0,0.0,0.0
140,0.0,0.9,0.0,0.1
141,0.0,0.9,0.1,0.0
142,0.0,0.8,0.0,0.2
143,0.1,0.3,0.3,0.3
