,Pre-1900s,Unknown,21st century,20th century
0,0.0,0.7,0.0,0.3
1,0.0,1.0,0.0,0.0
2,0.0,0.7,0.0,0.3
3,0.1,0.9,0.0,0.0
4,0.0,0.6,0.0,0.4
5,0.2,0.4,0.0,0.4
6,0.0,0.4,0.0,0.6
7,0.2,0.7,0.0,0.1
8,0.3,0.5,0.0,0.2
9,0.0,0.9,0.1,0.0
10,0.0,0.3,0.0,0.7
11,0.0,0.8,0.0,0.2
12,0.0,0.9,0.0,0.1
13,0.0,0.8,0.1,0.1
14,0.1,0.9,0.0,0.0
15,0.8,0.1,0.0,0.1
16,0.2,0.6,0.0,0.2
17,0.0,0.7,0.1,0.2
18,0.2,0.8,0.0,0.0
19,0.0,0.9,0.0,0.1
20,0.0,1.0,0.0,0.0
21,0.5,0.5,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.4,0.3,0.0,0.3
24,0.0,0.5,0.4,0.1
25,0.1,0.9,0.0,0.0
26,0.2,0.6,0.1,0.1
27,0.3,0.4,0.3,0.0
28,0.1,0.7,0.1,0.1
29,0.0,0.6,0.2,0.2
30,0.0,0.6,0.3,0.1
31,0.2,0.8,0.0,0.0
32,0.0,0.9,0.0,0.1
33,0.0,0.6,0.0,0.4
34,0.0,1.0,0.0,0.0
35,0.0,0.8,0.1,0.1
36,0.0,1.0,0.0,0.0
37,0.4,0.3,0.0,0.3
38,0.0,1.0,0.0,0.0
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.7,0.2,0.0,0.1
42,0.3,0.6,0.0,0.1
43,0.0,0.7,0.0,0.3
44,0.0,0.7,0.0,0.3
45,0.1,0.9,0.0,0.0
46,0.2,0.4,0.0,0.4
47,0.2,0.2,0.0,0.6
48,0.5,0.3,0.0,0.2
49,0.0,0.6,0.3,0.1
50,0.0,0.9,0.0,0.1
51,0.1,0.9,0.0,0.0
52,0.0,1.0,0.0,0.0
53,0.1,0.8,0.0,0.1
54,0.0,1.0,0.0,0.0
55,0.2,0.7,0.0,0.1
56,0.1,0.9,0.0,0.0
57,0.1,0.1,0.1,0.7
58,0.0,0.8,0.0,0.2
59,0.0,0.6,0.1,0.3
60,0.0,0.9,0.0,0.1
61,0.2,0.2,0.0,0.6
62,0.0,0.9,0.0,0.1
63,0.4,0.3,0.0,0.3
64,0.0,1.0,0.0,0.0
65,0.1,0.8,0.1,0.0
66,0.0,1.0,0.0,0.0
67,0.0,1.0,0.0,0.0
68,0.7,0.3,0.0,0.0
69,0.0,1.0,0.0,0.0
70,0.0,1.0,0.0,0.0
71,0.0,0.0,0.1,0.9
72,0.0,0.0,0.2,0.8
73,0.1,0.9,0.0,0.0
74,0.0,1.0,0.0,0.0
75,0.0,1.0,0.0,0.0
76,0.0,1.0,0.0,0.0
77,0.2,0.8,0.0,0.0
78,0.3,0.7,0.0,0.0
79,0.0,0.5,0.4,0.1
80,0.0,0.6,0.3,0.1
81,0.0,0.4,0.5,0.1
82,0.0,1.0,0.0,0.0
83,0.0,1.0,0.0,0.0
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.1,0.9,0.0,0.0
87,0.0,1.0,0.0,0.0
88,0.0,1.0,0.0,0.0
89,0.0,0.8,0.0,0.2
90,0.0,1.0,0.0,0.0
91,0.0,0.9,0.1,0.0
92,0.0,0.8,0.0,0.2
93,0.0,1.0,0.0,0.0
94,0.4,0.6,0.0,0.0
95,0.0,0.3,0.0,0.7
96,0.0,0.8,0.2,0.0
97,0.0,1.0,0.0,0.0
98,0.0,0.3,0.0,0.7
99,0.1,0.4,0.1,0.4
100,0.0,0.8,0.0,0.2
101,0.0,0.8,0.0,0.2
102,0.1,0.1,0.0,0.8
103,0.0,1.0,0.0,0.0
104,0.0,1.0,0.0,0.0
105,0.1,0.7,0.0,0.2
106,0.1,0.8,0.0,0.1
107,0.2,0.7,0.0,0.1
108,0.2,0.2,0.0,0.6
109,0.1,0.7,0.0,0.2
110,0.4,0.2,0.0,0.4
111,0.0,1.0,0.0,0.0
112,0.2,0.7,0.0,0.1
113,0.0,1.0,0.0,0.0
114,0.1,0.5,0.2,0.2
115,0.0,0.7,0.0,0.3
116,0.1,0.9,0.0,0.0
117,0.1,0.5,0.0,0.4
118,0.0,0.9,0.1,0.0
119,0.0,1.0,0.0,0.0
120,0.4,0.5,0.0,0.1
121,0.0,0.8,0.1,0.1
122,0.0,0.6,0.0,0.4
123,0.2,0.7,0.0,0.1
124,0.2,0.6,0.0,0.2
125,0.0,1.0,0.0,0.0
126,0.0,1.0,0.0,0.0
127,0.0,0.9,0.0,0.1
128,0.1,0.9,0.0,0.0
129,0.2,0.8,0.0,0.0
130,0.1,0.8,0.0,0.1
131,0.3,0.6,0.0,0.1
132,0.0,0.9,0.0,0.1
133,0.0,1.0,0.0,0.0
134,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0
136,0.0,0.8,0.0,0.2
137,0.5,0.3,0.0,0.2
138,0.0,1.0,0.0,0.0
139,0.2,0.7,0.0,0.1
140,0.0,1.0,0.0,0.0
141,0.0,0.4,0.1,0.5
142,0.1,0.3,0.5,0.1
143,0.0,1.0,0.0,0.0
