,a-d,s-,l-r,e-k
0,0.1,0.2,0.4,0.3
1,0.6,0.2,0.0,0.2
2,0.3,0.3,0.3,0.1
3,0.3,0.2,0.4,0.1
4,0.5,0.0,0.4,0.1
5,0.2,0.4,0.3,0.1
6,0.1,0.3,0.5,0.1
7,0.1,0.1,0.4,0.4
8,0.3,0.1,0.2,0.4
9,0.3,0.3,0.1,0.3
10,0.0,0.5,0.3,0.2
11,0.9,0.1,0.0,0.0
12,0.1,0.0,0.1,0.8
13,0.2,0.6,0.2,0.0
14,0.2,0.3,0.3,0.2
15,0.1,0.1,0.1,0.7
16,0.5,0.0,0.5,0.0
17,0.2,0.2,0.3,0.3
18,0.0,0.1,0.2,0.7
19,0.1,0.0,0.3,0.6
20,0.1,0.2,0.3,0.4
21,0.0,0.3,0.5,0.2
22,0.9,0.0,0.0,0.1
23,0.4,0.0,0.1,0.5
24,0.2,0.1,0.4,0.3
25,0.1,0.8,0.0,0.1
26,0.5,0.3,0.1,0.1
27,0.0,0.2,0.5,0.3
28,0.4,0.1,0.1,0.4
29,0.2,0.0,0.4,0.4
30,0.1,0.2,0.7,0.0
31,0.0,0.5,0.5,0.0
32,0.3,0.1,0.5,0.1
33,0.5,0.1,0.0,0.4
34,0.2,0.0,0.0,0.8
35,0.0,0.7,0.3,0.0
36,0.4,0.2,0.3,0.1
37,0.3,0.1,0.2,0.4
38,0.4,0.5,0.1,0.0
39,0.5,0.3,0.0,0.2
40,0.1,0.3,0.6,0.0
41,0.5,0.2,0.3,0.0
42,0.1,0.2,0.7,0.0
43,0.2,0.2,0.4,0.2
44,0.3,0.2,0.4,0.1
45,0.2,0.1,0.4,0.3
46,0.3,0.4,0.1,0.2
47,0.3,0.1,0.4,0.2
48,0.3,0.3,0.0,0.4
49,0.5,0.1,0.3,0.1
50,0.0,0.2,0.0,0.8
51,0.3,0.5,0.1,0.1
52,0.4,0.2,0.3,0.1
53,0.1,0.3,0.2,0.4
54,0.4,0.0,0.4,0.2
55,0.1,0.0,0.8,0.1
56,0.5,0.1,0.3,0.1
57,0.4,0.2,0.2,0.2
58,0.2,0.1,0.2,0.5
59,0.5,0.2,0.2,0.1
60,0.3,0.2,0.3,0.2
61,0.3,0.1,0.2,0.4
62,0.9,0.1,0.0,0.0
63,0.2,0.0,0.4,0.4
64,0.2,0.0,0.6,0.2
65,0.1,0.5,0.4,0.0
66,0.6,0.2,0.1,0.1
67,0.0,0.0,1.0,0.0
68,0.1,0.2,0.3,0.4
69,0.1,0.2,0.5,0.2
70,0.0,0.0,0.8,0.2
71,0.3,0.2,0.3,0.2
72,0.1,0.1,0.3,0.5
73,0.5,0.2,0.2,0.1
74,0.4,0.4,0.2,0.0
75,0.2,0.3,0.0,0.5
76,0.0,0.0,1.0,0.0
77,0.6,0.2,0.2,0.0
78,0.2,0.3,0.0,0.5
79,0.3,0.3,0.1,0.3
80,0.4,0.2,0.1,0.3
81,0.2,0.2,0.2,0.4
82,0.0,0.1,0.1,0.8
83,1.0,0.0,0.0,0.0
84,0.9,0.1,0.0,0.0
85,0.0,0.1,0.1,0.8
86,0.4,0.4,0.2,0.0
87,0.0,0.7,0.3,0.0
88,0.0,0.3,0.7,0.0
89,0.1,0.1,0.1,0.7
90,0.4,0.4,0.1,0.1
91,0.0,0.0,0.8,0.2
92,0.3,0.2,0.2,0.3
93,0.1,0.8,0.1,0.0
94,0.3,0.0,0.7,0.0
95,0.1,0.1,0.5,0.3
96,0.3,0.1,0.3,0.3
97,0.0,0.3,0.1,0.6
98,0.4,0.2,0.2,0.2
99,0.1,0.7,0.1,0.1
100,0.3,0.2,0.2,0.3
101,0.2,0.4,0.3,0.1
102,0.1,0.7,0.1,0.1
103,0.1,0.0,0.8,0.1
104,0.3,0.1,0.5,0.1
105,0.2,0.6,0.0,0.2
106,0.6,0.0,0.3,0.1
107,0.8,0.0,0.0,0.2
108,0.4,0.1,0.3,0.2
109,0.1,0.6,0.1,0.2
110,0.2,0.2,0.4,0.2
111,0.6,0.0,0.2,0.2
112,0.0,0.0,1.0,0.0
113,0.0,0.6,0.4,0.0
114,0.6,0.2,0.1,0.1
115,0.1,0.9,0.0,0.0
116,0.2,0.3,0.2,0.3
117,0.2,0.1,0.5,0.2
118,0.2,0.2,0.1,0.5
119,0.3,0.1,0.1,0.5
120,0.2,0.2,0.4,0.2
121,0.2,0.1,0.6,0.1
122,0.3,0.3,0.2,0.2
123,0.2,0.2,0.0,0.6
124,0.1,0.3,0.4,0.2
125,0.1,0.0,0.0,0.9
126,0.2,0.4,0.1,0.3
127,0.4,0.3,0.1,0.2
128,0.4,0.3,0.2,0.1
129,0.4,0.2,0.1,0.3
130,0.1,0.0,0.5,0.4
131,0.5,0.2,0.0,0.3
132,0.2,0.5,0.2,0.1
133,0.0,0.0,0.1,0.9
134,0.2,0.0,0.7,0.1
135,0.1,0.3,0.2,0.4
136,0.1,0.1,0.3,0.5
137,0.1,0.2,0.6,0.1
138,0.2,0.2,0.0,0.6
139,0.1,0.5,0.4,0.0
140,0.3,0.3,0.1,0.3
141,0.0,0.3,0.7,0.0
142,0.1,0.3,0.4,0.2
143,0.3,0.3,0.3,0.1
