,Low,Medium-Low,Medium-High,High
0,0.6,0.4,0.0,0.0
1,0.7,0.3,0.0,0.0
2,0.2,0.3,0.4,0.1
3,0.8,0.1,0.0,0.1
4,1.0,0.0,0.0,0.0
5,0.5,0.5,0.0,0.0
6,0.0,0.8,0.2,0.0
7,0.9,0.1,0.0,0.0
8,0.7,0.3,0.0,0.0
9,1.0,0.0,0.0,0.0
10,0.7,0.2,0.1,0.0
11,0.8,0.1,0.1,0.0
12,0.9,0.1,0.0,0.0
13,0.7,0.3,0.0,0.0
14,1.0,0.0,0.0,0.0
15,0.9,0.1,0.0,0.0
16,0.8,0.2,0.0,0.0
17,0.7,0.1,0.2,0.0
18,0.6,0.4,0.0,0.0
19,0.7,0.2,0.1,0.0
20,0.7,0.2,0.0,0.1
21,0.9,0.1,0.0,0.0
22,1.0,0.0,0.0,0.0
23,0.8,0.1,0.0,0.1
24,0.2,0.6,0.1,0.1
25,0.8,0.2,0.0,0.0
26,0.8,0.2,0.0,0.0
27,0.8,0.2,0.0,0.0
28,0.1,0.7,0.2,0.0
29,0.8,0.1,0.1,0.0
30,0.9,0.1,0.0,0.0
31,0.9,0.0,0.1,0.0
32,0.8,0.2,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,0.3,0.4,0.0,0.3
36,0.6,0.4,0.0,0.0
37,0.9,0.1,0.0,0.0
38,0.4,0.4,0.1,0.1
39,1.0,0.0,0.0,0.0
40,0.9,0.1,0.0,0.0
41,1.0,0.0,0.0,0.0
42,0.9,0.1,0.0,0.0
43,0.0,0.2,0.3,0.5
44,0.5,0.0,0.3,0.2
45,1.0,0.0,0.0,0.0
46,0.8,0.2,0.0,0.0
47,0.8,0.2,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.3,0.4,0.1,0.2
50,0.9,0.0,0.1,0.0
51,0.6,0.3,0.1,0.0
52,0.9,0.1,0.0,0.0
53,0.8,0.1,0.1,0.0
54,0.8,0.2,0.0,0.0
55,0.8,0.1,0.1,0.0
56,0.7,0.1,0.2,0.0
57,1.0,0.0,0.0,0.0
58,0.7,0.3,0.0,0.0
59,0.9,0.0,0.1,0.0
60,0.9,0.1,0.0,0.0
61,0.9,0.1,0.0,0.0
62,0.5,0.5,0.0,0.0
63,0.9,0.1,0.0,0.0
64,0.9,0.1,0.0,0.0
65,0.7,0.1,0.2,0.0
66,0.9,0.1,0.0,0.0
67,0.2,0.4,0.4,0.0
68,1.0,0.0,0.0,0.0
69,0.0,0.2,0.5,0.3
70,0.3,0.4,0.3,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.4,0.4,0.1,0.1
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,0.4,0.0,0.5,0.1
77,0.5,0.3,0.1,0.1
78,0.5,0.3,0.1,0.1
79,0.2,0.8,0.0,0.0
80,0.1,0.7,0.1,0.1
81,0.1,0.7,0.1,0.1
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.7,0.2,0.1,0.0
87,1.0,0.0,0.0,0.0
88,0.6,0.2,0.1,0.1
89,0.7,0.3,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,0.9,0.1,0.0,0.0
95,1.0,0.0,0.0,0.0
96,0.2,0.5,0.3,0.0
97,1.0,0.0,0.0,0.0
98,0.8,0.1,0.0,0.1
99,0.6,0.4,0.0,0.0
100,0.7,0.2,0.1,0.0
101,0.2,0.4,0.3,0.1
102,0.9,0.1,0.0,0.0
103,0.1,0.4,0.3,0.2
104,0.8,0.2,0.0,0.0
105,0.8,0.2,0.0,0.0
106,0.6,0.3,0.0,0.1
107,0.3,0.6,0.1,0.0
108,0.9,0.1,0.0,0.0
109,0.8,0.2,0.0,0.0
110,0.7,0.2,0.1,0.0
111,0.8,0.1,0.1,0.0
112,0.0,0.1,0.3,0.6
113,0.7,0.2,0.1,0.0
114,1.0,0.0,0.0,0.0
115,0.4,0.2,0.2,0.2
116,0.9,0.1,0.0,0.0
117,0.4,0.1,0.2,0.3
118,0.1,0.6,0.2,0.1
119,0.9,0.0,0.1,0.0
120,0.9,0.1,0.0,0.0
121,0.4,0.4,0.2,0.0
122,0.7,0.2,0.1,0.0
123,0.6,0.3,0.1,0.0
124,0.7,0.2,0.1,0.0
125,0.9,0.1,0.0,0.0
126,1.0,0.0,0.0,0.0
127,0.7,0.3,0.0,0.0
128,0.5,0.4,0.1,0.0
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,0.8,0.2,0.0,0.0
132,0.2,0.7,0.1,0.0
133,0.9,0.0,0.1,0.0
134,0.6,0.0,0.4,0.0
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.9,0.1,0.0,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,0.9,0.1,0.0,0.0
141,0.9,0.0,0.1,0.0
142,0.8,0.2,0.0,0.0
143,0.3,0.3,0.3,0.1
