,l-r,e-k,a-d,s-
0,0.5,0.1,0.2,0.2
1,0.2,0.2,0.5,0.1
2,0.2,0.2,0.3,0.3
3,0.1,0.6,0.3,0.0
4,0.4,0.0,0.6,0.0
5,0.6,0.0,0.4,0.0
6,0.5,0.1,0.0,0.4
7,0.5,0.2,0.0,0.3
8,0.0,0.5,0.5,0.0
9,0.3,0.1,0.2,0.4
10,0.2,0.3,0.1,0.4
11,0.1,0.1,0.4,0.4
12,0.0,0.9,0.0,0.1
13,0.1,0.1,0.2,0.6
14,0.4,0.2,0.4,0.0
15,0.1,0.5,0.1,0.3
16,0.1,0.5,0.2,0.2
17,0.6,0.1,0.1,0.2
18,0.1,0.7,0.0,0.2
19,0.1,0.5,0.1,0.3
20,0.3,0.4,0.1,0.2
21,0.2,0.3,0.1,0.4
22,0.1,0.3,0.6,0.0
23,0.1,0.1,0.3,0.5
24,0.5,0.3,0.2,0.0
25,0.0,0.1,0.2,0.7
26,0.1,0.1,0.7,0.1
27,0.1,0.6,0.2,0.1
28,0.3,0.3,0.4,0.0
29,0.1,0.6,0.2,0.1
30,0.5,0.1,0.3,0.1
31,0.0,0.1,0.0,0.9
32,0.3,0.0,0.5,0.2
33,0.3,0.1,0.4,0.2
34,0.1,0.7,0.2,0.0
35,0.5,0.1,0.1,0.3
36,0.0,0.1,0.8,0.1
37,0.2,0.3,0.3,0.2
38,0.1,0.1,0.4,0.4
39,0.1,0.0,0.1,0.8
40,0.4,0.1,0.3,0.2
41,0.3,0.3,0.1,0.3
42,0.9,0.0,0.1,0.0
43,0.3,0.2,0.3,0.2
44,0.3,0.0,0.4,0.3
45,0.7,0.0,0.2,0.1
46,0.1,0.2,0.6,0.1
47,0.0,0.6,0.2,0.2
48,0.1,0.7,0.2,0.0
49,0.2,0.2,0.4,0.2
50,0.1,0.9,0.0,0.0
51,0.1,0.0,0.0,0.9
52,0.3,0.2,0.4,0.1
53,0.1,0.2,0.0,0.7
54,0.0,0.0,1.0,0.0
55,0.7,0.1,0.2,0.0
56,0.2,0.2,0.6,0.0
57,0.3,0.0,0.3,0.4
58,0.3,0.5,0.2,0.0
59,0.2,0.3,0.2,0.3
60,1.0,0.0,0.0,0.0
61,0.1,0.2,0.3,0.4
62,0.0,0.0,1.0,0.0
63,0.4,0.5,0.0,0.1
64,0.6,0.1,0.0,0.3
65,0.6,0.1,0.0,0.3
66,0.0,0.0,1.0,0.0
67,0.9,0.0,0.1,0.0
68,0.1,0.0,0.4,0.5
69,0.5,0.2,0.2,0.1
70,0.9,0.1,0.0,0.0
71,0.4,0.3,0.2,0.1
72,0.5,0.2,0.2,0.1
73,0.3,0.2,0.3,0.2
74,0.3,0.3,0.0,0.4
75,0.1,0.6,0.2,0.1
76,0.3,0.0,0.3,0.4
77,0.2,0.2,0.2,0.4
78,0.1,0.5,0.2,0.2
79,0.3,0.2,0.3,0.2
80,0.4,0.3,0.0,0.3
81,0.4,0.5,0.0,0.1
82,0.1,0.4,0.1,0.4
83,0.0,0.0,0.1,0.9
84,0.0,0.2,0.6,0.2
85,0.0,0.9,0.0,0.1
86,0.2,0.1,0.2,0.5
87,0.0,0.0,0.4,0.6
88,0.2,0.1,0.0,0.7
89,0.0,0.8,0.0,0.2
90,0.1,0.2,0.3,0.4
91,0.8,0.0,0.2,0.0
92,0.1,0.6,0.3,0.0
93,0.1,0.0,0.1,0.8
94,1.0,0.0,0.0,0.0
95,0.3,0.2,0.5,0.0
96,0.6,0.2,0.0,0.2
97,0.1,0.9,0.0,0.0
98,0.2,0.5,0.0,0.3
99,0.1,0.0,0.1,0.8
100,0.2,0.1,0.6,0.1
101,0.4,0.2,0.0,0.4
102,0.0,0.1,0.0,0.9
103,0.4,0.1,0.1,0.4
104,0.4,0.2,0.3,0.1
105,0.0,0.1,0.3,0.6
106,0.1,0.1,0.4,0.4
107,0.1,0.2,0.5,0.2
108,0.2,0.3,0.4,0.1
109,0.1,0.9,0.0,0.0
110,0.7,0.1,0.0,0.2
111,0.1,0.2,0.6,0.1
112,0.9,0.1,0.0,0.0
113,0.3,0.3,0.2,0.2
114,0.3,0.2,0.3,0.2
115,0.0,0.0,0.1,0.9
116,0.3,0.2,0.3,0.2
117,0.4,0.0,0.5,0.1
118,0.4,0.2,0.1,0.3
119,0.1,0.4,0.3,0.2
120,0.3,0.4,0.2,0.1
121,0.7,0.2,0.0,0.1
122,0.1,0.0,0.0,0.9
123,0.2,0.6,0.2,0.0
124,0.3,0.3,0.1,0.3
125,0.0,1.0,0.0,0.0
126,0.3,0.1,0.0,0.6
127,0.1,0.3,0.3,0.3
128,0.4,0.1,0.5,0.0
129,0.2,0.3,0.3,0.2
130,0.2,0.7,0.1,0.0
131,0.1,0.0,0.9,0.0
132,0.0,0.0,0.9,0.1
133,0.0,1.0,0.0,0.0
134,0.5,0.2,0.1,0.2
135,0.8,0.1,0.0,0.1
136,0.2,0.2,0.0,0.6
137,0.8,0.1,0.1,0.0
138,0.2,0.3,0.1,0.4
139,0.1,0.0,0.0,0.9
140,0.2,0.4,0.1,0.3
141,1.0,0.0,0.0,0.0
142,0.7,0.1,0.2,0.0
143,0.0,0.0,1.0,0.0
