,Medium-High,High,Low,Medium-Low
0,0.0,0.0,0.8,0.2
1,0.2,0.0,0.6,0.2
2,0.3,0.1,0.3,0.3
3,0.0,0.0,1.0,0.0
4,0.0,0.0,1.0,0.0
5,0.0,0.0,0.7,0.3
6,0.3,0.0,0.0,0.7
7,0.0,0.0,0.9,0.1
8,0.0,0.0,0.9,0.1
9,0.0,0.0,1.0,0.0
10,0.1,0.0,0.7,0.2
11,0.1,0.0,0.8,0.1
12,0.0,0.0,0.9,0.1
13,0.0,0.0,0.6,0.4
14,0.0,0.0,1.0,0.0
15,0.0,0.0,0.8,0.2
16,0.0,0.0,1.0,0.0
17,0.1,0.0,0.7,0.2
18,0.1,0.0,0.6,0.3
19,0.0,0.0,0.9,0.1
20,0.0,0.0,1.0,0.0
21,0.1,0.0,0.9,0.0
22,0.0,0.0,1.0,0.0
23,0.0,0.0,1.0,0.0
24,0.0,0.0,0.5,0.5
25,0.0,0.0,0.7,0.3
26,0.0,0.0,0.9,0.1
27,0.0,0.0,1.0,0.0
28,0.1,0.0,0.3,0.6
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
33,0.2,0.0,0.6,0.2
34,0.0,0.0,1.0,0.0
35,0.4,0.1,0.3,0.2
36,0.0,0.0,0.8,0.2
37,0.0,0.0,0.9,0.1
38,0.1,0.2,0.3,0.4
39,0.0,0.0,1.0,0.0
40,0.2,0.0,0.7,0.1
41,0.0,0.0,1.0,0.0
42,0.0,0.0,1.0,0.0
43,0.4,0.4,0.1,0.1
44,0.6,0.1,0.2,0.1
45,0.1,0.0,0.7,0.2
46,0.1,0.0,0.8,0.1
47,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
49,0.5,0.3,0.0,0.2
50,0.0,0.0,0.9,0.1
51,0.1,0.0,0.8,0.1
52,0.0,0.0,1.0,0.0
53,0.0,0.1,0.7,0.2
54,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
56,0.0,0.0,0.9,0.1
57,0.0,0.0,0.9,0.1
58,0.1,0.0,0.7,0.2
59,0.1,0.0,0.9,0.0
60,0.0,0.0,1.0,0.0
61,0.0,0.0,0.7,0.3
62,0.0,0.0,0.7,0.3
63,0.0,0.0,1.0,0.0
64,0.0,0.0,0.8,0.2
65,0.1,0.0,0.8,0.1
66,0.0,0.0,0.8,0.2
67,0.3,0.0,0.2,0.5
68,0.0,0.0,0.8,0.2
69,0.5,0.2,0.3,0.0
70,0.4,0.2,0.0,0.4
71,0.0,0.0,0.9,0.1
72,0.0,0.0,0.9,0.1
73,0.2,0.1,0.4,0.3
74,0.0,0.0,1.0,0.0
75,0.0,0.0,0.8,0.2
76,0.1,0.0,0.4,0.5
77,0.0,0.0,0.9,0.1
78,0.1,0.0,0.6,0.3
79,0.1,0.0,0.1,0.8
80,0.1,0.1,0.3,0.5
81,0.1,0.0,0.3,0.6
82,0.0,0.0,0.9,0.1
83,0.0,0.0,1.0,0.0
84,0.0,0.0,1.0,0.0
85,0.0,0.0,1.0,0.0
86,0.0,0.0,0.7,0.3
87,0.0,0.0,1.0,0.0
88,0.0,0.0,0.9,0.1
89,0.0,0.0,1.0,0.0
90,0.0,0.0,1.0,0.0
91,0.0,0.0,1.0,0.0
92,0.0,0.1,0.9,0.0
93,0.0,0.0,1.0,0.0
94,0.0,0.0,1.0,0.0
95,0.1,0.0,0.9,0.0
96,0.2,0.0,0.6,0.2
97,0.0,0.0,1.0,0.0
98,0.0,0.0,1.0,0.0
99,0.1,0.0,0.7,0.2
100,0.2,0.0,0.7,0.1
101,0.4,0.0,0.4,0.2
102,0.0,0.0,1.0,0.0
103,0.1,0.0,0.7,0.2
104,0.0,0.0,0.8,0.2
105,0.0,0.0,1.0,0.0
106,0.0,0.1,0.6,0.3
107,0.2,0.2,0.1,0.5
108,0.0,0.0,0.9,0.1
109,0.0,0.0,0.8,0.2
110,0.1,0.2,0.6,0.1
111,0.2,0.0,0.6,0.2
112,0.4,0.6,0.0,0.0
113,0.1,0.1,0.8,0.0
114,0.0,0.0,1.0,0.0
115,0.1,0.1,0.5,0.3
116,0.0,0.0,0.9,0.1
117,0.0,0.0,0.6,0.4
118,0.2,0.1,0.3,0.4
119,0.3,0.0,0.6,0.1
120,0.1,0.0,0.9,0.0
121,0.0,0.0,1.0,0.0
122,0.1,0.0,0.9,0.0
123,0.0,0.0,1.0,0.0
124,0.0,0.0,0.9,0.1
125,0.0,0.0,1.0,0.0
126,0.0,0.0,1.0,0.0
127,0.0,0.0,0.8,0.2
128,0.1,0.0,0.6,0.3
129,0.0,0.0,1.0,0.0
130,0.1,0.0,0.9,0.0
131,0.0,0.0,0.9,0.1
132,0.0,0.0,1.0,0.0
133,0.0,0.0,1.0,0.0
134,0.2,0.0,0.7,0.1
135,0.0,0.0,1.0,0.0
136,0.0,0.0,1.0,0.0
137,0.0,0.0,0.8,0.2
138,0.0,0.0,1.0,0.0
139,0.0,0.0,1.0,0.0
140,0.0,0.0,1.0,0.0
141,0.0,0.1,0.8,0.1
142,0.0,0.0,1.0,0.0
143,0.1,0.0,0.8,0.1
