,Pre-1900s,21st century,20th century,Unknown
0,0.0,0.0,0.0,1.0
1,0.1,0.1,0.0,0.8
2,0.0,0.2,0.5,0.3
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.1,0.0,0.2,0.7
6,0.0,0.0,0.8,0.2
7,0.1,0.1,0.1,0.7
8,0.1,0.0,0.2,0.7
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.6,0.4
11,0.0,0.0,0.2,0.8
12,0.0,0.0,0.1,0.9
13,0.0,0.0,0.1,0.9
14,0.0,0.0,0.1,0.9
15,0.6,0.0,0.3,0.1
16,0.4,0.0,0.0,0.6
17,0.0,0.0,0.2,0.8
18,0.1,0.0,0.0,0.9
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,1.0
21,0.3,0.0,0.2,0.5
22,0.0,0.0,0.0,1.0
23,0.9,0.0,0.1,0.0
24,0.0,0.4,0.1,0.5
25,0.1,0.0,0.2,0.7
26,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,1.0
28,0.0,0.5,0.0,0.5
29,0.0,0.0,0.0,1.0
30,0.0,0.1,0.1,0.8
31,0.2,0.0,0.0,0.8
32,0.0,0.0,0.3,0.7
33,0.1,0.0,0.4,0.5
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.2,0.8
36,0.0,0.0,0.2,0.8
37,0.2,0.0,0.0,0.8
38,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,1.0
41,0.5,0.0,0.3,0.2
42,0.0,0.0,0.0,1.0
43,0.0,0.0,0.6,0.4
44,0.0,0.0,0.4,0.6
45,0.0,0.0,0.2,0.8
46,0.2,0.0,0.7,0.1
47,0.0,0.0,0.9,0.1
48,0.6,0.0,0.3,0.1
49,0.0,0.1,0.3,0.6
50,0.0,0.0,0.1,0.9
51,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,1.0
55,0.3,0.0,0.5,0.2
56,0.0,0.0,0.0,1.0
57,0.0,0.0,0.4,0.6
58,0.0,0.1,0.2,0.7
59,0.0,0.1,0.1,0.8
60,0.0,0.0,0.0,1.0
61,0.2,0.2,0.2,0.4
62,0.0,0.0,0.0,1.0
63,0.4,0.0,0.5,0.1
64,0.0,0.0,0.1,0.9
65,0.0,0.3,0.0,0.7
66,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,1.0
68,0.3,0.0,0.0,0.7
69,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
71,0.0,0.1,0.9,0.0
72,0.0,0.2,0.8,0.0
73,0.0,0.0,0.0,1.0
74,0.0,0.0,0.0,1.0
75,0.0,0.0,0.3,0.7
76,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,1.0
78,0.5,0.0,0.2,0.3
79,0.0,0.7,0.0,0.3
80,0.0,0.9,0.0,0.1
81,0.0,0.8,0.1,0.1
82,0.0,0.0,0.1,0.9
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.1,0.0,0.1,0.8
87,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.0,0.1,0.3,0.6
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.1,0.0,0.8,0.1
96,0.0,0.2,0.1,0.7
97,0.0,0.0,0.0,1.0
98,0.1,0.0,0.5,0.4
99,0.2,0.0,0.5,0.3
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.1,0.9
102,0.0,0.0,1.0,0.0
103,0.0,0.0,0.0,1.0
104,0.0,0.0,0.1,0.9
105,0.3,0.0,0.2,0.5
106,0.2,0.0,0.0,0.8
107,0.3,0.0,0.0,0.7
108,0.1,0.0,0.8,0.1
109,0.6,0.0,0.3,0.1
110,0.1,0.1,0.1,0.7
111,0.1,0.0,0.1,0.8
112,0.4,0.0,0.2,0.4
113,0.0,0.1,0.0,0.9
114,0.0,0.1,0.1,0.8
115,0.0,0.0,0.0,1.0
116,0.0,0.3,0.1,0.6
117,0.0,0.0,0.1,0.9
118,0.0,0.1,0.0,0.9
119,0.1,0.0,0.1,0.8
120,0.0,0.0,0.1,0.9
121,0.0,0.0,0.0,1.0
122,0.1,0.0,0.1,0.8
123,0.0,0.0,0.0,1.0
124,0.1,0.0,0.0,0.9
125,0.0,0.0,0.0,1.0
126,0.1,0.0,0.0,0.9
127,0.0,0.0,0.0,1.0
128,0.0,0.0,0.1,0.9
129,0.0,0.0,0.1,0.9
130,0.0,0.0,0.0,1.0
131,0.0,0.0,0.1,0.9
132,0.0,0.0,0.0,1.0
133,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,1.0
135,0.0,0.0,0.0,1.0
136,0.0,0.0,0.0,1.0
137,0.3,0.0,0.0,0.7
138,0.0,0.0,0.0,1.0
139,0.1,0.0,0.0,0.9
140,0.0,0.0,0.0,1.0
141,0.0,0.2,0.2,0.6
142,0.0,0.2,0.0,0.8
143,0.0,0.0,0.0,1.0
