,s-,e-k,a-d,l-r
0,0.2,0.1,0.2,0.5
1,0.1,0.2,0.5,0.2
2,0.3,0.2,0.3,0.2
3,0.0,0.6,0.3,0.1
4,0.0,0.0,0.6,0.4
5,0.0,0.0,0.4,0.6
6,0.4,0.1,0.0,0.5
7,0.3,0.2,0.0,0.5
8,0.0,0.5,0.5,0.0
9,0.4,0.1,0.2,0.3
10,0.4,0.3,0.1,0.2
11,0.4,0.1,0.4,0.1
12,0.1,0.9,0.0,0.0
13,0.6,0.1,0.2,0.1
14,0.0,0.2,0.4,0.4
15,0.3,0.5,0.1,0.1
16,0.2,0.5,0.2,0.1
17,0.2,0.1,0.1,0.6
18,0.2,0.7,0.0,0.1
19,0.3,0.5,0.1,0.1
20,0.2,0.4,0.1,0.3
21,0.4,0.3,0.1,0.2
22,0.0,0.3,0.6,0.1
23,0.5,0.1,0.3,0.1
24,0.0,0.3,0.2,0.5
25,0.7,0.1,0.2,0.0
26,0.1,0.1,0.7,0.1
27,0.1,0.6,0.2,0.1
28,0.0,0.3,0.4,0.3
29,0.1,0.6,0.2,0.1
30,0.1,0.1,0.3,0.5
31,0.9,0.1,0.0,0.0
32,0.2,0.0,0.5,0.3
33,0.2,0.1,0.4,0.3
34,0.0,0.7,0.2,0.1
35,0.3,0.1,0.1,0.5
36,0.1,0.1,0.8,0.0
37,0.2,0.3,0.3,0.2
38,0.4,0.1,0.4,0.1
39,0.8,0.0,0.1,0.1
40,0.2,0.1,0.3,0.4
41,0.3,0.3,0.1,0.3
42,0.0,0.0,0.1,0.9
43,0.2,0.2,0.3,0.3
44,0.3,0.0,0.4,0.3
45,0.1,0.0,0.2,0.7
46,0.1,0.2,0.6,0.1
47,0.2,0.6,0.2,0.0
48,0.0,0.7,0.2,0.1
49,0.2,0.2,0.4,0.2
50,0.0,0.9,0.0,0.1
51,0.9,0.0,0.0,0.1
52,0.1,0.2,0.4,0.3
53,0.7,0.2,0.0,0.1
54,0.0,0.0,1.0,0.0
55,0.0,0.1,0.2,0.7
56,0.0,0.2,0.6,0.2
57,0.4,0.0,0.3,0.3
58,0.0,0.5,0.2,0.3
59,0.3,0.3,0.2,0.2
60,0.0,0.0,0.0,1.0
61,0.4,0.2,0.3,0.1
62,0.0,0.0,1.0,0.0
63,0.1,0.5,0.0,0.4
64,0.3,0.1,0.0,0.6
65,0.3,0.1,0.0,0.6
66,0.0,0.0,1.0,0.0
67,0.0,0.0,0.1,0.9
68,0.5,0.0,0.4,0.1
69,0.1,0.2,0.2,0.5
70,0.0,0.1,0.0,0.9
71,0.1,0.3,0.2,0.4
72,0.1,0.2,0.2,0.5
73,0.2,0.2,0.3,0.3
74,0.4,0.3,0.0,0.3
75,0.1,0.6,0.2,0.1
76,0.4,0.0,0.3,0.3
77,0.4,0.2,0.2,0.2
78,0.2,0.5,0.2,0.1
79,0.2,0.2,0.3,0.3
80,0.3,0.3,0.0,0.4
81,0.1,0.5,0.0,0.4
82,0.4,0.4,0.1,0.1
83,0.9,0.0,0.1,0.0
84,0.2,0.2,0.6,0.0
85,0.1,0.9,0.0,0.0
86,0.5,0.1,0.2,0.2
87,0.6,0.0,0.4,0.0
88,0.7,0.1,0.0,0.2
89,0.2,0.8,0.0,0.0
90,0.4,0.2,0.3,0.1
91,0.0,0.0,0.2,0.8
92,0.0,0.6,0.3,0.1
93,0.8,0.0,0.1,0.1
94,0.0,0.0,0.0,1.0
95,0.0,0.2,0.5,0.3
96,0.2,0.2,0.0,0.6
97,0.0,0.9,0.0,0.1
98,0.3,0.5,0.0,0.2
99,0.8,0.0,0.1,0.1
100,0.1,0.1,0.6,0.2
101,0.4,0.2,0.0,0.4
102,0.9,0.1,0.0,0.0
103,0.4,0.1,0.1,0.4
104,0.1,0.2,0.3,0.4
105,0.6,0.1,0.3,0.0
106,0.4,0.1,0.4,0.1
107,0.2,0.2,0.5,0.1
108,0.1,0.3,0.4,0.2
109,0.0,0.9,0.0,0.1
110,0.2,0.1,0.0,0.7
111,0.1,0.2,0.6,0.1
112,0.0,0.1,0.0,0.9
113,0.2,0.3,0.2,0.3
114,0.2,0.2,0.3,0.3
115,0.9,0.0,0.1,0.0
116,0.2,0.2,0.3,0.3
117,0.1,0.0,0.5,0.4
118,0.3,0.2,0.1,0.4
119,0.2,0.4,0.3,0.1
120,0.1,0.4,0.2,0.3
121,0.1,0.2,0.0,0.7
122,0.9,0.0,0.0,0.1
123,0.0,0.6,0.2,0.2
124,0.3,0.3,0.1,0.3
125,0.0,1.0,0.0,0.0
126,0.6,0.1,0.0,0.3
127,0.3,0.3,0.3,0.1
128,0.0,0.1,0.5,0.4
129,0.2,0.3,0.3,0.2
130,0.0,0.7,0.1,0.2
131,0.0,0.0,0.9,0.1
132,0.1,0.0,0.9,0.0
133,0.0,1.0,0.0,0.0
134,0.2,0.2,0.1,0.5
135,0.1,0.1,0.0,0.8
136,0.6,0.2,0.0,0.2
137,0.0,0.1,0.1,0.8
138,0.4,0.3,0.1,0.2
139,0.9,0.0,0.0,0.1
140,0.3,0.4,0.1,0.2
141,0.0,0.0,0.0,1.0
142,0.0,0.1,0.2,0.7
143,0.0,0.0,1.0,0.0
