,Unknown,Pre-1900s,21st century,20th century
0,1.0,0.0,0.0,0.0
1,0.8,0.1,0.1,0.0
2,0.3,0.0,0.2,0.5
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,0.7,0.1,0.0,0.2
6,0.2,0.0,0.0,0.8
7,0.7,0.1,0.1,0.1
8,0.7,0.1,0.0,0.2
9,1.0,0.0,0.0,0.0
10,0.4,0.0,0.0,0.6
11,0.8,0.0,0.0,0.2
12,0.9,0.0,0.0,0.1
13,0.9,0.0,0.0,0.1
14,0.9,0.0,0.0,0.1
15,0.1,0.6,0.0,0.3
16,0.6,0.4,0.0,0.0
17,0.8,0.0,0.0,0.2
18,0.9,0.1,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,0.5,0.3,0.0,0.2
22,1.0,0.0,0.0,0.0
23,0.0,0.9,0.0,0.1
24,0.5,0.0,0.4,0.1
25,0.7,0.1,0.0,0.2
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,0.5,0.0,0.5,0.0
29,1.0,0.0,0.0,0.0
30,0.8,0.0,0.1,0.1
31,0.8,0.2,0.0,0.0
32,0.7,0.0,0.0,0.3
33,0.5,0.1,0.0,0.4
34,1.0,0.0,0.0,0.0
35,0.8,0.0,0.0,0.2
36,0.8,0.0,0.0,0.2
37,0.8,0.2,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,0.2,0.5,0.0,0.3
42,1.0,0.0,0.0,0.0
43,0.4,0.0,0.0,0.6
44,0.6,0.0,0.0,0.4
45,0.8,0.0,0.0,0.2
46,0.1,0.2,0.0,0.7
47,0.1,0.0,0.0,0.9
48,0.1,0.6,0.0,0.3
49,0.6,0.0,0.1,0.3
50,0.9,0.0,0.0,0.1
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,0.2,0.3,0.0,0.5
56,1.0,0.0,0.0,0.0
57,0.6,0.0,0.0,0.4
58,0.7,0.0,0.1,0.2
59,0.8,0.0,0.1,0.1
60,1.0,0.0,0.0,0.0
61,0.4,0.2,0.2,0.2
62,1.0,0.0,0.0,0.0
63,0.1,0.4,0.0,0.5
64,0.9,0.0,0.0,0.1
65,0.7,0.0,0.3,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,0.7,0.3,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,0.0,0.0,0.1,0.9
72,0.0,0.0,0.2,0.8
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,0.7,0.0,0.0,0.3
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,0.3,0.5,0.0,0.2
79,0.3,0.0,0.7,0.0
80,0.1,0.0,0.9,0.0
81,0.1,0.0,0.8,0.1
82,0.9,0.0,0.0,0.1
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.8,0.1,0.0,0.1
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,0.6,0.0,0.1,0.3
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.1,0.1,0.0,0.8
96,0.7,0.0,0.2,0.1
97,1.0,0.0,0.0,0.0
98,0.4,0.1,0.0,0.5
99,0.3,0.2,0.0,0.5
100,1.0,0.0,0.0,0.0
101,0.9,0.0,0.0,0.1
102,0.0,0.0,0.0,1.0
103,1.0,0.0,0.0,0.0
104,0.9,0.0,0.0,0.1
105,0.5,0.3,0.0,0.2
106,0.8,0.2,0.0,0.0
107,0.7,0.3,0.0,0.0
108,0.1,0.1,0.0,0.8
109,0.1,0.6,0.0,0.3
110,0.7,0.1,0.1,0.1
111,0.8,0.1,0.0,0.1
112,0.4,0.4,0.0,0.2
113,0.9,0.0,0.1,0.0
114,0.8,0.0,0.1,0.1
115,1.0,0.0,0.0,0.0
116,0.6,0.0,0.3,0.1
117,0.9,0.0,0.0,0.1
118,0.9,0.0,0.1,0.0
119,0.8,0.1,0.0,0.1
120,0.9,0.0,0.0,0.1
121,1.0,0.0,0.0,0.0
122,0.8,0.1,0.0,0.1
123,1.0,0.0,0.0,0.0
124,0.9,0.1,0.0,0.0
125,1.0,0.0,0.0,0.0
126,0.9,0.1,0.0,0.0
127,1.0,0.0,0.0,0.0
128,0.9,0.0,0.0,0.1
129,0.9,0.0,0.0,0.1
130,1.0,0.0,0.0,0.0
131,0.9,0.0,0.0,0.1
132,1.0,0.0,0.0,0.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,0.7,0.3,0.0,0.0
138,1.0,0.0,0.0,0.0
139,0.9,0.1,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.6,0.0,0.2,0.2
142,0.8,0.0,0.2,0.0
143,1.0,0.0,0.0,0.0
