,s-,l-r,e-k,a-d
0,0.1,0.1,0.3,0.5
1,0.4,0.3,0.2,0.1
2,0.4,0.5,0.1,0.0
3,0.3,0.2,0.3,0.2
4,0.1,0.1,0.3,0.5
5,0.1,0.8,0.0,0.1
6,0.9,0.1,0.0,0.0
7,0.3,0.0,0.2,0.5
8,0.7,0.0,0.1,0.2
9,0.0,0.2,0.6,0.2
10,0.5,0.1,0.2,0.2
11,0.5,0.4,0.1,0.0
12,0.0,0.7,0.3,0.0
13,0.0,0.1,0.3,0.6
14,0.0,0.1,0.8,0.1
15,0.3,0.3,0.4,0.0
16,0.3,0.3,0.3,0.1
17,0.0,0.6,0.4,0.0
18,0.0,1.0,0.0,0.0
19,0.1,0.1,0.1,0.7
20,0.2,0.4,0.2,0.2
21,0.5,0.0,0.3,0.2
22,0.2,0.2,0.4,0.2
23,0.1,0.7,0.0,0.2
24,0.1,0.3,0.1,0.5
25,0.6,0.3,0.1,0.0
26,0.0,0.4,0.1,0.5
27,0.1,0.5,0.1,0.3
28,0.2,0.8,0.0,0.0
29,0.1,0.1,0.1,0.7
30,0.3,0.2,0.5,0.0
31,0.0,0.9,0.0,0.1
32,0.6,0.0,0.1,0.3
33,0.1,0.2,0.3,0.4
34,0.2,0.3,0.2,0.3
35,0.2,0.2,0.2,0.4
36,0.3,0.1,0.0,0.6
37,0.2,0.2,0.4,0.2
38,0.4,0.2,0.0,0.4
39,0.1,0.2,0.2,0.5
40,0.0,0.4,0.3,0.3
41,0.3,0.6,0.0,0.1
42,0.0,0.2,0.6,0.2
43,0.3,0.3,0.1,0.3
44,0.1,0.9,0.0,0.0
45,0.9,0.1,0.0,0.0
46,0.0,0.0,0.0,1.0
47,0.0,0.2,0.1,0.7
48,0.0,0.1,0.8,0.1
49,0.2,0.0,0.5,0.3
50,0.1,0.2,0.7,0.0
51,0.3,0.1,0.5,0.1
52,0.0,0.1,0.5,0.4
53,0.0,0.3,0.6,0.1
54,0.0,0.3,0.5,0.2
55,0.1,0.6,0.0,0.3
56,0.2,0.5,0.0,0.3
57,0.5,0.3,0.1,0.1
58,0.4,0.1,0.4,0.1
59,0.0,0.8,0.1,0.1
60,0.1,0.3,0.2,0.4
61,0.0,0.1,0.5,0.4
62,0.1,0.7,0.0,0.2
63,0.2,0.1,0.4,0.3
64,0.0,0.9,0.1,0.0
65,0.4,0.0,0.1,0.5
66,0.0,0.2,0.5,0.3
67,0.0,0.1,0.8,0.1
68,0.1,0.1,0.4,0.4
69,0.1,0.1,0.5,0.3
70,0.2,0.3,0.3,0.2
71,0.2,0.1,0.0,0.7
72,0.1,0.1,0.4,0.4
73,0.2,0.5,0.3,0.0
74,0.1,0.3,0.0,0.6
75,0.1,0.4,0.0,0.5
76,0.0,0.3,0.1,0.6
77,0.1,0.1,0.4,0.4
78,0.0,0.9,0.0,0.1
79,0.5,0.3,0.1,0.1
80,0.3,0.3,0.1,0.3
81,0.1,0.3,0.2,0.4
82,0.2,0.1,0.2,0.5
83,0.0,0.0,0.0,1.0
84,0.3,0.2,0.3,0.2
85,0.1,0.1,0.4,0.4
86,0.1,0.2,0.1,0.6
87,0.2,0.4,0.0,0.4
