,s-,l-r,e-k,a-d
0,0.0098862406378169,0.0,0.07044808198292041,0.08022859572754179
1,0.0021268960951976,0.0,0.0496268973047716,0.0
2,0.0,0.0,0.0,0.0
3,0.059917481353048,0.0,0.0,0.0531801835319331
4,0.0,0.0,0.0,0.0023600594089235
5,0.0030264815573035,0.1673332649613817,0.0,0.0018461537485557
6,0.0066816077604384,0.0,0.0,0.0
7,0.0070422536866977,0.0,0.0,0.0
8,0.0550117348398761,0.0,0.0,0.0525276167739543
9,0.0,0.0132204049955698,0.08889139837099211,0.023197139151993
10,0.0851814619019023,0.0,0.0643979454517087,0.0149742820520667
11,0.0,0.0,0.0,0.0
12,0.0,0.0605682641635517,0.0204367218920204,0.0
13,0.0,0.0219952868555846,0.0043516613125814,0.0445319243263083
14,0.0,0.0,0.0,0.0
15,0.0870138432664322,0.0690651456723396,0.0815323076128425,0.0
16,0.10733510860429381,0.060179874358005,0.10569501859075739,0.0
17,0.0,0.0339796869066899,0.09013105359818079,0.0
18,0.0,0.269774806504253,0.0,0.0
19,0.0,0.0,0.0,0.004726022028658
20,0.14924624974208522,0.1406203321240067,0.0721751303061952,0.0
21,0.0,0.0,0.0149044993072613,0.0
22,0.0,0.0,0.0,0.0
23,0.0810189679101783,0.0782369597340211,0.0,0.06649712320086701
24,0.0847975094544382,0.11483552240012271,0.0276967936757218,0.21531795070040952
25,0.0182043071800535,0.0140761191385023,0.0,0.0
26,0.0,0.0035909175099238,0.0049118187590303,0.0
27,0.0,0.0240948770505218,0.0,0.0
28,0.0020651792143871,0.0542586666791195,0.0,0.0
29,0.0,0.0,0.0924372668290526,0.0161238365852519
30,0.0302229471169842,0.004329942015407,0.11482220876175131,0.0
31,0.0,0.0,0.0,0.0
32,0.0008510643658602,0.0,0.0,0.0
33,0.0107032410048593,0.027033016439414498,0.0042851435318796,0.0
34,0.0,0.0555543787214892,0.0083627650961478,0.0535815744499169
35,0.0,0.0,0.0,0.0
36,0.0931495414509948,0.0,0.0,0.3001170373209018
37,0.0804646201955236,0.0454091413915725,0.0650584549644717,0.0237680036895189
38,0.0442649512960745,0.0329309817438622,0.0,0.0993910022462422
39,0.0200540462905149,0.0,0.0,0.5729181738922599
40,0.0,0.0364999612224198,0.05524300910920771,0.0654902976178468
41,0.1693694836640384,0.1555544209934586,0.0,0.0476449605801991
42,0.0,0.0,0.0124293786116988,0.0
43,0.0163412650328478,0.0327505473935888,0.0128684854332735,0.010930009745937
44,0.0093838744366822,0.36944957472600026,0.0,0.0
45,0.2605280460122612,0.1091761037294615,0.0,0.0
46,0.0,0.0,0.0,1.2913234923464563
47,0.0,0.0,0.0,0.0067299173500244
48,0.0,0.0366516287957298,0.0522821899385372,0.0116164385050171
49,0.0791700518622489,0.0,0.1734944036522967,0.0835996070560375
50,0.0,0.0,0.0,0.0
51,0.3584059915916215,0.0328282826073276,0.8894248517954084,0.1670013384642227
52,0.0,0.0,0.0,0.0621905326954206
53,0.0,0.0362702455326383,0.3074148768519839,0.0260393632260318
54,0.0,0.0476666077193144,0.2409603343122042,0.0349249381968609
55,0.0358539765513628,0.1476361074973881,0.0,0.039584414084123096
56,0.0431129209940164,0.1074751890286515,0.0,0.09108951680095101
57,0.0080193091835643,0.0,0.0,0.0
58,0.0001210843724707,0.0454247904743793,0.0,0.0443665137562933
59,0.0,0.057404339953083805,0.0,0.0
60,0.0,0.0,0.029444943454554,0.018364838016939798
61,0.0,0.0,0.0336760183755965,0.1691067508515517
62,0.0002558069094543,0.0856366665694026,0.0,0.0211882012256555
63,0.0,0.0,0.009666638093156401,0.0009599593161588
64,0.0,0.0,0.0,0.0
65,0.1516722892172678,0.0,0.0394088669950739,0.322361988315887
66,0.0,0.022675737362908,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0069163288836251,0.0904654626584161,0.20160857961945008,0.275568520400125
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0134286341034675,0.0,0.0,0.30150814216173927
72,0.0,0.0084856315310129,0.0695855405970709,0.09656749328869389
73,0.0011288866214651,0.0006709608833368,0.0,0.0
74,0.0274221248232491,0.0683656637500685,0.0,0.0
75,0.0,0.030178407614159502,0.0,0.0612104197949789
76,0.0,0.0142041666565615,0.0295463668004565,0.132325693724837
77,0.0128205124709551,0.0360648249548921,0.059547876289631596,0.0827307246678852
78,0.0,0.1945119228598817,0.0,0.0124067326841986
79,0.2919721224270537,0.058811472875200804,0.0028828828037879,0.020243309195001
80,0.0074880886890609,0.0048223948838196,0.0027992386453362,0.1129120781037692
81,0.0611405442931164,0.0,0.0029203514827614,0.0595504792984185
82,0.0,0.0034859250996157,0.0072905391698513,0.0456150978879772
83,0.0,0.0,0.0,0.23261015723149459
84,0.032201434279129595,0.0671123398573618,0.0575484250997558,0.03437759746301
85,0.0,0.0,0.0,0.0
86,0.0,0.0403225808366573,0.0,0.0548176259487165
87,0.0,0.030803979737834,0.0,0.0
88,0.0,0.0,0.0198552117883815,0.0431117406666574
89,0.0083127306428111,0.0,0.0,0.0
90,0.0522388059386154,0.055204793614224104,0.1359543062313198,0.0
91,0.0,0.0,0.5997262498055873,0.0
92,0.1221252967568198,0.0,0.0,0.0976094893001059
93,0.0,0.0837644775120059,0.13510360912188019,0.0372188935404968
94,0.0,0.0,0.0461878186455782,0.0
95,0.0,0.0,0.0034100602354461,0.0
