,Medium-Low,Medium-High,High,Low
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,3.0
2,1.0,1.0,0.0,0.0
3,0.0,0.0,0.0,1.0
4,0.0,1.0,0.0,0.0
5,0.0,2.0,1.0,2.0
6,2.0,0.0,0.0,5.0
7,1.0,0.0,0.0,3.0
8,0.0,0.0,0.0,1.0
9,1.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,1.0
12,1.0,0.0,0.0,1.0
13,0.0,1.0,0.0,0.0
14,0.0,0.0,0.0,2.0
15,0.0,0.0,0.0,0.0
16,0.0,2.0,0.0,2.0
17,0.0,0.0,0.0,2.0
18,0.0,0.0,0.0,4.0
19,0.0,0.0,0.0,4.0
20,1.0,1.0,0.0,2.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,1.0,1.0
23,2.0,0.0,1.0,1.0
24,1.0,0.0,0.0,1.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,2.0
27,0.0,0.0,0.0,1.0
28,2.0,0.0,0.0,2.0
29,1.0,0.0,0.0,2.0
30,0.0,0.0,0.0,4.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,2.0
33,0.0,0.0,0.0,0.0
34,4.0,1.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,3.0
40,0.0,0.0,0.0,2.0
41,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,1.0
43,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,0.0
45,1.0,1.0,0.0,0.0
46,0.0,0.0,0.0,2.0
47,1.0,2.0,0.0,0.0
48,0.0,0.0,0.0,3.0
49,1.0,0.0,0.0,2.0
50,0.0,0.0,0.0,2.0
51,1.0,0.0,0.0,1.0
52,3.0,2.0,0.0,1.0
53,0.0,0.0,0.0,0.0
54,2.0,0.0,0.0,1.0
55,2.0,0.0,0.0,1.0
56,3.0,0.0,0.0,1.0
57,0.0,0.0,0.0,1.0
58,1.0,0.0,0.0,0.0
59,2.0,0.0,0.0,4.0
60,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,0.0
62,2.0,1.0,0.0,1.0
63,1.0,0.0,0.0,0.0
64,0.0,0.0,0.0,1.0
65,1.0,0.0,0.0,2.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,2.0
74,1.0,0.0,0.0,0.0
75,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,2.0,0.0,0.0,2.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,1.0,1.0
82,0.0,1.0,0.0,4.0
83,1.0,0.0,1.0,3.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,1.0
87,0.0,0.0,0.0,3.0
88,0.0,0.0,0.0,2.0
89,0.0,0.0,0.0,4.0
90,2.0,0.0,0.0,2.0
91,0.0,0.0,0.0,2.0
92,1.0,0.0,0.0,3.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,3.0
96,1.0,0.0,0.0,1.0
97,0.0,0.0,0.0,7.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,1.0,0.0
100,1.0,0.0,0.0,3.0
101,0.0,0.0,0.0,5.0
102,0.0,0.0,0.0,1.0
103,1.0,0.0,0.0,4.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,2.0
106,1.0,0.0,0.0,4.0
107,1.0,0.0,0.0,1.0
108,2.0,0.0,0.0,1.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,3.0
111,0.0,0.0,0.0,2.0
112,0.0,0.0,0.0,2.0
113,0.0,0.0,0.0,1.0
114,1.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,1.0,0.0,1.0,2.0
117,1.0,0.0,0.0,2.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,2.0
120,1.0,0.0,0.0,3.0
121,0.0,0.0,0.0,2.0
122,1.0,0.0,0.0,1.0
123,2.0,0.0,1.0,3.0
124,1.0,3.0,2.0,1.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,2.0
127,1.0,1.0,0.0,1.0
128,0.0,0.0,0.0,0.0
129,3.0,0.0,0.0,3.0
130,0.0,1.0,0.0,2.0
131,0.0,0.0,0.0,0.0
132,4.0,2.0,0.0,0.0
133,2.0,0.0,0.0,5.0
134,1.0,1.0,0.0,4.0
135,1.0,0.0,1.0,2.0
136,0.0,0.0,0.0,2.0
137,0.0,0.0,0.0,2.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,0.0
140,1.0,2.0,0.0,1.0
141,1.0,0.0,0.0,0.0
142,0.0,1.0,0.0,0.0
143,1.0,0.0,0.0,4.0
144,1.0,2.0,0.0,1.0
145,0.0,0.0,0.0,0.0
146,1.0,0.0,0.0,2.0
147,2.0,0.0,0.0,4.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,1.0
150,1.0,0.0,0.0,1.0
151,0.0,1.0,0.0,0.0
152,1.0,0.0,0.0,1.0
153,2.0,0.0,0.0,1.0
154,0.0,0.0,0.0,0.0
155,1.0,0.0,0.0,2.0
156,0.0,0.0,0.0,1.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,2.0
159,0.0,0.0,0.0,1.0
160,0.0,0.0,0.0,2.0
161,0.0,0.0,0.0,0.0
