,Medium-Low,Medium-High,High,Low
0,0.3,0.0,0.0,0.7
1,0.1,0.1,0.0,0.8
2,0.4,0.3,0.0,0.3
3,0.1,0.0,0.0,0.9
4,0.2,0.1,0.0,0.7
5,0.0,0.5,0.1,0.4
6,0.2,0.0,0.0,0.8
7,0.1,0.0,0.0,0.9
8,0.3,0.0,0.0,0.7
9,0.2,0.0,0.0,0.8
10,0.2,0.2,0.1,0.5
11,0.1,0.0,0.0,0.9
12,0.4,0.1,0.0,0.5
13,0.1,0.4,0.0,0.5
14,0.0,0.0,0.0,1.0
15,0.6,0.0,0.0,0.4
16,0.1,0.2,0.0,0.7
17,0.2,0.0,0.0,0.8
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
20,0.5,0.2,0.0,0.3
21,0.2,0.0,0.1,0.7
22,0.1,0.1,0.1,0.7
23,0.4,0.3,0.1,0.2
24,0.1,0.1,0.0,0.8
25,0.2,0.1,0.0,0.7
26,0.0,0.1,0.0,0.9
27,0.5,0.0,0.0,0.5
28,0.4,0.1,0.0,0.5
29,0.4,0.1,0.0,0.5
30,0.1,0.0,0.0,0.9
31,0.4,0.0,0.0,0.6
32,0.0,0.0,0.0,1.0
33,0.3,0.0,0.0,0.7
34,0.7,0.1,0.1,0.1
35,0.2,0.0,0.0,0.8
36,0.2,0.1,0.1,0.6
37,0.3,0.0,0.1,0.6
38,0.3,0.0,0.0,0.7
39,0.0,0.0,0.0,1.0
40,0.3,0.0,0.0,0.7
41,0.4,0.1,0.0,0.5
42,0.1,0.0,0.0,0.9
43,0.3,0.0,0.0,0.7
44,0.6,0.3,0.0,0.1
45,0.3,0.7,0.0,0.0
46,0.1,0.0,0.0,0.9
47,0.4,0.2,0.0,0.4
48,0.0,0.0,0.0,1.0
49,0.2,0.0,0.0,0.8
50,0.3,0.1,0.0,0.6
51,0.4,0.0,0.0,0.6
52,0.4,0.3,0.0,0.3
53,0.0,0.0,0.0,1.0
54,0.3,0.0,0.0,0.7
55,0.3,0.0,0.0,0.7
56,0.4,0.0,0.1,0.5
57,0.2,0.0,0.0,0.8
58,0.4,0.3,0.0,0.3
59,0.3,0.1,0.0,0.6
60,0.2,0.1,0.0,0.7
61,0.1,0.0,0.0,0.9
62,0.4,0.3,0.0,0.3
63,0.2,0.0,0.0,0.8
64,0.1,0.1,0.0,0.8
65,0.6,0.0,0.0,0.4
66,0.1,0.0,0.0,0.9
67,0.0,0.0,0.0,1.0
68,0.3,0.0,0.0,0.7
69,0.2,0.0,0.0,0.8
70,0.1,0.4,0.1,0.4
71,0.0,0.0,0.0,1.0
72,0.3,0.0,0.0,0.7
73,0.5,0.1,0.0,0.4
74,0.2,0.1,0.0,0.7
75,0.1,0.1,0.0,0.8
76,0.1,0.0,0.0,0.9
77,0.3,0.0,0.0,0.7
78,0.2,0.1,0.2,0.5
79,0.2,0.0,0.0,0.8
80,0.0,0.1,0.2,0.7
81,0.2,0.2,0.2,0.4
82,0.1,0.1,0.1,0.7
83,0.2,0.1,0.1,0.6
84,0.1,0.0,0.0,0.9
85,0.3,0.0,0.0,0.7
86,0.3,0.0,0.0,0.7
87,0.1,0.1,0.0,0.8
88,0.0,0.0,0.0,1.0
89,0.0,0.1,0.0,0.9
90,0.3,0.0,0.0,0.7
91,0.0,0.0,0.0,1.0
92,0.1,0.3,0.0,0.6
93,0.3,0.0,0.0,0.7
94,0.1,0.1,0.0,0.8
95,0.1,0.0,0.1,0.8
96,0.3,0.2,0.0,0.5
97,0.0,0.0,0.0,1.0
98,0.2,0.1,0.0,0.7
99,0.2,0.0,0.1,0.7
100,0.1,0.1,0.0,0.8
101,0.0,0.0,0.0,1.0
102,0.0,0.1,0.0,0.9
103,0.1,0.0,0.1,0.8
104,0.2,0.1,0.0,0.7
105,0.0,0.0,0.0,1.0
106,0.2,0.1,0.0,0.7
107,0.4,0.1,0.0,0.5
108,0.4,0.0,0.0,0.6
109,0.0,0.2,0.0,0.8
110,0.2,0.0,0.0,0.8
111,0.1,0.0,0.1,0.8
112,0.1,0.1,0.0,0.8
113,0.1,0.0,0.0,0.9
114,0.2,0.1,0.1,0.6
115,0.2,0.0,0.0,0.8
116,0.2,0.0,0.1,0.7
117,0.1,0.0,0.0,0.9
118,0.0,0.0,0.0,1.0
119,0.4,0.0,0.0,0.6
120,0.2,0.0,0.0,0.8
121,0.0,0.0,0.0,1.0
122,0.4,0.1,0.1,0.4
123,0.4,0.1,0.1,0.4
124,0.1,0.3,0.4,0.2
125,0.6,0.3,0.1,0.0
126,0.2,0.3,0.1,0.4
127,0.4,0.1,0.0,0.5
128,0.2,0.2,0.1,0.5
129,0.4,0.0,0.1,0.5
130,0.0,0.1,0.0,0.9
131,0.1,0.1,0.0,0.8
132,0.4,0.5,0.0,0.1
133,0.3,0.0,0.0,0.7
134,0.1,0.1,0.0,0.8
135,0.1,0.0,0.1,0.8
136,0.2,0.1,0.0,0.7
137,0.1,0.0,0.0,0.9
138,0.1,0.0,0.0,0.9
139,0.5,0.1,0.0,0.4
140,0.3,0.4,0.1,0.2
141,0.3,0.0,0.0,0.7
142,0.3,0.2,0.0,0.5
143,0.4,0.0,0.2,0.4
144,0.3,0.4,0.1,0.2
145,0.1,0.3,0.3,0.3
146,0.1,0.0,0.0,0.9
147,0.2,0.0,0.0,0.8
148,0.1,0.0,0.0,0.9
149,0.3,0.0,0.0,0.7
150,0.2,0.1,0.0,0.7
151,0.2,0.1,0.0,0.7
152,0.4,0.0,0.0,0.6
153,0.2,0.1,0.0,0.7
154,0.0,0.0,0.0,1.0
155,0.3,0.1,0.0,0.6
156,0.0,0.0,0.0,1.0
157,0.2,0.1,0.0,0.7
158,0.2,0.0,0.0,0.8
159,0.3,0.1,0.0,0.6
160,0.2,0.1,0.0,0.7
161,0.4,0.0,0.0,0.6
162,0.1,0.1,0.0,0.8
163,0.0,0.0,0.0,1.0
164,0.2,0.0,0.0,0.8
165,0.1,0.2,0.1,0.6
166,0.0,0.0,0.0,1.0
167,0.1,0.0,0.0,0.9
168,0.0,0.1,0.1,0.8
169,0.5,0.0,0.0,0.5
170,0.0,0.3,0.0,0.7
171,0.4,0.2,0.0,0.4
172,0.3,0.0,0.0,0.7
173,0.1,0.1,0.0,0.8
174,0.3,0.0,0.0,0.7
175,0.3,0.0,0.0,0.7
176,0.1,0.3,0.0,0.6
177,0.3,0.4,0.0,0.3
178,0.1,0.1,0.0,0.8
179,0.0,0.1,0.0,0.9
180,0.2,0.0,0.0,0.8
181,0.3,0.2,0.1,0.4
182,0.5,0.1,0.0,0.4
183,0.0,0.0,0.0,1.0
184,0.1,0.0,0.1,0.8
185,0.3,0.0,0.1,0.6
186,0.1,0.0,0.1,0.8
187,0.0,0.0,0.0,1.0
188,0.6,0.2,0.2,0.0
189,0.2,0.0,0.0,0.8
190,0.1,0.0,0.0,0.9
191,0.1,0.1,0.0,0.8
192,0.1,0.0,0.0,0.9
193,0.3,0.0,0.0,0.7
194,0.3,0.3,0.0,0.4
195,0.3,0.1,0.0,0.6
196,0.2,0.0,0.0,0.8
197,0.0,0.2,0.0,0.8
198,0.1,0.1,0.0,0.8
199,0.5,0.3,0.0,0.2
200,0.1,0.0,0.0,0.9
201,0.1,0.1,0.0,0.8
202,0.1,0.1,0.0,0.8
203,0.3,0.1,0.1,0.5
204,0.0,0.1,0.0,0.9
205,0.4,0.2,0.3,0.1
206,0.4,0.0,0.0,0.6
207,0.3,0.1,0.0,0.6
208,0.2,0.0,0.0,0.8
209,0.1,0.0,0.0,0.9
210,0.3,0.2,0.0,0.5
211,0.1,0.4,0.0,0.5
212,0.0,0.0,0.1,0.9
213,0.3,0.0,0.0,0.7
214,0.1,0.2,0.0,0.7
215,0.0,0.0,0.0,1.0
216,0.1,0.1,0.0,0.8
217,0.2,0.0,0.0,0.8
218,0.4,0.0,0.0,0.6
219,0.0,0.0,0.0,1.0
220,0.0,0.1,0.0,0.9
221,0.1,0.1,0.0,0.8
222,0.3,0.0,0.0,0.7
223,0.4,0.1,0.0,0.5
224,0.5,0.2,0.1,0.2
225,0.0,0.1,0.0,0.9
226,0.1,0.1,0.0,0.8
227,0.0,0.2,0.0,0.8
228,0.1,0.3,0.3,0.3
229,0.1,0.0,0.0,0.9
230,0.1,0.1,0.0,0.8
231,0.1,0.0,0.0,0.9
232,0.0,0.0,0.0,1.0
233,0.5,0.2,0.0,0.3
234,0.2,0.0,0.0,0.8
235,0.3,0.0,0.0,0.7
236,0.0,0.0,0.0,1.0
237,0.1,0.0,0.1,0.8
238,0.0,0.1,0.0,0.9
239,0.0,0.1,0.0,0.9
240,0.3,0.0,0.0,0.7
241,0.1,0.0,0.0,0.9
242,0.1,0.0,0.0,0.9
243,0.2,0.0,0.0,0.8
244,0.3,0.0,0.0,0.7
