,21st century,Pre-1900s,20th century,Unknown
0,0.0,0.3,0.0,0.7
1,0.0,0.3,0.1,0.6
2,0.0,0.9,0.0,0.1
3,0.0,0.3,0.0,0.7
4,0.0,0.3,0.2,0.5
5,0.1,0.0,0.0,0.9
6,0.0,0.0,0.0,1.0
7,0.0,1.0,0.0,0.0
8,0.0,0.9,0.0,0.1
9,0.0,0.2,0.1,0.7
10,0.0,0.1,0.0,0.9
11,0.0,0.0,0.8,0.2
12,0.0,0.7,0.0,0.3
13,0.0,0.0,0.2,0.8
14,0.0,0.3,0.1,0.6
15,0.0,0.0,0.3,0.7
16,0.1,0.0,0.7,0.2
17,0.3,0.1,0.1,0.5
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.1,0.9
21,0.0,0.0,0.2,0.8
22,0.0,0.5,0.4,0.1
23,0.0,0.0,0.1,0.9
24,0.0,0.0,0.0,1.0
25,0.0,0.1,0.0,0.9
26,0.0,0.0,0.5,0.5
27,0.1,0.0,0.2,0.7
28,0.0,0.9,0.0,0.1
29,0.1,0.1,0.4,0.4
30,0.0,0.0,0.1,0.9
31,0.0,0.0,1.0,0.0
32,0.0,0.5,0.0,0.5
33,0.0,0.2,0.0,0.8
34,0.0,0.0,0.0,1.0
35,0.0,0.5,0.1,0.4
36,0.2,0.0,0.5,0.3
37,0.0,0.2,0.2,0.6
38,0.1,0.0,0.2,0.7
39,0.0,0.7,0.0,0.3
40,0.1,0.2,0.2,0.5
41,0.1,0.0,0.1,0.8
42,0.0,0.1,0.4,0.5
43,0.0,0.0,0.4,0.6
44,0.0,0.0,0.0,1.0
45,0.0,0.0,0.1,0.9
46,0.0,0.0,0.5,0.5
47,0.1,0.0,0.3,0.6
48,0.0,0.1,0.6,0.3
49,0.0,0.0,0.5,0.5
50,0.0,0.0,0.1,0.9
51,0.0,0.0,0.9,0.1
52,0.4,0.0,0.4,0.2
53,0.0,0.1,0.1,0.8
54,0.0,0.0,0.0,1.0
55,0.0,0.6,0.0,0.4
56,0.0,0.0,0.3,0.7
57,0.0,0.8,0.1,0.1
58,0.0,0.0,0.1,0.9
59,0.1,0.0,0.3,0.6
60,0.0,0.2,0.2,0.6
61,0.3,0.0,0.0,0.7
62,0.2,0.1,0.0,0.7
63,0.0,0.0,0.3,0.7
64,0.0,0.0,0.3,0.7
65,0.4,0.0,0.6,0.0
66,0.0,1.0,0.0,0.0
67,0.0,0.0,0.0,1.0
68,0.0,0.2,0.0,0.8
69,0.0,0.4,0.0,0.6
70,0.0,0.0,0.2,0.8
71,0.0,0.4,0.2,0.4
72,0.0,0.2,0.0,0.8
73,0.0,0.0,0.1,0.9
74,0.5,0.0,0.0,0.5
75,0.0,0.0,0.6,0.4
76,0.0,0.4,0.1,0.5
77,0.0,0.2,0.0,0.8
78,0.0,0.0,0.5,0.5
79,0.1,0.1,0.2,0.6
80,0.0,0.1,0.0,0.9
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.1,0.9
83,0.1,0.0,0.3,0.6
84,0.0,0.0,0.2,0.8
85,0.0,0.3,0.0,0.7
86,0.1,0.0,0.9,0.0
87,0.0,0.3,0.2,0.5
88,0.0,0.7,0.1,0.2
89,0.0,0.2,0.4,0.4
90,0.1,0.0,0.1,0.8
91,0.0,0.2,0.7,0.1
92,0.0,0.0,0.4,0.6
93,0.0,0.1,0.2,0.7
94,0.0,0.4,0.0,0.6
95,0.0,0.0,0.3,0.7
96,0.0,0.4,0.3,0.3
97,0.0,0.4,0.0,0.6
98,0.0,0.2,0.0,0.8
99,0.3,0.0,0.2,0.5
100,0.0,0.2,0.1,0.7
101,0.0,0.0,0.2,0.8
102,0.2,0.0,0.1,0.7
103,0.0,0.0,0.0,1.0
104,0.0,0.3,0.1,0.6
105,0.1,0.0,0.3,0.6
106,0.1,0.1,0.2,0.6
107,0.1,0.0,0.5,0.4
108,0.1,0.2,0.0,0.7
109,0.3,0.0,0.1,0.6
110,0.0,0.0,0.0,1.0
111,0.0,0.0,0.2,0.8
112,0.0,0.5,0.2,0.3
113,0.0,0.2,0.0,0.8
114,0.2,0.0,0.2,0.6
115,0.1,0.3,0.3,0.3
116,0.1,0.0,0.5,0.4
117,0.0,0.0,0.8,0.2
118,0.0,0.1,0.0,0.9
119,0.0,0.4,0.0,0.6
120,0.0,0.0,0.5,0.5
121,0.0,0.2,0.1,0.7
122,0.1,0.2,0.3,0.4
123,0.3,0.0,0.2,0.5
124,0.0,0.0,0.1,0.9
125,0.0,0.0,0.0,1.0
126,0.0,0.0,0.2,0.8
127,0.0,0.0,0.0,1.0
128,0.0,0.0,0.0,1.0
129,0.0,0.1,0.3,0.6
130,0.0,0.0,0.1,0.9
131,0.0,0.0,0.3,0.7
132,0.0,0.0,0.2,0.8
133,0.0,0.0,0.0,1.0
134,0.0,0.2,0.5,0.3
135,0.0,0.1,0.3,0.6
136,0.3,0.0,0.2,0.5
137,0.0,0.0,0.0,1.0
138,0.0,0.0,0.3,0.7
139,0.4,0.0,0.1,0.5
140,0.0,0.1,0.0,0.9
141,0.0,0.2,0.0,0.8
142,0.0,0.0,0.3,0.7
143,0.0,0.1,0.1,0.8
144,0.0,0.0,0.0,1.0
145,0.0,0.0,0.0,1.0
146,0.3,0.0,0.0,0.7
147,0.0,0.0,0.7,0.3
148,0.0,0.5,0.2,0.3
149,0.0,0.0,0.0,1.0
150,0.1,0.0,0.8,0.1
151,0.0,0.2,0.0,0.8
152,0.3,0.0,0.2,0.5
153,0.0,0.1,0.1,0.8
154,0.0,0.2,0.1,0.7
155,0.0,0.0,0.0,1.0
156,0.0,0.2,0.0,0.8
157,0.1,0.2,0.1,0.6
158,0.2,0.2,0.4,0.2
159,0.0,0.1,0.1,0.8
160,0.0,0.1,0.2,0.7
161,0.3,0.0,0.3,0.4
162,0.0,0.3,0.0,0.7
163,0.1,0.0,0.7,0.2
164,0.0,0.7,0.0,0.3
165,0.0,0.2,0.1,0.7
166,0.0,0.0,0.0,1.0
167,0.0,0.2,0.3,0.5
168,0.1,0.1,0.0,0.8
169,0.0,0.2,0.1,0.7
170,0.2,0.0,0.1,0.7
171,0.0,0.0,0.2,0.8
172,0.2,0.0,0.3,0.5
173,0.0,0.0,0.0,1.0
174,0.0,0.3,0.0,0.7
175,0.1,0.1,0.1,0.7
176,0.0,0.0,0.3,0.7
177,0.0,0.1,0.0,0.9
178,0.0,0.0,0.0,1.0
179,0.0,0.0,0.0,1.0
180,0.0,0.3,0.3,0.4
181,0.2,0.0,0.5,0.3
182,0.0,0.0,0.2,0.8
183,0.1,0.0,0.3,0.6
184,0.0,0.1,0.6,0.3
185,0.0,0.1,0.0,0.9
186,0.0,0.1,0.1,0.8
187,0.0,0.0,0.0,1.0
188,0.0,0.0,0.0,1.0
189,0.0,0.4,0.1,0.5
190,0.0,0.7,0.0,0.3
191,0.0,0.4,0.2,0.4
192,0.0,0.0,0.0,1.0
193,0.1,0.2,0.0,0.7
194,0.0,0.0,0.2,0.8
195,0.0,0.1,0.0,0.9
196,0.1,0.3,0.0,0.6
197,0.0,0.8,0.0,0.2
198,0.1,0.0,0.5,0.4
199,0.2,0.0,0.3,0.5
200,0.0,0.2,0.2,0.6
201,0.1,0.3,0.3,0.3
202,0.0,0.0,0.1,0.9
