,l-r,s-,a-d,e-k
0,0.0,0.0,0.0,0.0
1,0.051898566833167,0.036420013991565095,0.0313792487321919,0.13907481864691912
2,0.0054634953231405,0.0090567937919118,0.0,0.022411041488477
3,0.0035122851647055,0.0,0.0,0.1066559301322009
4,0.0,0.0,0.0454363698832575,0.0184104213523258
5,0.0,0.0,0.0,0.0
6,0.1251549622534559,1.2796972820603882,0.0,0.0
7,0.0,0.11850148669250168,0.14764283105131568,0.0328308455863456
8,0.0,0.0699966700874693,0.0347578347967236,0.0
9,0.0217830949753586,0.0,0.0049341718525424,0.0208422371046842
10,0.0,0.0660191786141044,0.0,0.0
11,0.043255408789575,0.0949654878583949,0.0,0.0
12,0.0,0.0,0.0,0.0037148827283958
13,0.0666249601743585,0.0,0.2992061755974293,0.2392182832634272
14,0.0,0.0,0.0,0.0365940426310841
15,0.0436436493010452,0.0331642830727399,0.0,0.0
16,0.0350324819746357,0.0744171522512802,0.0254200315827491,0.07276898949935909
17,0.029416580258983,0.0,0.0,0.0
18,0.6152709778641329,0.0,0.0,0.0
19,0.0,0.0277985239789894,0.0053119531071043,0.0
20,0.1602282574939065,0.0357475252446053,0.0098202003825664,0.10463999597422219
21,0.0,0.088850859092856,0.0374149664201403,0.0545294274048448
22,0.0158273384409534,0.0073578596604996,0.0006269592834156,0.12316698321935401
23,0.0186234819814239,0.0167722214894964,0.0056808687569606,0.0
24,0.0,0.0,0.0,0.0
25,0.1429232255571589,0.4162628612014437,0.0,0.0670405050241418
26,0.024632864271836898,0.0,0.054985379211992196,0.0
27,0.1956297917453219,0.0392697325856031,0.0673975400904759,0.0621912557490045
28,0.1191103773980395,0.0025614756361047,0.0,0.0
29,0.0,0.0207410113620135,0.0551113161495749,0.1149381280209161
30,0.0,0.0967539125045477,0.0,0.2144031458312657
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.189908888497831,0.0782732686158288,0.0610224953244638,0.1250582199890825
35,0.0884563805398038,0.0362078601083143,0.1000756359557575,0.0524616632467114
36,0.0,0.0244031830605942,0.21758859097281208,0.0
37,0.0340633464703392,0.0966761634891403,0.0,0.1411394676611367
38,0.0006797220255148,0.0304902302340233,0.0334152332242041,0.0
39,0.0432604738653031,0.0,0.5599248565283179,0.0673752476963156
40,0.1371495208927031,0.0,0.07654688703696691,0.039839615084392696
41,0.0076594061516039,0.0,0.0,0.0
42,0.07250370057488559,0.0,0.06738243775554889,0.1915213039630536
43,0.0,0.0,0.0375814868405634,0.0
44,0.5478473871385056,0.0918134373859416,0.0,0.0
45,0.0711260587080432,0.0069444443475848,0.0,0.0
46,0.0,0.0,0.42930580649720756,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0259284038654494,0.2494641638955253
49,0.0,0.0,0.0,0.0
50,0.0,0.0140505402899757,0.0,0.026929571260413898
51,0.0829508969870968,0.4033781800872764,0.1727685539004619,1.2803516927694971
52,0.0189364999378897,0.0,0.1188830958009824,0.0562505020814122
53,0.0154826579287095,0.0,0.0137759178017841,0.155006055884151
54,0.0379797993228208,0.0,0.0122655128122189,0.207705965997268
55,0.0513391132188927,0.0020408172448978,0.007142857356888,0.0
56,0.1147854388220496,0.0964024868209579,0.1173795178168288,0.0
57,0.0,0.0223839938214368,0.0,0.0
58,0.0,0.0118665688018258,0.0,0.0
59,0.11760637872221849,0.0,0.0,0.0
60,0.0655305638846496,0.0138192400822017,0.1593431323355055,0.040417630247730096
61,0.0,0.0,0.30611913684478503,0.1421754328422782
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0541630626073973,0.1234415178224211
64,0.029492304756041303,0.0,0.0,0.0
65,0.0,0.0121787496133433,0.08937235317628121,0.0022719899828805
66,0.0006942260082082,0.0,0.0,0.0
