,a-d,s-,l-r,e-k
0,0.3,0.1,0.4,0.2
1,0.0,0.4,0.4,0.2
2,0.1,0.2,0.3,0.4
3,0.2,0.2,0.0,0.6
4,0.5,0.1,0.1,0.3
5,0.1,0.1,0.8,0.0
6,0.1,0.9,0.0,0.0
7,0.7,0.1,0.0,0.2
8,0.1,0.6,0.2,0.1
9,0.3,0.2,0.4,0.1
10,0.1,0.2,0.4,0.3
11,0.6,0.1,0.1,0.2
12,0.1,0.1,0.5,0.3
13,0.4,0.2,0.2,0.2
14,0.5,0.0,0.3,0.2
15,0.0,0.9,0.0,0.1
16,0.2,0.3,0.3,0.2
17,0.1,0.0,0.9,0.0
18,0.0,0.0,1.0,0.0
19,0.6,0.1,0.2,0.1
20,0.1,0.1,0.2,0.6
21,0.5,0.2,0.2,0.1
22,0.5,0.1,0.2,0.2
23,0.5,0.1,0.1,0.3
24,0.5,0.1,0.1,0.3
25,0.3,0.5,0.1,0.1
26,0.2,0.3,0.3,0.2
27,0.4,0.2,0.3,0.1
28,0.0,0.0,1.0,0.0
29,0.5,0.3,0.0,0.2
30,0.1,0.1,0.3,0.5
31,0.4,0.4,0.2,0.0
32,0.2,0.2,0.3,0.3
33,0.2,0.2,0.5,0.1
34,0.3,0.3,0.3,0.1
35,0.2,0.4,0.4,0.0
36,0.0,0.5,0.2,0.3
37,0.2,0.3,0.2,0.3
38,0.3,0.4,0.1,0.2
39,0.7,0.0,0.1,0.2
40,0.2,0.1,0.6,0.1
41,0.2,0.4,0.4,0.0
42,0.3,0.0,0.4,0.3
43,0.2,0.0,0.7,0.1
44,0.0,0.0,1.0,0.0
45,0.1,0.8,0.0,0.1
46,1.0,0.0,0.0,0.0
47,0.8,0.1,0.1,0.0
48,0.0,0.4,0.2,0.4
49,0.2,0.5,0.2,0.1
50,0.1,0.0,0.2,0.7
51,0.2,0.3,0.0,0.5
52,0.5,0.1,0.1,0.3
53,0.5,0.2,0.1,0.2
54,0.2,0.0,0.0,0.8
55,0.1,0.1,0.7,0.1
56,0.0,0.2,0.4,0.4
57,0.0,0.5,0.3,0.2
58,0.3,0.3,0.1,0.3
59,0.4,0.0,0.5,0.1
60,0.5,0.0,0.4,0.1
61,0.8,0.1,0.0,0.1
62,0.4,0.2,0.1,0.3
63,0.4,0.0,0.2,0.4
64,0.1,0.2,0.4,0.3
65,0.4,0.0,0.2,0.4
66,0.5,0.1,0.1,0.3
67,0.0,0.1,0.0,0.9
68,0.2,0.1,0.5,0.2
69,0.1,0.3,0.4,0.2
70,0.6,0.2,0.1,0.1
71,1.0,0.0,0.0,0.0
72,0.1,0.1,0.8,0.0
73,0.9,0.1,0.0,0.0
74,0.5,0.1,0.3,0.1
75,0.4,0.2,0.3,0.1
76,0.5,0.0,0.4,0.1
77,0.3,0.2,0.4,0.1
78,0.0,0.1,0.9,0.0
79,0.0,0.3,0.3,0.4
80,0.3,0.3,0.2,0.2
81,0.0,0.1,0.8,0.1
82,0.8,0.1,0.1,0.0
83,0.8,0.2,0.0,0.0
84,0.2,0.0,0.1,0.7
85,0.0,0.1,0.1,0.8
86,0.3,0.3,0.3,0.1
87,0.4,0.3,0.2,0.1
88,0.8,0.1,0.0,0.1
89,0.8,0.0,0.1,0.1
90,0.0,0.2,0.0,0.8
91,0.0,0.2,0.1,0.7
92,0.1,0.7,0.0,0.2
93,0.2,0.2,0.3,0.3
94,0.0,0.5,0.1,0.4
95,0.2,0.3,0.2,0.3
96,0.3,0.1,0.3,0.3
97,0.0,0.4,0.0,0.6
98,0.3,0.3,0.2,0.2
99,0.2,0.1,0.6,0.1
100,0.3,0.2,0.4,0.1
101,0.5,0.1,0.4,0.0
102,0.0,0.2,0.5,0.3
103,0.1,0.1,0.5,0.3
104,0.3,0.4,0.1,0.2
105,0.2,0.5,0.2,0.1
106,0.3,0.0,0.1,0.6
107,0.4,0.2,0.2,0.2
108,0.5,0.1,0.0,0.4
109,0.4,0.4,0.0,0.2
110,0.0,0.8,0.0,0.2
111,0.6,0.1,0.3,0.0
112,0.4,0.1,0.2,0.3
113,1.0,0.0,0.0,0.0
114,0.1,0.7,0.2,0.0
115,0.0,0.5,0.3,0.2
116,0.2,0.3,0.4,0.1
117,0.1,0.2,0.7,0.0
118,0.1,0.3,0.1,0.5
119,0.3,0.1,0.4,0.2
120,0.0,0.0,0.9,0.1
121,0.1,0.0,0.5,0.4
122,0.4,0.1,0.2,0.3
123,0.2,0.1,0.7,0.0
124,0.0,0.0,1.0,0.0
125,0.1,0.3,0.3,0.3
126,0.4,0.2,0.3,0.1
127,0.2,0.2,0.2,0.4
128,0.3,0.3,0.2,0.2
129,0.0,0.0,1.0,0.0
130,0.1,0.1,0.0,0.8
131,0.2,0.1,0.3,0.4
132,0.2,0.4,0.2,0.2
133,0.5,0.2,0.3,0.0
134,0.1,0.2,0.2,0.5
135,0.1,0.2,0.6,0.1
136,0.1,0.4,0.2,0.3
137,0.0,0.8,0.1,0.1
138,0.0,0.2,0.1,0.7
139,0.1,0.1,0.1,0.7
140,0.3,0.1,0.2,0.4
141,0.4,0.2,0.3,0.1
142,0.1,0.3,0.5,0.1
143,0.3,0.2,0.2,0.3
144,0.1,0.2,0.4,0.3
145,0.3,0.4,0.1,0.2
146,0.8,0.1,0.1,0.0
147,0.7,0.0,0.3,0.0
148,0.1,0.4,0.2,0.3
149,0.8,0.1,0.0,0.1
150,0.3,0.0,0.4,0.3
151,0.7,0.0,0.2,0.1
152,0.3,0.3,0.1,0.3
153,0.0,0.0,0.7,0.3
154,0.2,0.4,0.1,0.3
155,0.0,0.9,0.1,0.0
156,0.1,0.6,0.2,0.1
157,0.1,0.5,0.3,0.1
158,0.3,0.0,0.0,0.7
159,0.2,0.1,0.5,0.2
160,0.1,0.0,0.9,0.0
161,0.2,0.2,0.5,0.1
162,0.4,0.4,0.0,0.2
163,0.6,0.1,0.2,0.1
164,0.1,0.1,0.5,0.3
165,0.4,0.2,0.3,0.1
166,0.3,0.3,0.2,0.2
167,0.0,0.1,0.4,0.5
168,0.0,0.5,0.0,0.5
169,0.2,0.6,0.1,0.1
170,0.2,0.5,0.2,0.1
171,0.2,0.0,0.6,0.2
172,0.2,0.6,0.0,0.2
173,0.0,0.0,0.0,1.0
174,0.1,0.6,0.2,0.1
175,0.3,0.3,0.4,0.0
176,0.2,0.0,0.4,0.4
177,0.9,0.0,0.1,0.0
178,0.3,0.4,0.0,0.3
179,0.2,0.7,0.0,0.1
180,0.0,0.6,0.2,0.2
181,1.0,0.0,0.0,0.0
182,0.4,0.2,0.1,0.3
183,0.3,0.2,0.0,0.5
184,0.1,0.4,0.1,0.4
185,0.1,0.3,0.2,0.4
186,0.0,0.4,0.2,0.4
187,0.8,0.0,0.0,0.2
188,0.0,0.8,0.0,0.2
189,0.2,0.7,0.1,0.0
190,0.8,0.0,0.1,0.1
191,0.3,0.1,0.4,0.2
192,1.0,0.0,0.0,0.0
193,0.1,0.3,0.3,0.3
194,0.1,0.4,0.1,0.4
195,0.1,0.0,0.9,0.0
196,0.4,0.2,0.0,0.4
197,0.6,0.2,0.1,0.1
198,0.4,0.0,0.0,0.6
199,0.0,0.1,0.7,0.2
200,0.3,0.1,0.5,0.1
201,0.3,0.2,0.4,0.1
202,0.3,0.2,0.0,0.5
203,0.0,0.4,0.1,0.5
204,0.3,0.2,0.1,0.4
205,0.0,0.6,0.3,0.1
206,0.2,0.4,0.1,0.3
207,0.0,0.4,0.1,0.5
208,0.2,0.6,0.1,0.1
209,0.2,0.2,0.3,0.3
210,0.1,0.3,0.2,0.4
211,0.2,0.0,0.4,0.4
212,0.4,0.4,0.1,0.1
213,0.1,0.2,0.3,0.4
214,0.3,0.2,0.3,0.2
215,0.1,0.2,0.3,0.4
216,0.3,0.1,0.3,0.3
217,0.2,0.5,0.1,0.2
218,0.0,0.9,0.1,0.0
219,0.0,0.9,0.0,0.1
220,0.5,0.0,0.3,0.2
221,0.2,0.1,0.1,0.6
222,0.5,0.2,0.3,0.0
223,0.2,0.2,0.4,0.2
224,0.0,0.4,0.2,0.4
225,0.2,0.5,0.2,0.1
226,0.0,0.0,0.1,0.9
227,0.2,0.1,0.3,0.4
228,0.1,0.5,0.1,0.3
229,0.9,0.1,0.0,0.0
230,0.3,0.3,0.2,0.2
231,0.0,0.6,0.0,0.4
232,0.1,0.5,0.1,0.3
233,0.4,0.1,0.5,0.0
234,0.0,0.9,0.0,0.1
235,0.2,0.6,0.1,0.1
236,0.0,0.3,0.1,0.6
237,0.2,0.1,0.3,0.4
238,0.3,0.3,0.3,0.1
239,0.3,0.2,0.2,0.3
240,0.3,0.2,0.1,0.4
241,0.0,0.8,0.2,0.0
242,0.5,0.1,0.3,0.1
243,0.3,0.2,0.0,0.5
244,0.5,0.0,0.2,0.3
