,Medium-High,High,Low,Medium-Low
0,0.0,0.0,0.8,0.2
1,0.1,0.0,0.9,0.0
2,0.2,0.0,0.3,0.5
3,0.0,0.0,1.0,0.0
4,0.0,0.1,0.4,0.5
5,0.1,0.5,0.3,0.1
6,0.0,0.0,0.8,0.2
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,0.1,0.0,0.9,0.0
10,0.2,0.0,0.4,0.4
11,0.0,0.0,0.9,0.1
12,0.0,0.0,0.7,0.3
13,0.5,0.2,0.1,0.2
14,0.0,0.0,0.8,0.2
15,0.1,0.0,0.3,0.6
16,0.1,0.0,0.9,0.0
17,0.0,0.0,0.9,0.1
18,0.0,0.0,0.9,0.1
19,0.0,0.0,0.9,0.1
20,0.0,0.0,0.5,0.5
21,0.0,0.0,0.9,0.1
22,0.0,0.0,0.5,0.5
23,0.1,0.0,0.9,0.0
24,0.3,0.0,0.5,0.2
25,0.0,0.0,0.9,0.1
26,0.2,0.0,0.4,0.4
27,0.1,0.0,0.5,0.4
28,0.2,0.0,0.4,0.4
29,0.2,0.0,0.6,0.2
30,0.0,0.0,0.9,0.1
31,0.1,0.0,0.7,0.2
32,0.0,0.0,0.9,0.1
33,0.1,0.0,0.5,0.4
34,0.2,0.2,0.0,0.6
35,0.0,0.0,0.9,0.1
36,0.1,0.1,0.8,0.0
37,0.0,0.0,0.7,0.3
38,0.1,0.0,0.6,0.3
39,0.0,0.0,0.9,0.1
40,0.0,0.0,0.8,0.2
41,0.5,0.2,0.1,0.2
42,0.0,0.0,0.8,0.2
43,0.0,0.0,0.8,0.2
44,0.4,0.0,0.1,0.5
45,0.4,0.0,0.1,0.5
46,0.0,0.0,0.9,0.1
47,0.1,0.0,0.8,0.1
48,0.0,0.0,0.7,0.3
49,0.1,0.1,0.5,0.3
50,0.1,0.0,0.3,0.6
51,0.0,0.0,0.5,0.5
52,0.0,0.0,0.4,0.6
53,0.0,0.0,1.0,0.0
54,0.0,0.0,0.8,0.2
55,0.0,0.0,0.8,0.2
56,0.0,0.0,0.5,0.5
57,0.0,0.0,0.8,0.2
58,0.3,0.2,0.1,0.4
59,0.1,0.0,0.4,0.5
