,s-,e-k,a-d,l-r
0,0.1,0.2,0.3,0.4
1,0.4,0.2,0.0,0.4
2,0.2,0.4,0.1,0.3
3,0.2,0.6,0.2,0.0
4,0.1,0.3,0.5,0.1
5,0.1,0.0,0.1,0.8
6,0.9,0.0,0.1,0.0
7,0.1,0.2,0.7,0.0
8,0.6,0.1,0.1,0.2
9,0.2,0.1,0.3,0.4
10,0.2,0.3,0.1,0.4
11,0.1,0.2,0.6,0.1
12,0.1,0.3,0.1,0.5
13,0.2,0.2,0.4,0.2
14,0.0,0.2,0.5,0.3
15,0.9,0.1,0.0,0.0
16,0.3,0.2,0.2,0.3
17,0.0,0.0,0.1,0.9
18,0.0,0.0,0.0,1.0
19,0.1,0.1,0.6,0.2
20,0.1,0.6,0.1,0.2
21,0.2,0.1,0.5,0.2
22,0.1,0.2,0.5,0.2
23,0.1,0.3,0.5,0.1
24,0.1,0.3,0.5,0.1
25,0.5,0.1,0.3,0.1
26,0.3,0.2,0.2,0.3
27,0.2,0.1,0.4,0.3
28,0.0,0.0,0.0,1.0
29,0.3,0.2,0.5,0.0
30,0.1,0.5,0.1,0.3
31,0.4,0.0,0.4,0.2
32,0.2,0.3,0.2,0.3
33,0.2,0.1,0.2,0.5
34,0.3,0.1,0.3,0.3
35,0.4,0.0,0.2,0.4
36,0.5,0.3,0.0,0.2
37,0.3,0.3,0.2,0.2
38,0.4,0.2,0.3,0.1
39,0.0,0.2,0.7,0.1
40,0.1,0.1,0.2,0.6
41,0.4,0.0,0.2,0.4
42,0.0,0.3,0.3,0.4
43,0.0,0.1,0.2,0.7
44,0.0,0.0,0.0,1.0
45,0.8,0.1,0.1,0.0
46,0.0,0.0,1.0,0.0
47,0.1,0.0,0.8,0.1
48,0.4,0.4,0.0,0.2
49,0.5,0.1,0.2,0.2
50,0.0,0.7,0.1,0.2
51,0.3,0.5,0.2,0.0
52,0.1,0.3,0.5,0.1
53,0.2,0.2,0.5,0.1
54,0.0,0.8,0.2,0.0
55,0.1,0.1,0.1,0.7
56,0.2,0.4,0.0,0.4
57,0.5,0.2,0.0,0.3
58,0.3,0.3,0.3,0.1
59,0.0,0.1,0.4,0.5
60,0.0,0.1,0.5,0.4
61,0.1,0.1,0.8,0.0
62,0.2,0.3,0.4,0.1
63,0.0,0.4,0.4,0.2
64,0.2,0.3,0.1,0.4
65,0.0,0.4,0.4,0.2
66,0.1,0.3,0.5,0.1
67,0.1,0.9,0.0,0.0
68,0.1,0.2,0.2,0.5
69,0.3,0.2,0.1,0.4
70,0.2,0.1,0.6,0.1
71,0.0,0.0,1.0,0.0
72,0.1,0.0,0.1,0.8
73,0.1,0.0,0.9,0.0
