,Medium-Low,High,Medium-High,Low
0,0.2,0.0,0.0,0.8
1,0.0,0.0,0.1,0.9
2,0.5,0.0,0.2,0.3
3,0.0,0.0,0.0,1.0
4,0.5,0.1,0.0,0.4
5,0.1,0.5,0.1,0.3
6,0.2,0.0,0.0,0.8
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.1,0.9
10,0.4,0.0,0.2,0.4
11,0.1,0.0,0.0,0.9
12,0.3,0.0,0.0,0.7
13,0.2,0.2,0.5,0.1
14,0.2,0.0,0.0,0.8
15,0.6,0.0,0.1,0.3
16,0.0,0.0,0.1,0.9
17,0.1,0.0,0.0,0.9
18,0.1,0.0,0.0,0.9
19,0.1,0.0,0.0,0.9
20,0.5,0.0,0.0,0.5
21,0.1,0.0,0.0,0.9
22,0.5,0.0,0.0,0.5
23,0.0,0.0,0.1,0.9
24,0.2,0.0,0.3,0.5
25,0.1,0.0,0.0,0.9
26,0.4,0.0,0.2,0.4
27,0.4,0.0,0.1,0.5
28,0.4,0.0,0.2,0.4
29,0.2,0.0,0.2,0.6
30,0.1,0.0,0.0,0.9
31,0.2,0.0,0.1,0.7
32,0.1,0.0,0.0,0.9
33,0.4,0.0,0.1,0.5
34,0.6,0.2,0.2,0.0
35,0.1,0.0,0.0,0.9
36,0.0,0.1,0.1,0.8
37,0.3,0.0,0.0,0.7
38,0.3,0.0,0.1,0.6
39,0.1,0.0,0.0,0.9
40,0.2,0.0,0.0,0.8
41,0.2,0.2,0.5,0.1
42,0.2,0.0,0.0,0.8
43,0.2,0.0,0.0,0.8
44,0.5,0.0,0.4,0.1
45,0.5,0.0,0.4,0.1
46,0.1,0.0,0.0,0.9
47,0.1,0.0,0.1,0.8
48,0.3,0.0,0.0,0.7
49,0.3,0.1,0.1,0.5
50,0.6,0.0,0.1,0.3
51,0.5,0.0,0.0,0.5
52,0.6,0.0,0.0,0.4
53,0.0,0.0,0.0,1.0
54,0.2,0.0,0.0,0.8
55,0.2,0.0,0.0,0.8
56,0.5,0.0,0.0,0.5
57,0.2,0.0,0.0,0.8
58,0.4,0.2,0.3,0.1
59,0.5,0.0,0.1,0.4
60,0.8,0.0,0.1,0.1
61,0.2,0.0,0.0,0.8
62,0.2,0.0,0.0,0.8
63,0.4,0.0,0.1,0.5
64,0.2,0.0,0.1,0.7
65,0.1,0.0,0.1,0.8
66,0.2,0.0,0.0,0.8
67,0.2,0.0,0.0,0.8
68,0.3,0.0,0.1,0.6
69,0.2,0.0,0.0,0.8
70,0.2,0.0,0.2,0.6
71,0.0,0.0,0.0,1.0
72,0.4,0.0,0.0,0.6
73,0.1,0.0,0.0,0.9
74,0.4,0.0,0.1,0.5
75,0.6,0.0,0.1,0.3
76,0.4,0.0,0.0,0.6
77,0.1,0.3,0.2,0.4
78,0.0,0.6,0.3,0.1
79,0.3,0.0,0.0,0.7
80,0.4,0.1,0.0,0.5
81,0.0,0.0,0.1,0.9
82,0.0,0.0,0.0,1.0
83,0.2,0.0,0.2,0.6
84,0.1,0.0,0.0,0.9
85,0.0,0.0,0.0,1.0
86,0.3,0.0,0.2,0.5
87,0.2,0.0,0.1,0.7
88,0.2,0.0,0.0,0.8
89,0.6,0.0,0.0,0.4
90,0.4,0.2,0.0,0.4
91,0.3,0.0,0.0,0.7
92,0.0,0.0,0.6,0.4
93,0.6,0.1,0.0,0.3
94,0.1,0.0,0.1,0.8
95,0.3,0.0,0.2,0.5
96,0.2,0.1,0.2,0.5
97,0.0,0.0,0.0,1.0
98,0.2,0.0,0.1,0.7
99,0.1,0.2,0.2,0.5
100,0.4,0.0,0.0,0.6
101,0.1,0.0,0.0,0.9
102,0.2,0.1,0.1,0.6
103,0.4,0.0,0.4,0.2
104,0.1,0.1,0.1,0.7
105,0.4,0.0,0.2,0.4
106,0.4,0.0,0.1,0.5
107,0.5,0.1,0.1,0.3
108,0.3,0.0,0.1,0.6
109,0.1,0.0,0.2,0.7
110,0.1,0.0,0.0,0.9
111,0.2,0.0,0.0,0.8
112,0.0,0.0,0.0,1.0
113,0.0,0.0,0.0,1.0
114,0.2,0.0,0.1,0.7
115,0.4,0.0,0.0,0.6
116,0.6,0.1,0.1,0.2
117,0.6,0.0,0.2,0.2
118,0.0,0.0,0.0,1.0
119,0.2,0.0,0.0,0.8
120,0.2,0.0,0.0,0.8
121,0.0,0.0,0.0,1.0
122,0.2,0.0,0.1,0.7
123,0.4,0.1,0.1,0.4
124,0.1,0.6,0.3,0.0
125,0.3,0.2,0.3,0.2
126,0.3,0.0,0.0,0.7
127,0.1,0.0,0.3,0.6
128,0.2,0.0,0.2,0.6
129,0.2,0.3,0.2,0.3
130,0.1,0.0,0.0,0.9
131,0.4,0.0,0.0,0.6
132,0.3,0.0,0.2,0.5
133,0.1,0.0,0.0,0.9
134,0.0,0.0,0.0,1.0
135,0.4,0.0,0.0,0.6
136,0.3,0.0,0.1,0.6
137,0.0,0.0,0.1,0.9
138,0.2,0.0,0.0,0.8
139,0.6,0.1,0.0,0.3
140,0.0,0.0,0.0,1.0
