,Unknown,20th century,21st century,Pre-1900s
0,0.5,0.2,0.0,0.3
1,0.9,0.0,0.0,0.1
2,0.2,0.0,0.0,0.8
3,0.6,0.0,0.0,0.4
4,0.7,0.0,0.0,0.3
5,0.9,0.1,0.0,0.0
6,1.0,0.0,0.0,0.0
7,0.1,0.0,0.0,0.9
8,0.1,0.0,0.0,0.9
9,0.4,0.1,0.0,0.5
10,0.7,0.3,0.0,0.0
11,0.4,0.6,0.0,0.0
12,0.3,0.0,0.0,0.7
13,0.8,0.2,0.0,0.0
14,0.1,0.7,0.0,0.2
15,0.9,0.1,0.0,0.0
16,0.2,0.8,0.0,0.0
17,0.2,0.1,0.7,0.0
18,1.0,0.0,0.0,0.0
19,0.9,0.1,0.0,0.0
20,0.8,0.2,0.0,0.0
21,0.2,0.8,0.0,0.0
22,0.2,0.2,0.0,0.6
23,0.9,0.1,0.0,0.0
24,0.7,0.3,0.0,0.0
25,0.6,0.4,0.0,0.0
26,0.8,0.2,0.0,0.0
27,0.3,0.4,0.0,0.3
28,0.0,0.0,0.0,1.0
29,0.7,0.3,0.0,0.0
30,0.4,0.3,0.0,0.3
31,0.4,0.5,0.0,0.1
32,0.6,0.2,0.0,0.2
33,0.9,0.0,0.0,0.1
34,0.8,0.2,0.0,0.0
35,0.2,0.0,0.0,0.8
36,0.3,0.5,0.2,0.0
37,0.2,0.1,0.0,0.7
38,0.8,0.0,0.0,0.2
39,0.4,0.0,0.0,0.6
40,0.6,0.4,0.0,0.0
41,1.0,0.0,0.0,0.0
42,0.3,0.4,0.1,0.2
43,0.5,0.5,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,0.5,0.5,0.0,0.0
47,0.4,0.4,0.1,0.1
48,0.4,0.4,0.0,0.2
49,0.6,0.3,0.0,0.1
50,0.6,0.3,0.1,0.0
51,0.0,1.0,0.0,0.0
52,0.0,0.5,0.5,0.0
53,0.2,0.2,0.0,0.6
54,0.9,0.1,0.0,0.0
55,0.2,0.0,0.0,0.8
56,0.6,0.4,0.0,0.0
57,0.0,0.1,0.0,0.9
58,0.6,0.4,0.0,0.0
59,0.6,0.4,0.0,0.0
60,0.5,0.5,0.0,0.0
61,0.3,0.3,0.4,0.0
62,0.0,0.2,0.0,0.8
63,0.8,0.2,0.0,0.0
64,0.9,0.1,0.0,0.0
65,0.5,0.3,0.2,0.0
66,0.2,0.1,0.0,0.7
67,0.8,0.1,0.0,0.1
68,0.2,0.1,0.0,0.7
69,0.1,0.1,0.1,0.7
70,0.8,0.2,0.0,0.0
71,0.0,0.0,0.0,1.0
72,0.6,0.0,0.0,0.4
73,0.9,0.0,0.0,0.1
74,0.3,0.1,0.6,0.0
75,0.4,0.6,0.0,0.0
76,0.0,0.1,0.0,0.9
77,0.9,0.1,0.0,0.0
78,1.0,0.0,0.0,0.0
79,0.5,0.1,0.3,0.1
80,0.5,0.3,0.0,0.2
81,1.0,0.0,0.0,0.0
82,0.3,0.7,0.0,0.0
83,0.4,0.5,0.1,0.0
84,0.3,0.4,0.0,0.3
85,1.0,0.0,0.0,0.0
86,0.5,0.4,0.0,0.1
87,0.8,0.1,0.0,0.1
88,0.2,0.1,0.0,0.7
89,0.5,0.4,0.1,0.0
90,0.9,0.1,0.0,0.0
91,0.0,0.8,0.0,0.2
92,0.3,0.7,0.0,0.0
93,0.4,0.4,0.2,0.0
94,0.2,0.1,0.0,0.7
95,1.0,0.0,0.0,0.0
96,0.2,0.3,0.0,0.5
97,0.3,0.0,0.0,0.7
98,0.5,0.3,0.2,0.0
99,0.6,0.4,0.0,0.0
100,0.3,0.2,0.0,0.5
101,0.8,0.1,0.0,0.1
102,0.5,0.5,0.0,0.0
103,0.9,0.1,0.0,0.0
104,0.5,0.0,0.0,0.5
105,0.7,0.2,0.0,0.1
106,0.9,0.1,0.0,0.0
107,0.3,0.7,0.0,0.0
108,0.5,0.4,0.1,0.0
109,0.3,0.7,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.7,0.3,0.0,0.0
112,0.2,0.1,0.0,0.7
113,0.9,0.0,0.0,0.1
114,0.3,0.2,0.5,0.0
115,0.2,0.6,0.0,0.2
116,0.7,0.3,0.0,0.0
117,0.6,0.1,0.3,0.0
118,0.3,0.1,0.0,0.6
119,0.5,0.1,0.0,0.4
120,0.3,0.7,0.0,0.0
121,0.1,0.1,0.0,0.8
122,0.3,0.4,0.3,0.0
123,0.4,0.4,0.2,0.0
124,1.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0
126,0.5,0.4,0.0,0.1
127,0.5,0.2,0.0,0.3
128,0.9,0.1,0.0,0.0
129,0.9,0.1,0.0,0.0
130,0.5,0.0,0.0,0.5
131,0.8,0.1,0.1,0.0
132,0.6,0.4,0.0,0.0
133,0.6,0.1,0.0,0.3
134,0.6,0.2,0.0,0.2
135,0.2,0.7,0.0,0.1
136,0.3,0.1,0.6,0.0
137,1.0,0.0,0.0,0.0
138,0.4,0.4,0.0,0.2
139,0.3,0.4,0.3,0.0
140,0.2,0.0,0.0,0.8
141,0.9,0.0,0.0,0.1
