,2017-2022,2001-2006,2012-2016,2007-2011
0,0.1,0.0,0.8,0.1
1,0.0,0.3,0.4,0.3
2,0.0,0.6,0.3,0.1
3,0.1,0.2,0.1,0.6
4,0.0,0.6,0.2,0.2
5,0.0,0.1,0.3,0.6
6,0.0,0.4,0.0,0.6
7,0.1,0.5,0.2,0.2
8,0.0,1.0,0.0,0.0
9,0.0,0.2,0.0,0.8
10,0.1,0.1,0.3,0.5
11,0.0,0.2,0.1,0.7
12,0.1,0.5,0.0,0.4
13,0.0,0.7,0.1,0.2
14,0.2,0.2,0.1,0.5
15,0.0,0.8,0.0,0.2
16,0.1,0.7,0.1,0.1
17,0.0,0.4,0.0,0.6
18,0.0,0.1,0.1,0.8
19,0.2,0.2,0.2,0.4
20,0.2,0.4,0.1,0.3
21,0.0,0.1,0.9,0.0
22,0.1,0.5,0.0,0.4
23,0.1,0.0,0.0,0.9
24,0.3,0.1,0.1,0.5
25,0.0,0.9,0.0,0.1
26,0.2,0.6,0.1,0.1
27,0.1,0.1,0.3,0.5
28,0.0,0.9,0.0,0.1
29,0.2,0.4,0.3,0.1
30,0.1,0.2,0.2,0.5
31,0.4,0.2,0.2,0.2
32,0.1,0.2,0.4,0.3
33,0.7,0.3,0.0,0.0
34,0.1,0.7,0.1,0.1
35,0.2,0.7,0.0,0.1
36,0.4,0.3,0.0,0.3
37,0.2,0.3,0.3,0.2
38,0.2,0.1,0.5,0.2
39,0.0,0.4,0.4,0.2
40,0.3,0.2,0.2,0.3
41,0.3,0.6,0.0,0.1
42,0.2,0.2,0.2,0.4
43,0.1,0.3,0.3,0.3
44,0.0,0.8,0.0,0.2
45,0.0,0.4,0.2,0.4
46,0.0,0.9,0.1,0.0
47,0.3,0.3,0.3,0.1
48,0.2,0.2,0.1,0.5
49,0.0,0.1,0.2,0.7
50,0.3,0.2,0.3,0.2
51,0.2,0.3,0.2,0.3
52,0.3,0.0,0.3,0.4
53,0.1,0.3,0.2,0.4
54,0.0,0.9,0.0,0.1
55,0.0,0.5,0.2,0.3
56,0.2,0.5,0.2,0.1
57,0.1,0.6,0.1,0.2
58,0.0,0.1,0.3,0.6
59,0.2,0.3,0.3,0.2
60,0.1,0.4,0.4,0.1
61,0.1,0.4,0.0,0.5
62,0.2,0.5,0.0,0.3
63,0.1,0.3,0.2,0.4
64,0.2,0.4,0.3,0.1
65,0.1,0.0,0.3,0.6
66,0.4,0.2,0.2,0.2
67,0.2,0.3,0.2,0.3
68,0.3,0.2,0.2,0.3
69,0.1,0.4,0.2,0.3
70,0.1,0.2,0.1,0.6
71,0.0,0.1,0.2,0.7
72,0.3,0.3,0.2,0.2
73,0.2,0.0,0.4,0.4
74,0.0,0.4,0.1,0.5
75,0.3,0.3,0.1,0.3
76,0.2,0.3,0.0,0.5
77,0.2,0.4,0.1,0.3
78,0.2,0.1,0.2,0.5
79,0.1,0.2,0.1,0.6
80,0.1,0.3,0.1,0.5
81,0.0,1.0,0.0,0.0
82,0.4,0.0,0.4,0.2
83,0.2,0.1,0.1,0.6
84,0.1,0.3,0.2,0.4
85,0.3,0.1,0.4,0.2
86,0.1,0.4,0.3,0.2
87,0.3,0.1,0.2,0.4
88,0.3,0.2,0.4,0.1
89,0.0,0.6,0.0,0.4
90,0.0,0.2,0.2,0.6
91,0.2,0.0,0.6,0.2
92,0.4,0.3,0.1,0.2
93,0.0,0.4,0.2,0.4
94,0.1,0.5,0.1,0.3
95,0.4,0.2,0.1,0.3
96,0.4,0.4,0.1,0.1
97,0.2,0.3,0.2,0.3
98,0.0,0.1,0.4,0.5
99,0.3,0.2,0.2,0.3
100,0.2,0.2,0.4,0.2
101,0.0,0.3,0.1,0.6
102,0.1,0.1,0.4,0.4
103,0.1,0.5,0.0,0.4
104,0.0,0.2,0.2,0.6
105,0.1,0.1,0.4,0.4
106,0.4,0.2,0.2,0.2
107,0.0,0.6,0.1,0.3
108,0.3,0.1,0.2,0.4
109,0.1,0.3,0.1,0.5
110,0.0,0.1,0.1,0.8
111,0.2,0.0,0.0,0.8
112,0.2,0.2,0.4,0.2
113,0.1,0.2,0.1,0.6
114,0.3,0.2,0.2,0.3
115,0.3,0.2,0.4,0.1
116,0.5,0.2,0.1,0.2
117,0.2,0.2,0.1,0.5
118,0.3,0.1,0.5,0.1
119,0.0,0.7,0.1,0.2
120,0.0,0.0,0.1,0.9
121,0.2,0.2,0.4,0.2
122,0.2,0.3,0.0,0.5
123,0.1,0.3,0.1,0.5
124,0.3,0.3,0.2,0.2
125,0.1,0.3,0.0,0.6
126,0.1,0.2,0.2,0.5
127,0.3,0.3,0.0,0.4
128,0.4,0.3,0.3,0.0
129,0.5,0.1,0.3,0.1
130,0.0,0.1,0.2,0.7
131,0.2,0.2,0.1,0.5
132,0.0,0.2,0.3,0.5
133,0.2,0.0,0.0,0.8
134,0.1,0.3,0.1,0.5
135,0.2,0.3,0.1,0.4
136,0.3,0.1,0.3,0.3
137,0.1,0.1,0.1,0.7
138,0.3,0.1,0.3,0.3
139,0.4,0.0,0.3,0.3
140,0.5,0.2,0.2,0.1
141,0.1,0.1,0.4,0.4
142,0.1,0.0,0.1,0.8
143,0.0,0.5,0.1,0.4
144,0.1,0.1,0.2,0.6
145,0.3,0.4,0.1,0.2
146,0.2,0.0,0.6,0.2
147,0.1,0.3,0.3,0.3
148,0.0,0.0,0.4,0.6
149,0.2,0.2,0.3,0.3
150,0.3,0.1,0.4,0.2
151,0.2,0.1,0.1,0.6
152,0.4,0.0,0.5,0.1
153,0.2,0.5,0.3,0.0
154,0.2,0.1,0.2,0.5
155,0.1,0.1,0.5,0.3
156,0.2,0.4,0.1,0.3
157,0.3,0.2,0.1,0.4
158,0.0,0.5,0.2,0.3
159,0.1,0.2,0.3,0.4
160,0.1,0.0,0.0,0.9
161,0.2,0.2,0.2,0.4
162,0.1,0.0,0.6,0.3
163,0.3,0.0,0.4,0.3
164,0.0,0.3,0.0,0.7
165,0.2,0.0,0.1,0.7
166,0.2,0.3,0.2,0.3
167,0.2,0.3,0.5,0.0
168,0.1,0.3,0.2,0.4
169,0.2,0.2,0.3,0.3
170,0.0,0.4,0.2,0.4
171,0.4,0.1,0.0,0.5
172,0.4,0.0,0.5,0.1
173,0.0,0.2,0.7,0.1
174,0.0,0.1,0.0,0.9
175,0.1,0.2,0.1,0.6
176,0.2,0.5,0.0,0.3
177,0.2,0.1,0.4,0.3
178,0.2,0.1,0.6,0.1
179,0.0,0.4,0.2,0.4
180,0.3,0.0,0.6,0.1
181,0.0,0.2,0.3,0.5
182,0.7,0.1,0.0,0.2
183,0.8,0.0,0.2,0.0
184,0.2,0.1,0.2,0.5
185,0.0,0.2,0.4,0.4
186,0.4,0.1,0.2,0.3
187,1.0,0.0,0.0,0.0
188,0.2,0.1,0.3,0.4
189,0.5,0.3,0.0,0.2
190,0.1,0.2,0.5,0.2
191,0.6,0.1,0.0,0.3
192,0.6,0.0,0.4,0.0
193,0.3,0.2,0.3,0.2
194,0.2,0.5,0.2,0.1
195,0.1,0.3,0.3,0.3
196,0.2,0.4,0.1,0.3
197,0.1,0.2,0.5,0.2
