,a-d,e-k,s-,l-r
0,0.2,0.2,0.0,0.6
1,0.1,0.4,0.2,0.3
2,0.2,0.2,0.3,0.3
3,0.1,0.7,0.1,0.1
4,0.4,0.1,0.3,0.2
5,1.0,0.0,0.0,0.0
6,0.0,0.0,1.0,0.0
7,0.6,0.2,0.1,0.1
8,0.1,0.0,0.9,0.0
9,0.0,0.5,0.5,0.0
10,0.2,0.3,0.3,0.2
11,0.3,0.5,0.0,0.2
12,0.1,0.1,0.1,0.7
13,0.6,0.1,0.1,0.2
14,0.0,1.0,0.0,0.0
15,0.0,0.0,0.9,0.1
16,0.3,0.3,0.2,0.2
17,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
19,0.1,0.1,0.6,0.2
20,0.0,0.5,0.2,0.3
21,0.2,0.2,0.6,0.0
22,0.2,0.3,0.1,0.4
23,1.0,0.0,0.0,0.0
24,0.3,0.3,0.1,0.3
25,0.0,0.0,1.0,0.0
26,0.2,0.0,0.6,0.2
27,0.1,0.4,0.3,0.2
28,0.0,0.0,0.1,0.9
29,0.9,0.0,0.0,0.1
30,0.0,0.7,0.2,0.1
31,0.3,0.2,0.3,0.2
32,0.1,0.4,0.4,0.1
33,0.0,0.0,0.0,1.0
34,0.1,0.1,0.4,0.4
35,0.8,0.1,0.0,0.1
36,0.2,0.4,0.3,0.1
37,0.9,0.0,0.1,0.0
38,0.5,0.3,0.2,0.0
39,1.0,0.0,0.0,0.0
40,0.1,0.3,0.3,0.3
41,0.1,0.0,0.3,0.6
42,0.4,0.0,0.1,0.5
43,0.0,0.1,0.2,0.7
44,0.0,0.0,0.0,1.0
45,0.1,0.0,0.7,0.2
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,0.0,0.5,0.3,0.2
49,0.0,0.2,0.6,0.2
50,0.1,0.6,0.2,0.1
51,0.5,0.2,0.2,0.1
52,0.3,0.6,0.0,0.1
53,0.2,0.7,0.0,0.1
54,0.0,1.0,0.0,0.0
55,0.1,0.0,0.1,0.8
56,0.2,0.1,0.1,0.6
57,0.2,0.0,0.5,0.3
58,0.1,0.3,0.3,0.3
59,0.3,0.1,0.1,0.5
60,1.0,0.0,0.0,0.0
61,0.6,0.3,0.0,0.1
62,0.9,0.0,0.1,0.0
63,0.5,0.3,0.1,0.1
64,0.0,0.6,0.1,0.3
65,0.4,0.1,0.3,0.2
66,0.1,0.6,0.2,0.1
67,0.0,0.9,0.0,0.1
68,0.7,0.1,0.2,0.0
69,0.0,0.4,0.4,0.2
70,0.3,0.2,0.4,0.1
71,0.9,0.1,0.0,0.0
72,0.3,0.0,0.0,0.7
73,0.3,0.1,0.2,0.4
74,0.5,0.1,0.1,0.3
75,0.3,0.4,0.0,0.3
76,0.7,0.0,0.2,0.1
77,0.2,0.1,0.2,0.5
78,0.0,0.0,0.0,1.0
79,0.2,0.4,0.2,0.2
80,0.2,0.3,0.0,0.5
81,0.0,0.0,1.0,0.0
82,0.9,0.0,0.0,0.1
83,0.8,0.0,0.1,0.1
84,0.1,0.4,0.1,0.4
85,0.1,0.3,0.2,0.4
86,0.6,0.1,0.1,0.2
87,0.1,0.2,0.5,0.2
88,0.4,0.2,0.4,0.0
89,0.2,0.0,0.1,0.7
90,0.0,0.7,0.1,0.2
91,0.0,0.4,0.4,0.2
92,0.1,0.1,0.8,0.0
93,0.2,0.5,0.0,0.3
94,0.0,0.2,0.8,0.0
95,0.2,0.4,0.1,0.3
96,0.2,0.5,0.2,0.1
97,0.0,0.0,1.0,0.0
98,0.4,0.1,0.2,0.3
99,0.1,0.1,0.3,0.5
100,0.3,0.2,0.2,0.3
101,0.3,0.1,0.0,0.6
102,0.0,0.1,0.3,0.6
103,0.2,0.1,0.2,0.5
104,0.6,0.1,0.2,0.1
105,0.2,0.0,0.6,0.2
106,0.5,0.2,0.1,0.2
107,0.3,0.1,0.5,0.1
108,0.6,0.3,0.0,0.1
109,0.6,0.0,0.2,0.2
110,0.0,0.2,0.8,0.0
111,0.9,0.0,0.0,0.1
112,0.7,0.1,0.1,0.1
113,1.0,0.0,0.0,0.0
114,0.1,0.3,0.4,0.2
115,0.1,0.3,0.4,0.2
116,0.1,0.0,0.6,0.3
117,0.3,0.2,0.3,0.2
118,0.1,0.5,0.3,0.1
119,1.0,0.0,0.0,0.0
120,0.0,0.0,0.0,1.0
121,0.3,0.1,0.1,0.5
122,0.3,0.0,0.2,0.5
123,0.1,0.3,0.1,0.5
124,0.1,0.2,0.1,0.6
125,0.0,0.3,0.2,0.5
126,0.5,0.2,0.1,0.2
127,0.2,0.1,0.6,0.1
128,0.5,0.1,0.3,0.1
129,0.2,0.0,0.2,0.6
130,0.1,0.8,0.0,0.1
131,0.1,0.1,0.1,0.7
132,0.1,0.5,0.1,0.3
133,0.3,0.1,0.0,0.6
134,0.1,0.7,0.1,0.1
135,0.1,0.1,0.4,0.4
