,Unknown,21st century,Pre-1900s,20th century
0,0.7,0.0,0.3,0.0
1,0.9,0.0,0.0,0.1
2,0.0,0.0,1.0,0.0
3,0.9,0.0,0.1,0.0
4,0.8,0.0,0.2,0.0
5,0.5,0.0,0.1,0.4
6,1.0,0.0,0.0,0.0
7,0.0,0.0,1.0,0.0
8,0.1,0.0,0.9,0.0
9,0.3,0.0,0.7,0.0
10,0.9,0.0,0.0,0.1
11,0.4,0.0,0.1,0.5
12,0.2,0.0,0.8,0.0
13,0.9,0.0,0.0,0.1
14,0.1,0.0,0.1,0.8
15,0.9,0.1,0.0,0.0
16,0.3,0.1,0.0,0.6
17,0.1,0.8,0.0,0.1
18,1.0,0.0,0.0,0.0
19,0.2,0.0,0.3,0.5
20,0.9,0.0,0.0,0.1
21,0.9,0.0,0.1,0.0
22,0.5,0.1,0.3,0.1
23,1.0,0.0,0.0,0.0
24,0.5,0.3,0.0,0.2
25,1.0,0.0,0.0,0.0
26,0.7,0.0,0.1,0.2
27,0.5,0.1,0.0,0.4
28,0.1,0.0,0.9,0.0
29,0.3,0.0,0.5,0.2
30,0.1,0.0,0.3,0.6
31,0.5,0.0,0.1,0.4
32,0.1,0.0,0.3,0.6
33,1.0,0.0,0.0,0.0
34,0.8,0.0,0.0,0.2
35,0.3,0.0,0.7,0.0
36,0.5,0.2,0.0,0.3
37,0.0,0.2,0.6,0.2
38,0.7,0.1,0.2,0.0
39,0.2,0.0,0.8,0.0
40,0.9,0.0,0.0,0.1
41,1.0,0.0,0.0,0.0
42,0.5,0.1,0.2,0.2
43,0.5,0.0,0.0,0.5
44,1.0,0.0,0.0,0.0
45,0.9,0.0,0.0,0.1
46,0.6,0.0,0.0,0.4
47,0.5,0.2,0.1,0.2
48,0.3,0.0,0.2,0.5
49,0.6,0.0,0.0,0.4
50,0.9,0.0,0.0,0.1
51,0.1,0.1,0.0,0.8
52,0.1,0.5,0.0,0.4
53,0.5,0.0,0.2,0.3
54,1.0,0.0,0.0,0.0
55,0.4,0.0,0.6,0.0
56,0.6,0.1,0.2,0.1
57,0.1,0.0,0.7,0.2
58,0.9,0.0,0.0,0.1
59,0.6,0.0,0.0,0.4
60,0.1,0.1,0.6,0.2
61,0.3,0.3,0.4,0.0
62,0.2,0.1,0.6,0.1
63,0.7,0.0,0.0,0.3
64,0.5,0.1,0.0,0.4
65,0.1,0.8,0.0,0.1
66,0.1,0.0,0.7,0.2
67,1.0,0.0,0.0,0.0
68,0.8,0.0,0.1,0.1
69,0.5,0.0,0.5,0.0
70,0.6,0.0,0.0,0.4
71,0.4,0.0,0.5,0.1
72,1.0,0.0,0.0,0.0
73,0.8,0.0,0.1,0.1
74,0.5,0.5,0.0,0.0
75,0.2,0.0,0.0,0.8
76,0.0,0.0,0.6,0.4
77,0.9,0.0,0.0,0.1
78,0.9,0.0,0.0,0.1
79,0.8,0.0,0.1,0.1
80,0.5,0.0,0.3,0.2
81,1.0,0.0,0.0,0.0
82,0.5,0.0,0.0,0.5
83,0.4,0.2,0.0,0.4
84,0.0,0.0,0.4,0.6
85,0.7,0.0,0.2,0.1
86,0.7,0.1,0.0,0.2
87,0.6,0.0,0.1,0.3
88,0.4,0.0,0.2,0.4
89,0.5,0.3,0.0,0.2
90,0.8,0.1,0.0,0.1
91,0.3,0.0,0.1,0.6
92,0.5,0.0,0.0,0.5
93,0.3,0.0,0.1,0.6
94,0.0,0.0,0.8,0.2
95,0.7,0.1,0.0,0.2
96,0.2,0.0,0.2,0.6
97,0.0,0.0,0.5,0.5
98,0.5,0.1,0.0,0.4
99,0.6,0.1,0.1,0.2
100,0.8,0.0,0.2,0.0
101,0.9,0.0,0.0,0.1
102,0.6,0.0,0.1,0.3
103,1.0,0.0,0.0,0.0
104,0.4,0.0,0.4,0.2
105,0.4,0.3,0.0,0.3
106,0.4,0.1,0.0,0.5
