,2007-2011,2017-2022,2001-2006,2012-2016
0,0.1,0.1,0.0,0.8
1,0.3,0.0,0.3,0.4
2,0.1,0.0,0.6,0.3
3,0.6,0.1,0.2,0.1
4,0.2,0.0,0.6,0.2
5,0.6,0.0,0.1,0.3
6,0.6,0.0,0.4,0.0
7,0.2,0.1,0.5,0.2
8,0.0,0.0,1.0,0.0
9,0.8,0.0,0.2,0.0
10,0.5,0.1,0.1,0.3
11,0.7,0.0,0.2,0.1
12,0.4,0.1,0.5,0.0
13,0.2,0.0,0.7,0.1
14,0.5,0.2,0.2,0.1
15,0.2,0.0,0.8,0.0
16,0.1,0.1,0.7,0.1
17,0.6,0.0,0.4,0.0
18,0.8,0.0,0.1,0.1
19,0.4,0.2,0.2,0.2
20,0.3,0.2,0.4,0.1
21,0.0,0.0,0.1,0.9
22,0.4,0.1,0.5,0.0
23,0.9,0.1,0.0,0.0
24,0.5,0.3,0.1,0.1
25,0.1,0.0,0.9,0.0
26,0.1,0.2,0.6,0.1
27,0.5,0.1,0.1,0.3
28,0.1,0.0,0.9,0.0
29,0.1,0.2,0.4,0.3
30,0.5,0.1,0.2,0.2
31,0.2,0.4,0.2,0.2
32,0.3,0.1,0.2,0.4
33,0.0,0.7,0.3,0.0
34,0.1,0.1,0.7,0.1
35,0.1,0.2,0.7,0.0
36,0.3,0.4,0.3,0.0
37,0.2,0.2,0.3,0.3
38,0.2,0.2,0.1,0.5
39,0.2,0.0,0.4,0.4
40,0.3,0.3,0.2,0.2
41,0.1,0.3,0.6,0.0
42,0.4,0.2,0.2,0.2
43,0.3,0.1,0.3,0.3
44,0.2,0.0,0.8,0.0
45,0.4,0.0,0.4,0.2
46,0.0,0.0,0.9,0.1
47,0.1,0.3,0.3,0.3
48,0.5,0.2,0.2,0.1
49,0.7,0.0,0.1,0.2
50,0.2,0.3,0.2,0.3
51,0.3,0.2,0.3,0.2
52,0.4,0.3,0.0,0.3
53,0.4,0.1,0.3,0.2
54,0.1,0.0,0.9,0.0
55,0.3,0.0,0.5,0.2
56,0.1,0.2,0.5,0.2
57,0.2,0.1,0.6,0.1
58,0.6,0.0,0.1,0.3
59,0.2,0.2,0.3,0.3
60,0.1,0.1,0.4,0.4
61,0.5,0.1,0.4,0.0
62,0.3,0.2,0.5,0.0
63,0.4,0.1,0.3,0.2
64,0.1,0.2,0.4,0.3
65,0.6,0.1,0.0,0.3
66,0.2,0.4,0.2,0.2
67,0.3,0.2,0.3,0.2
68,0.3,0.3,0.2,0.2
69,0.3,0.1,0.4,0.2
70,0.6,0.1,0.2,0.1
71,0.7,0.0,0.1,0.2
72,0.2,0.3,0.3,0.2
73,0.4,0.2,0.0,0.4
74,0.5,0.0,0.4,0.1
75,0.3,0.3,0.3,0.1
76,0.5,0.2,0.3,0.0
77,0.3,0.2,0.4,0.1
78,0.5,0.2,0.1,0.2
79,0.6,0.1,0.2,0.1
80,0.5,0.1,0.3,0.1
81,0.0,0.0,1.0,0.0
82,0.2,0.4,0.0,0.4
83,0.6,0.2,0.1,0.1
84,0.4,0.1,0.3,0.2
85,0.2,0.3,0.1,0.4
86,0.2,0.1,0.4,0.3
87,0.4,0.3,0.1,0.2
88,0.1,0.3,0.2,0.4
89,0.4,0.0,0.6,0.0
90,0.6,0.0,0.2,0.2
91,0.2,0.2,0.0,0.6
92,0.2,0.4,0.3,0.1
93,0.4,0.0,0.4,0.2
94,0.3,0.1,0.5,0.1
95,0.3,0.4,0.2,0.1
96,0.1,0.4,0.4,0.1
97,0.3,0.2,0.3,0.2
98,0.5,0.0,0.1,0.4
99,0.3,0.3,0.2,0.2
100,0.2,0.2,0.2,0.4
101,0.6,0.0,0.3,0.1
102,0.4,0.1,0.1,0.4
103,0.4,0.1,0.5,0.0
104,0.6,0.0,0.2,0.2
105,0.4,0.1,0.1,0.4
106,0.2,0.4,0.2,0.2
107,0.3,0.0,0.6,0.1
108,0.4,0.3,0.1,0.2
109,0.5,0.1,0.3,0.1
110,0.8,0.0,0.1,0.1
111,0.8,0.2,0.0,0.0
112,0.2,0.2,0.2,0.4
113,0.6,0.1,0.2,0.1
114,0.3,0.3,0.2,0.2
115,0.1,0.3,0.2,0.4
116,0.2,0.5,0.2,0.1
117,0.5,0.2,0.2,0.1
118,0.1,0.3,0.1,0.5
119,0.2,0.0,0.7,0.1
120,0.9,0.0,0.0,0.1
121,0.2,0.2,0.2,0.4
122,0.5,0.2,0.3,0.0
123,0.5,0.1,0.3,0.1
124,0.2,0.3,0.3,0.2
125,0.6,0.1,0.3,0.0
126,0.5,0.1,0.2,0.2
127,0.4,0.3,0.3,0.0
128,0.0,0.4,0.3,0.3
129,0.1,0.5,0.1,0.3
130,0.7,0.0,0.1,0.2
131,0.5,0.2,0.2,0.1
132,0.5,0.0,0.2,0.3
133,0.8,0.2,0.0,0.0
134,0.5,0.1,0.3,0.1
135,0.4,0.2,0.3,0.1
136,0.3,0.3,0.1,0.3
137,0.7,0.1,0.1,0.1
138,0.3,0.3,0.1,0.3
139,0.3,0.4,0.0,0.3
140,0.1,0.5,0.2,0.2
141,0.4,0.1,0.1,0.4
142,0.8,0.1,0.0,0.1
143,0.4,0.0,0.5,0.1
144,0.6,0.1,0.1,0.2
145,0.2,0.3,0.4,0.1
146,0.2,0.2,0.0,0.6
147,0.3,0.1,0.3,0.3
148,0.6,0.0,0.0,0.4
149,0.3,0.2,0.2,0.3
150,0.2,0.3,0.1,0.4
151,0.6,0.2,0.1,0.1
152,0.1,0.4,0.0,0.5
