,Low,High,Medium-High,Medium-Low
0,1.0,0.0,0.0,0.0
1,0.8,0.0,0.1,0.1
2,0.4,0.0,0.1,0.5
3,0.8,0.0,0.0,0.2
4,0.5,0.0,0.1,0.4
5,0.7,0.0,0.0,0.3
6,0.3,0.0,0.3,0.4
7,1.0,0.0,0.0,0.0
8,0.7,0.0,0.1,0.2
9,1.0,0.0,0.0,0.0
10,0.5,0.0,0.2,0.3
11,0.9,0.0,0.0,0.1
12,0.6,0.0,0.1,0.3
13,0.5,0.0,0.5,0.0
14,0.9,0.0,0.0,0.1
15,0.2,0.1,0.2,0.5
16,0.3,0.1,0.3,0.3
17,0.8,0.0,0.0,0.2
18,1.0,0.0,0.0,0.0
19,0.9,0.0,0.0,0.1
20,0.6,0.0,0.0,0.4
21,1.0,0.0,0.0,0.0
22,0.7,0.0,0.1,0.2
23,1.0,0.0,0.0,0.0
24,0.6,0.1,0.1,0.2
25,0.9,0.0,0.0,0.1
26,0.7,0.0,0.0,0.3
27,0.7,0.0,0.1,0.2
28,0.5,0.0,0.1,0.4
29,0.7,0.0,0.1,0.2
30,0.7,0.0,0.0,0.3
31,0.7,0.1,0.1,0.1
32,0.8,0.0,0.0,0.2
33,0.8,0.0,0.0,0.2
34,0.2,0.3,0.5,0.0
35,0.8,0.0,0.0,0.2
36,0.8,0.0,0.2,0.0
37,0.6,0.1,0.0,0.3
38,0.3,0.0,0.0,0.7
39,1.0,0.0,0.0,0.0
40,0.6,0.0,0.1,0.3
41,0.2,0.1,0.3,0.4
42,0.8,0.0,0.0,0.2
43,0.7,0.0,0.1,0.2
44,0.1,0.0,0.3,0.6
45,0.1,0.0,0.5,0.4
46,0.7,0.0,0.0,0.3
47,0.8,0.0,0.1,0.1
48,0.7,0.0,0.1,0.2
49,0.5,0.1,0.1,0.3
50,0.6,0.0,0.0,0.4
51,0.5,0.1,0.0,0.4
52,0.4,0.0,0.1,0.5
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,0.7,0.0,0.0,0.3
56,0.1,0.0,0.1,0.8
57,0.7,0.0,0.1,0.2
58,0.2,0.0,0.3,0.5
59,0.2,0.0,0.2,0.6
60,0.5,0.0,0.1,0.4
61,0.7,0.0,0.0,0.3
62,0.5,0.0,0.0,0.5
63,0.5,0.0,0.0,0.5
64,0.5,0.0,0.2,0.3
65,0.6,0.0,0.3,0.1
66,0.8,0.0,0.0,0.2
67,1.0,0.0,0.0,0.0
68,0.7,0.0,0.1,0.2
69,0.9,0.0,0.0,0.1
70,0.6,0.0,0.3,0.1
71,1.0,0.0,0.0,0.0
72,0.8,0.0,0.1,0.1
73,0.6,0.0,0.2,0.2
74,0.5,0.0,0.1,0.4
75,0.7,0.1,0.0,0.2
76,0.4,0.0,0.2,0.4
77,0.4,0.0,0.4,0.2
78,0.0,0.7,0.2,0.1
79,0.7,0.0,0.1,0.2
80,0.8,0.0,0.2,0.0
81,1.0,0.0,0.0,0.0
82,0.8,0.0,0.0,0.2
83,0.2,0.1,0.4,0.3
84,0.7,0.0,0.0,0.3
85,0.9,0.0,0.0,0.1
86,0.3,0.3,0.0,0.4
87,0.8,0.0,0.0,0.2
88,0.7,0.0,0.0,0.3
89,0.9,0.0,0.1,0.0
90,0.6,0.0,0.0,0.4
91,0.9,0.0,0.0,0.1
92,0.2,0.1,0.2,0.5
93,0.9,0.0,0.0,0.1
94,0.6,0.0,0.1,0.3
95,0.7,0.2,0.0,0.1
96,0.5,0.1,0.1,0.3
97,1.0,0.0,0.0,0.0
98,0.9,0.0,0.1,0.0
