,20th century,21st century,Pre-1900s,Unknown
0,0.0,0.0,0.3,0.7
1,0.1,0.0,0.0,0.9
2,0.0,0.0,1.0,0.0
3,0.0,0.0,0.1,0.9
4,0.0,0.0,0.2,0.8
5,0.4,0.0,0.1,0.5
6,0.0,0.0,0.0,1.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,0.9,0.1
9,0.0,0.0,0.7,0.3
10,0.1,0.0,0.0,0.9
11,0.5,0.0,0.1,0.4
12,0.0,0.0,0.8,0.2
13,0.1,0.0,0.0,0.9
14,0.8,0.0,0.1,0.1
15,0.0,0.1,0.0,0.9
16,0.6,0.1,0.0,0.3
17,0.1,0.8,0.0,0.1
18,0.0,0.0,0.0,1.0
19,0.5,0.0,0.3,0.2
20,0.1,0.0,0.0,0.9
21,0.0,0.0,0.1,0.9
22,0.1,0.1,0.3,0.5
23,0.0,0.0,0.0,1.0
24,0.2,0.3,0.0,0.5
25,0.0,0.0,0.0,1.0
26,0.2,0.0,0.1,0.7
27,0.4,0.1,0.0,0.5
28,0.0,0.0,0.9,0.1
29,0.2,0.0,0.5,0.3
30,0.6,0.0,0.3,0.1
31,0.4,0.0,0.1,0.5
32,0.6,0.0,0.3,0.1
33,0.0,0.0,0.0,1.0
34,0.2,0.0,0.0,0.8
35,0.0,0.0,0.7,0.3
36,0.3,0.2,0.0,0.5
37,0.2,0.2,0.6,0.0
38,0.0,0.1,0.2,0.7
39,0.0,0.0,0.8,0.2
40,0.1,0.0,0.0,0.9
41,0.0,0.0,0.0,1.0
42,0.2,0.1,0.2,0.5
43,0.5,0.0,0.0,0.5
44,0.0,0.0,0.0,1.0
45,0.1,0.0,0.0,0.9
46,0.4,0.0,0.0,0.6
47,0.2,0.2,0.1,0.5
48,0.5,0.0,0.2,0.3
49,0.4,0.0,0.0,0.6
50,0.1,0.0,0.0,0.9
51,0.8,0.1,0.0,0.1
52,0.4,0.5,0.0,0.1
53,0.3,0.0,0.2,0.5
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.6,0.4
56,0.1,0.1,0.2,0.6
57,0.2,0.0,0.7,0.1
58,0.1,0.0,0.0,0.9
59,0.4,0.0,0.0,0.6
60,0.2,0.1,0.6,0.1
61,0.0,0.3,0.4,0.3
62,0.1,0.1,0.6,0.2
63,0.3,0.0,0.0,0.7
