,Medium-High,High,Low,Medium-Low
0,0.2,0.0,0.8,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.0,0.1,0.8,0.1
5,0.0,0.0,0.9,0.1
6,0.0,0.0,0.9,0.1
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,0.0,0.0,1.0,0.0
10,0.0,0.0,0.8,0.2
11,0.0,0.0,1.0,0.0
12,0.0,0.0,0.7,0.3
13,0.0,0.0,0.8,0.2
14,0.1,0.4,0.3,0.2
15,0.0,0.0,1.0,0.0
16,0.0,0.1,0.7,0.2
17,0.0,0.1,0.8,0.1
18,0.0,0.2,0.5,0.3
19,0.2,0.0,0.6,0.2
20,0.0,0.0,0.9,0.1
21,0.0,0.0,0.7,0.3
22,0.0,0.0,0.9,0.1
23,0.0,0.0,0.7,0.3
24,0.0,0.0,0.8,0.2
25,0.0,0.1,0.6,0.3
26,0.0,0.0,0.9,0.1
27,0.0,0.0,0.7,0.3
28,0.0,0.0,0.9,0.1
29,0.0,0.0,0.7,0.3
30,0.1,0.2,0.6,0.1
31,0.1,0.0,0.7,0.2
32,0.0,0.0,0.7,0.3
33,0.1,0.1,0.5,0.3
34,0.2,0.0,0.7,0.1
35,0.1,0.0,0.8,0.1
36,0.1,0.0,0.6,0.3
37,0.1,0.0,0.6,0.3
38,0.0,0.0,0.7,0.3
39,0.0,0.1,0.8,0.1
40,0.0,0.0,0.8,0.2
41,0.0,0.0,0.7,0.3
42,0.0,0.0,0.7,0.3
43,0.0,0.0,0.7,0.3
44,0.0,0.0,0.9,0.1
45,0.0,0.0,0.9,0.1
46,0.4,0.0,0.6,0.0
47,0.0,0.0,0.7,0.3
48,0.0,0.0,0.9,0.1
49,0.0,0.0,0.7,0.3
50,0.0,0.0,0.8,0.2
51,0.0,0.0,1.0,0.0
52,0.0,0.0,0.7,0.3
53,0.0,0.0,1.0,0.0
54,0.0,0.0,0.7,0.3
55,0.1,0.0,0.7,0.2
56,0.0,0.0,0.7,0.3
57,0.1,0.0,0.9,0.0
58,0.0,0.0,1.0,0.0
59,0.0,0.0,0.9,0.1
60,0.0,0.0,0.9,0.1
61,0.0,0.0,1.0,0.0
62,0.0,0.0,0.7,0.3
63,0.0,0.0,1.0,0.0
64,0.0,0.0,0.6,0.4
65,0.1,0.0,0.4,0.5
66,0.0,0.0,0.7,0.3
67,0.0,0.0,0.7,0.3
68,0.0,0.0,1.0,0.0
69,0.0,0.0,0.7,0.3
70,0.1,0.2,0.5,0.2
71,0.0,0.0,0.9,0.1
72,0.0,0.0,0.9,0.1
73,0.0,0.0,0.7,0.3
74,0.0,0.0,0.7,0.3
75,0.1,0.3,0.5,0.1
76,0.1,0.0,0.7,0.2
77,0.0,0.0,0.8,0.2
78,0.0,0.0,0.7,0.3
79,0.0,0.0,1.0,0.0
80,0.2,0.4,0.3,0.1
81,0.0,0.0,0.9,0.1
82,0.0,0.0,1.0,0.0
83,0.0,0.0,0.9,0.1
84,0.1,0.0,0.7,0.2
85,0.0,0.0,1.0,0.0
86,0.0,0.0,0.7,0.3
87,0.1,0.2,0.3,0.4
88,0.0,0.0,0.6,0.4
89,0.4,0.1,0.2,0.3
90,0.0,0.0,0.9,0.1
91,0.0,0.0,0.8,0.2
92,0.0,0.0,0.7,0.3
93,0.0,0.0,1.0,0.0
94,0.0,0.0,1.0,0.0
95,0.0,0.0,0.7,0.3
96,0.0,0.0,0.7,0.3
97,0.3,0.0,0.6,0.1
98,0.5,0.5,0.0,0.0
99,0.0,0.0,1.0,0.0
100,0.0,0.0,1.0,0.0
101,0.0,0.0,0.7,0.3
102,0.0,0.0,0.8,0.2
