,2007-2011,2017-2022,2012-2016,2001-2006
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,1.0,2.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,0.0,1.0,3.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,1.0
17,0.0,0.0,0.0,1.0
18,1.0,0.0,1.0,1.0
19,2.0,0.0,2.0,0.0
20,0.0,1.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,3.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,3.0,1.0
25,1.0,0.0,0.0,1.0
26,0.0,0.0,1.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,1.0
29,0.0,0.0,0.0,0.0
30,1.0,1.0,0.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.0
35,1.0,1.0,0.0,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,1.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,1.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,8.0
49,0.0,0.0,0.0,0.0
50,1.0,2.0,0.0,0.0
51,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
54,1.0,1.0,0.0,0.0
55,2.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,1.0
60,2.0,3.0,2.0,0.0
61,0.0,2.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,2.0,2.0,1.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,2.0,0.0,0.0,5.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
