,2007-2011,2017-2022,2012-2016,2001-2006
0,0.4,0.2,0.0,0.4
1,0.1,0.0,0.8,0.1
2,0.3,0.0,0.0,0.7
3,0.5,0.2,0.1,0.2
4,0.5,0.0,0.1,0.4
5,0.1,0.2,0.6,0.1
6,0.3,0.2,0.3,0.2
7,0.0,0.0,0.3,0.7
8,0.0,0.3,0.1,0.6
9,0.1,0.1,0.0,0.8
10,0.2,0.1,0.2,0.5
11,0.1,0.1,0.4,0.4
12,0.4,0.0,0.4,0.2
13,0.4,0.0,0.4,0.2
14,0.1,0.3,0.6,0.0
15,0.7,0.1,0.0,0.2
16,0.4,0.0,0.0,0.6
17,0.2,0.3,0.2,0.3
18,0.2,0.2,0.1,0.5
19,0.4,0.0,0.4,0.2
20,0.6,0.2,0.2,0.0
21,0.3,0.2,0.1,0.4
22,0.0,0.0,0.0,1.0
23,0.1,0.0,0.0,0.9
24,0.3,0.0,0.4,0.3
25,0.3,0.2,0.1,0.4
26,0.1,0.2,0.4,0.3
27,0.5,0.1,0.2,0.2
28,0.3,0.1,0.0,0.6
29,0.4,0.0,0.3,0.3
30,0.4,0.1,0.1,0.4
31,0.6,0.0,0.3,0.1
32,0.4,0.0,0.4,0.2
33,0.2,0.2,0.2,0.4
34,0.6,0.1,0.1,0.2
35,0.7,0.2,0.1,0.0
36,0.4,0.0,0.4,0.2
37,0.4,0.0,0.3,0.3
38,0.4,0.0,0.4,0.2
39,0.4,0.0,0.1,0.5
40,0.2,0.2,0.5,0.1
41,0.4,0.0,0.4,0.2
42,0.4,0.0,0.4,0.2
43,0.5,0.0,0.3,0.2
44,0.3,0.1,0.1,0.5
45,0.5,0.0,0.2,0.3
46,0.0,0.5,0.1,0.4
47,0.5,0.0,0.3,0.2
48,0.0,0.0,0.0,1.0
49,0.4,0.0,0.4,0.2
50,0.2,0.5,0.1,0.2
51,0.1,0.1,0.1,0.7
52,0.4,0.0,0.3,0.3
53,0.1,0.4,0.3,0.2
54,0.2,0.2,0.1,0.5
55,0.6,0.1,0.0,0.3
56,0.4,0.0,0.3,0.3
57,0.2,0.2,0.2,0.4
58,0.9,0.0,0.1,0.0
59,0.3,0.2,0.2,0.3
60,0.3,0.5,0.2,0.0
61,0.0,0.7,0.1,0.2
62,0.4,0.0,0.3,0.3
63,1.0,0.0,0.0,0.0
64,0.4,0.0,0.3,0.3
65,0.0,0.2,0.2,0.6
66,0.4,0.0,0.3,0.3
67,0.9,0.0,0.1,0.0
68,0.3,0.0,0.1,0.6
69,0.4,0.0,0.3,0.3
70,0.3,0.1,0.1,0.5
71,0.0,0.1,0.1,0.8
72,0.5,0.0,0.2,0.3
73,0.5,0.0,0.3,0.2
74,0.4,0.0,0.4,0.2
75,0.1,0.2,0.4,0.3
76,0.6,0.1,0.0,0.3
77,0.5,0.0,0.0,0.5
78,0.5,0.0,0.3,0.2
79,1.0,0.0,0.0,0.0
80,0.4,0.1,0.2,0.3
81,0.5,0.1,0.2,0.2
82,1.0,0.0,0.0,0.0
83,0.1,0.0,0.7,0.2
84,0.6,0.0,0.2,0.2
85,0.1,0.8,0.0,0.1
86,0.5,0.0,0.3,0.2
87,0.3,0.0,0.0,0.7
88,0.3,0.1,0.2,0.4
89,0.2,0.4,0.1,0.3
90,1.0,0.0,0.0,0.0
91,0.5,0.1,0.1,0.3
92,0.5,0.0,0.3,0.2
93,0.1,0.1,0.1,0.7
94,1.0,0.0,0.0,0.0
95,0.2,0.2,0.1,0.5
96,0.4,0.0,0.4,0.2
97,0.1,0.3,0.2,0.4
98,0.6,0.2,0.1,0.1
99,0.1,0.0,0.9,0.0
100,0.4,0.0,0.3,0.3
101,0.4,0.0,0.3,0.3
102,0.8,0.1,0.0,0.1
103,0.1,0.1,0.6,0.2
104,0.1,0.0,0.0,0.9
105,0.4,0.0,0.4,0.2
106,0.3,0.4,0.2,0.1
107,0.4,0.2,0.1,0.3
108,0.7,0.0,0.3,0.0
109,0.2,0.0,0.8,0.0
110,0.5,0.0,0.3,0.2
111,0.5,0.0,0.1,0.4
112,0.4,0.1,0.4,0.1
113,0.1,0.0,0.6,0.3
114,0.5,0.0,0.3,0.2
115,0.4,0.1,0.2,0.3
116,0.5,0.0,0.3,0.2
117,0.4,0.3,0.2,0.1
118,0.3,0.0,0.7,0.0
119,0.1,0.4,0.4,0.1
120,0.5,0.0,0.3,0.2
121,0.5,0.1,0.2,0.2
122,0.4,0.1,0.0,0.5
123,0.5,0.2,0.3,0.0
124,0.5,0.0,0.3,0.2
125,0.3,0.0,0.7,0.0
126,0.1,0.0,0.6,0.3
127,0.5,0.0,0.3,0.2
128,0.1,0.4,0.5,0.0
129,0.5,0.1,0.0,0.4
130,0.6,0.0,0.2,0.2
131,0.6,0.1,0.1,0.2
132,0.3,0.1,0.1,0.5
133,0.4,0.3,0.1,0.2
134,0.5,0.3,0.0,0.2
135,0.1,0.6,0.2,0.1
136,0.3,0.1,0.6,0.0
137,0.6,0.4,0.0,0.0
138,0.5,0.0,0.3,0.2
139,0.4,0.0,0.4,0.2
140,0.2,0.3,0.2,0.3
141,0.2,0.3,0.2,0.3
142,0.4,0.1,0.3,0.2
143,0.4,0.1,0.3,0.2
144,0.1,0.1,0.6,0.2
145,0.4,0.0,0.3,0.3
146,0.8,0.0,0.2,0.0
147,0.4,0.0,0.4,0.2
148,0.0,0.9,0.0,0.1
149,0.0,0.2,0.8,0.0
150,0.4,0.0,0.4,0.2
151,0.1,0.7,0.1,0.1
152,0.4,0.0,0.4,0.2
