,High,Medium-Low,Medium-High,Low
0,0.0,0.0,0.2,0.8
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.1,0.1,0.0,0.8
5,0.0,0.1,0.0,0.9
6,0.0,0.1,0.0,0.9
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
10,0.0,0.2,0.0,0.8
11,0.0,0.0,0.0,1.0
12,0.0,0.3,0.0,0.7
13,0.0,0.2,0.0,0.8
14,0.4,0.2,0.1,0.3
15,0.0,0.0,0.0,1.0
16,0.1,0.2,0.0,0.7
17,0.1,0.1,0.0,0.8
18,0.2,0.3,0.0,0.5
19,0.0,0.2,0.2,0.6
20,0.0,0.1,0.0,0.9
21,0.0,0.3,0.0,0.7
22,0.0,0.1,0.0,0.9
23,0.0,0.3,0.0,0.7
24,0.0,0.2,0.0,0.8
25,0.1,0.3,0.0,0.6
26,0.0,0.1,0.0,0.9
27,0.0,0.3,0.0,0.7
28,0.0,0.1,0.0,0.9
29,0.0,0.3,0.0,0.7
30,0.2,0.1,0.1,0.6
31,0.0,0.2,0.1,0.7
32,0.0,0.3,0.0,0.7
33,0.1,0.3,0.1,0.5
34,0.0,0.1,0.2,0.7
35,0.0,0.1,0.1,0.8
36,0.0,0.3,0.1,0.6
37,0.0,0.3,0.1,0.6
38,0.0,0.3,0.0,0.7
39,0.1,0.1,0.0,0.8
40,0.0,0.2,0.0,0.8
41,0.0,0.3,0.0,0.7
42,0.0,0.3,0.0,0.7
43,0.0,0.3,0.0,0.7
44,0.0,0.1,0.0,0.9
45,0.0,0.1,0.0,0.9
46,0.0,0.0,0.4,0.6
47,0.0,0.3,0.0,0.7
48,0.0,0.1,0.0,0.9
49,0.0,0.3,0.0,0.7
50,0.0,0.2,0.0,0.8
51,0.0,0.0,0.0,1.0
52,0.0,0.3,0.0,0.7
53,0.0,0.0,0.0,1.0
54,0.0,0.3,0.0,0.7
55,0.0,0.2,0.1,0.7
56,0.0,0.3,0.0,0.7
57,0.0,0.0,0.1,0.9
58,0.0,0.0,0.0,1.0
59,0.0,0.1,0.0,0.9
60,0.0,0.1,0.0,0.9
61,0.0,0.0,0.0,1.0
62,0.0,0.3,0.0,0.7
63,0.0,0.0,0.0,1.0
64,0.0,0.4,0.0,0.6
65,0.0,0.5,0.1,0.4
66,0.0,0.3,0.0,0.7
67,0.0,0.3,0.0,0.7
68,0.0,0.0,0.0,1.0
69,0.0,0.3,0.0,0.7
70,0.2,0.2,0.1,0.5
71,0.0,0.1,0.0,0.9
72,0.0,0.1,0.0,0.9
73,0.0,0.3,0.0,0.7
74,0.0,0.3,0.0,0.7
75,0.3,0.1,0.1,0.5
76,0.0,0.2,0.1,0.7
77,0.0,0.2,0.0,0.8
78,0.0,0.3,0.0,0.7
79,0.0,0.0,0.0,1.0
80,0.4,0.1,0.2,0.3
81,0.0,0.1,0.0,0.9
82,0.0,0.0,0.0,1.0
83,0.0,0.1,0.0,0.9
84,0.0,0.2,0.1,0.7
85,0.0,0.0,0.0,1.0
86,0.0,0.3,0.0,0.7
87,0.2,0.4,0.1,0.3
88,0.0,0.4,0.0,0.6
89,0.1,0.3,0.4,0.2
90,0.0,0.1,0.0,0.9
91,0.0,0.2,0.0,0.8
92,0.0,0.3,0.0,0.7
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.3,0.0,0.7
96,0.0,0.3,0.0,0.7
97,0.0,0.1,0.3,0.6
98,0.5,0.0,0.5,0.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
101,0.0,0.3,0.0,0.7
102,0.0,0.2,0.0,0.8
103,0.0,0.2,0.0,0.8
104,0.0,0.0,0.0,1.0
105,0.0,0.3,0.0,0.7
106,0.3,0.3,0.3,0.1
107,0.1,0.2,0.3,0.4
108,0.0,0.0,0.0,1.0
109,0.0,0.0,0.0,1.0
110,0.0,0.3,0.0,0.7
111,0.2,0.1,0.0,0.7
112,0.0,0.0,0.0,1.0
113,0.0,0.2,0.1,0.7
114,0.0,0.3,0.0,0.7
115,0.0,0.1,0.0,0.9
116,0.0,0.3,0.0,0.7
117,0.0,0.1,0.1,0.8
118,0.0,0.0,0.0,1.0
119,0.0,0.5,0.1,0.4
120,0.0,0.3,0.0,0.7
121,0.0,0.0,0.1,0.9
122,0.0,0.3,0.0,0.7
123,0.0,0.3,0.0,0.7
124,0.0,0.3,0.0,0.7
125,0.0,0.0,0.0,1.0
126,0.0,0.5,0.0,0.5
127,0.0,0.3,0.0,0.7
128,0.0,0.0,0.0,1.0
129,0.0,0.4,0.1,0.5
130,0.0,0.0,0.1,0.9
131,0.0,0.0,0.0,1.0
132,0.0,0.2,0.1,0.7
133,0.0,0.4,0.0,0.6
134,0.1,0.2,0.2,0.5
135,0.2,0.2,0.1,0.5
136,0.0,0.1,0.0,0.9
137,0.0,0.1,0.0,0.9
138,0.0,0.3,0.0,0.7
139,0.0,0.3,0.0,0.7
140,0.0,0.3,0.1,0.6
141,0.0,0.1,0.1,0.8
142,0.0,0.1,0.0,0.9
143,0.0,0.1,0.0,0.9
144,0.0,0.0,0.2,0.8
145,0.0,0.3,0.0,0.7
146,0.0,0.1,0.0,0.9
147,0.0,0.3,0.0,0.7
148,0.0,0.0,0.0,1.0
149,0.0,0.0,0.0,1.0
150,0.0,0.3,0.0,0.7
151,0.0,0.4,0.3,0.3
152,0.0,0.3,0.0,0.7
153,0.2,0.3,0.1,0.4
154,0.0,0.1,0.1,0.8
155,0.0,0.2,0.0,0.8
156,0.0,0.2,0.0,0.8
157,0.1,0.2,0.0,0.7
158,0.0,0.3,0.0,0.7
