,Pre-1900s,20th century,21st century,Unknown
0,0.1,0.1,0.0,0.8
1,0.1,0.0,0.0,0.9
2,0.0,0.0,0.0,1.0
3,0.1,0.0,0.0,0.9
4,0.2,0.1,0.1,0.6
5,0.1,0.0,0.0,0.9
6,0.3,0.0,0.0,0.7
7,0.2,0.0,0.0,0.8
8,0.0,0.0,0.0,1.0
9,0.3,0.0,0.0,0.7
10,0.2,0.0,0.0,0.8
11,0.2,0.0,0.0,0.8
12,0.2,0.1,0.0,0.7
13,0.0,0.1,0.0,0.9
14,0.0,0.0,0.0,1.0
15,0.1,0.2,0.0,0.7
16,0.3,0.5,0.0,0.2
17,0.0,0.6,0.1,0.3
18,0.0,0.5,0.1,0.4
19,0.0,0.1,0.0,0.9
20,0.0,0.1,0.2,0.7
21,0.1,0.1,0.0,0.8
22,0.1,0.6,0.3,0.0
23,0.2,0.6,0.1,0.1
24,0.2,0.0,0.0,0.8
25,0.1,0.1,0.0,0.8
26,0.2,0.0,0.0,0.8
27,0.4,0.1,0.0,0.5
28,0.1,0.6,0.0,0.3
29,0.2,0.1,0.0,0.7
30,0.2,0.1,0.0,0.7
31,0.1,0.0,0.0,0.9
32,0.2,0.0,0.0,0.8
33,0.1,0.1,0.0,0.8
34,0.2,0.1,0.0,0.7
35,0.1,0.0,0.0,0.9
36,0.2,0.0,0.0,0.8
37,0.2,0.0,0.0,0.8
38,0.2,0.0,0.0,0.8
39,0.0,0.0,0.0,1.0
40,0.1,0.1,0.3,0.5
41,0.2,0.0,0.0,0.8
42,0.2,0.0,0.0,0.8
43,0.2,0.0,0.0,0.8
44,0.1,0.1,0.0,0.8
45,0.2,0.0,0.0,0.8
46,0.0,0.1,0.0,0.9
47,0.2,0.0,0.0,0.8
48,0.1,0.6,0.3,0.0
49,0.2,0.0,0.0,0.8
50,0.1,0.3,0.0,0.6
51,0.4,0.4,0.0,0.2
52,0.2,0.0,0.0,0.8
53,0.2,0.1,0.0,0.7
54,0.0,0.6,0.0,0.4
55,0.1,0.4,0.0,0.5
56,0.1,0.0,0.0,0.9
57,0.1,0.0,0.0,0.9
58,0.1,0.0,0.0,0.9
59,0.2,0.2,0.1,0.5
60,0.6,0.0,0.0,0.4
61,0.0,0.0,0.1,0.9
62,0.1,0.0,0.0,0.9
63,0.1,0.0,0.0,0.9
64,0.2,0.0,0.0,0.8
65,0.0,0.1,0.0,0.9
66,0.1,0.0,0.0,0.9
67,0.2,0.2,0.0,0.6
68,0.0,0.2,0.0,0.8
69,0.1,0.0,0.0,0.9
70,0.1,0.2,0.1,0.6
71,0.3,0.5,0.1,0.1
72,0.4,0.0,0.0,0.6
73,0.2,0.0,0.0,0.8
74,0.2,0.0,0.0,0.8
75,0.0,0.2,0.2,0.6
76,0.1,0.4,0.0,0.5
77,0.5,0.2,0.0,0.3
78,0.3,0.0,0.0,0.7
79,0.0,0.0,0.0,1.0
80,0.1,0.1,0.0,0.8
81,0.3,0.1,0.0,0.6
82,0.0,0.0,0.0,1.0
83,0.6,0.2,0.0,0.2
84,0.2,0.0,0.1,0.7
85,0.0,0.0,0.0,1.0
86,0.2,0.0,0.0,0.8
87,0.0,0.0,0.0,1.0
88,0.1,0.1,0.0,0.8
89,0.1,0.0,0.0,0.9
90,0.1,0.0,0.0,0.9
91,0.2,0.0,0.0,0.8
92,0.2,0.0,0.0,0.8
93,0.1,0.1,0.0,0.8
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.2,0.0,0.0,0.8
97,0.2,0.1,0.0,0.7
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.3,0.1,0.6
101,0.1,0.0,0.0,0.9
102,0.0,0.0,0.0,1.0
103,0.4,0.3,0.0,0.3
104,0.0,0.0,0.1,0.9
105,0.2,0.0,0.0,0.8
106,0.0,0.1,0.3,0.6
107,0.0,0.0,0.0,1.0
108,0.2,0.0,0.0,0.8
109,0.0,0.0,0.0,1.0
110,0.2,0.0,0.0,0.8
111,0.0,0.0,0.0,1.0
112,0.0,0.0,0.0,1.0
113,0.0,0.0,0.0,1.0
114,0.2,0.0,0.0,0.8
115,0.1,0.4,0.1,0.4
116,0.2,0.0,0.0,0.8
117,0.0,0.0,0.0,1.0
118,0.0,0.0,0.0,1.0
119,0.0,0.5,0.0,0.5
120,0.2,0.0,0.0,0.8
121,0.4,0.1,0.0,0.5
122,0.1,0.0,0.0,0.9
123,0.2,0.0,0.1,0.7
124,0.2,0.0,0.0,0.8
125,0.0,0.0,0.0,1.0
126,0.2,0.2,0.0,0.6
127,0.2,0.0,0.0,0.8
128,0.0,0.1,0.0,0.9
129,0.0,0.0,0.1,0.9
130,0.4,0.1,0.0,0.5
131,0.1,0.0,0.0,0.9
132,0.1,0.1,0.0,0.8
133,0.2,0.0,0.0,0.8
134,0.0,0.0,0.0,1.0
135,0.0,0.1,0.0,0.9
136,0.2,0.0,0.0,0.8
137,0.0,0.0,0.0,1.0
138,0.2,0.0,0.0,0.8
139,0.2,0.0,0.0,0.8
140,0.0,0.0,0.0,1.0
141,0.1,0.3,0.0,0.6
142,0.2,0.0,0.0,0.8
143,0.2,0.0,0.0,0.8
144,0.2,0.2,0.0,0.6
145,0.1,0.0,0.0,0.9
146,0.2,0.0,0.0,0.8
147,0.2,0.0,0.0,0.8
148,0.1,0.0,0.0,0.9
149,0.1,0.0,0.0,0.9
150,0.2,0.0,0.0,0.8
