,e-k,s-,a-d,l-r
0,0.3,0.2,0.5,0.0
1,0.3,0.0,0.4,0.3
2,0.1,0.9,0.0,0.0
3,0.3,0.0,0.5,0.2
4,0.4,0.0,0.4,0.2
5,0.3,0.5,0.2,0.0
6,0.0,0.2,0.3,0.5
7,0.1,0.3,0.4,0.2
8,0.1,0.3,0.2,0.4
9,0.3,0.2,0.4,0.1
10,0.2,0.1,0.4,0.3
11,0.4,0.1,0.2,0.3
12,0.0,0.2,0.7,0.1
13,0.1,0.4,0.2,0.3
14,0.0,0.0,0.0,1.0
15,0.3,0.2,0.3,0.2
16,0.5,0.3,0.1,0.1
17,0.4,0.5,0.0,0.1
18,0.3,0.4,0.2,0.1
19,0.3,0.1,0.4,0.2
20,0.1,0.1,0.1,0.7
21,0.3,0.4,0.2,0.1
22,0.4,0.3,0.1,0.2
23,0.3,0.7,0.0,0.0
24,0.0,0.0,0.8,0.2
25,0.3,0.1,0.4,0.2
26,0.4,0.0,0.0,0.6
27,0.2,0.4,0.0,0.4
28,0.3,0.2,0.1,0.4
29,0.3,0.5,0.2,0.0
30,0.2,0.1,0.4,0.3
31,0.0,0.5,0.1,0.4
32,0.1,0.1,0.2,0.6
33,0.2,0.4,0.1,0.3
34,0.5,0.0,0.4,0.1
35,0.1,0.4,0.3,0.2
36,0.1,0.0,0.9,0.0
37,0.4,0.2,0.1,0.3
38,0.1,0.5,0.3,0.1
39,0.0,0.0,0.5,0.5
40,0.2,0.1,0.3,0.4
41,0.1,0.1,0.3,0.5
42,0.0,0.1,0.7,0.2
43,0.3,0.2,0.2,0.3
44,0.1,0.2,0.2,0.5
45,0.6,0.0,0.3,0.1
46,0.0,0.2,0.2,0.6
47,0.1,0.2,0.2,0.5
48,0.7,0.1,0.0,0.2
49,0.5,0.3,0.1,0.1
50,0.0,0.0,0.0,1.0
51,0.1,0.3,0.1,0.5
52,0.0,1.0,0.0,0.0
53,0.0,0.5,0.1,0.4
54,0.0,0.1,0.5,0.4
55,0.1,0.2,0.6,0.1
56,0.2,0.3,0.0,0.5
57,0.4,0.4,0.0,0.2
58,0.2,0.2,0.2,0.4
59,0.3,0.2,0.3,0.2
60,0.2,0.4,0.1,0.3
61,0.0,0.6,0.3,0.1
62,0.1,0.0,0.0,0.9
63,0.3,0.2,0.1,0.4
64,0.1,0.3,0.0,0.6
65,0.1,0.0,0.3,0.6
66,0.3,0.4,0.0,0.3
67,0.0,0.5,0.2,0.3
68,0.5,0.1,0.1,0.3
69,0.0,0.9,0.1,0.0
70,0.0,0.0,0.1,0.9
71,0.2,0.1,0.1,0.6
72,0.5,0.2,0.2,0.1
73,0.0,0.4,0.3,0.3
74,0.3,0.2,0.1,0.4
75,0.2,0.1,0.2,0.5
76,0.4,0.1,0.4,0.1
77,0.1,0.6,0.1,0.2
78,0.0,0.2,0.7,0.1
79,0.3,0.1,0.3,0.3
80,0.1,0.1,0.1,0.7
81,0.0,0.1,0.6,0.3
82,0.1,0.2,0.4,0.3
83,0.2,0.3,0.3,0.2
84,0.3,0.2,0.2,0.3
85,0.1,0.3,0.2,0.4
86,0.2,0.4,0.0,0.4
87,0.1,0.0,0.0,0.9
88,0.7,0.0,0.2,0.1
89,0.0,0.0,0.1,0.9
90,0.5,0.2,0.2,0.1
91,0.5,0.2,0.1,0.2
92,0.0,0.3,0.5,0.2
93,0.1,0.1,0.2,0.6
94,0.6,0.2,0.0,0.2
95,0.4,0.2,0.2,0.2
96,0.1,0.6,0.3,0.0
97,0.3,0.1,0.0,0.6
98,0.0,0.0,0.0,1.0
99,0.0,0.1,0.9,0.0
100,0.2,0.0,0.3,0.5
101,0.2,0.3,0.2,0.3
102,0.0,0.0,0.0,1.0
103,0.2,0.1,0.5,0.2
104,0.1,0.2,0.1,0.6
105,0.7,0.1,0.1,0.1
106,0.2,0.3,0.1,0.4
107,0.3,0.3,0.1,0.3
108,0.6,0.2,0.0,0.2
109,0.0,0.5,0.5,0.0
110,0.7,0.0,0.3,0.0
111,0.2,0.5,0.0,0.3
112,0.4,0.2,0.0,0.4
113,0.1,0.6,0.1,0.2
114,0.2,0.1,0.3,0.4
115,0.1,0.0,0.6,0.3
116,0.0,0.7,0.3,0.0
117,0.4,0.2,0.2,0.2
118,0.0,0.0,0.0,1.0
119,0.3,0.1,0.2,0.4
120,0.1,0.2,0.7,0.0
121,0.1,0.0,0.4,0.5
122,0.3,0.3,0.4,0.0
123,0.0,0.5,0.3,0.2
124,0.2,0.5,0.1,0.2
125,0.2,0.1,0.5,0.2
126,0.1,0.3,0.4,0.2
127,0.5,0.1,0.2,0.2
128,0.1,0.4,0.3,0.2
129,0.0,0.1,0.0,0.9
