,2012-2016,2001-2006,2017-2022,2007-2011
0,0.1,0.2,0.1,0.6
1,0.3,0.1,0.1,0.5
2,0.0,0.6,0.1,0.3
3,0.2,0.2,0.2,0.4
4,0.1,0.7,0.0,0.2
5,0.2,0.1,0.0,0.7
6,0.0,0.6,0.1,0.3
7,0.5,0.3,0.2,0.0
8,0.1,0.2,0.4,0.3
9,0.4,0.4,0.1,0.1
10,0.2,0.1,0.1,0.6
11,0.4,0.3,0.1,0.2
12,0.3,0.3,0.1,0.3
13,0.3,0.0,0.6,0.1
14,0.2,0.2,0.2,0.4
15,0.0,0.4,0.0,0.6
16,0.0,0.7,0.0,0.3
17,0.2,0.4,0.1,0.3
18,0.1,0.4,0.3,0.2
19,0.6,0.2,0.0,0.2
20,0.2,0.5,0.1,0.2
21,0.2,0.5,0.0,0.3
22,0.0,1.0,0.0,0.0
23,0.0,1.0,0.0,0.0
24,0.1,0.5,0.2,0.2
25,0.1,0.5,0.1,0.3
26,0.1,0.4,0.1,0.4
27,0.1,0.3,0.6,0.0
28,0.0,0.8,0.0,0.2
29,0.7,0.0,0.1,0.2
30,0.0,0.8,0.0,0.2
31,0.2,0.6,0.0,0.2
32,0.6,0.1,0.1,0.2
33,0.3,0.2,0.1,0.4
34,0.5,0.1,0.2,0.2
35,0.1,0.5,0.4,0.0
36,0.4,0.1,0.4,0.1
37,0.4,0.4,0.0,0.2
38,0.0,0.0,1.0,0.0
39,0.1,0.8,0.0,0.1
40,0.2,0.3,0.3,0.2
41,0.2,0.2,0.3,0.3
42,0.0,0.2,0.1,0.7
43,0.4,0.3,0.0,0.3
44,0.2,0.6,0.1,0.1
45,0.2,0.6,0.0,0.2
46,0.0,0.4,0.5,0.1
47,0.0,0.2,0.7,0.1
48,0.0,0.9,0.0,0.1
49,0.0,0.2,0.4,0.4
50,0.1,0.1,0.8,0.0
51,0.0,0.9,0.0,0.1
52,0.3,0.2,0.1,0.4
53,0.3,0.1,0.4,0.2
54,0.0,0.2,0.8,0.0
55,0.1,0.3,0.2,0.4
56,0.5,0.3,0.2,0.0
57,0.4,0.0,0.2,0.4
58,0.0,0.1,0.0,0.9
59,0.1,0.2,0.2,0.5
60,0.0,0.8,0.1,0.1
61,0.0,0.3,0.0,0.7
62,0.1,0.1,0.8,0.0
63,0.0,0.0,0.0,1.0
64,0.3,0.4,0.0,0.3
65,0.1,0.6,0.1,0.2
66,0.2,0.3,0.1,0.4
67,0.1,0.3,0.0,0.6
68,0.0,0.2,0.0,0.8
