,a-d,l-r,s-,e-k
0,0.5,0.0,0.2,0.3
1,0.4,0.3,0.0,0.3
2,0.0,0.0,0.9,0.1
3,0.5,0.2,0.0,0.3
4,0.4,0.2,0.0,0.4
5,0.2,0.0,0.5,0.3
6,0.3,0.5,0.2,0.0
7,0.4,0.2,0.3,0.1
8,0.2,0.4,0.3,0.1
9,0.4,0.1,0.2,0.3
10,0.4,0.3,0.1,0.2
11,0.2,0.3,0.1,0.4
12,0.7,0.1,0.2,0.0
13,0.2,0.3,0.4,0.1
14,0.0,1.0,0.0,0.0
15,0.3,0.2,0.2,0.3
16,0.1,0.1,0.3,0.5
17,0.0,0.1,0.5,0.4
18,0.2,0.1,0.4,0.3
19,0.4,0.2,0.1,0.3
20,0.1,0.7,0.1,0.1
21,0.2,0.1,0.4,0.3
22,0.1,0.2,0.3,0.4
23,0.0,0.0,0.7,0.3
24,0.8,0.2,0.0,0.0
25,0.4,0.2,0.1,0.3
26,0.0,0.6,0.0,0.4
27,0.0,0.4,0.4,0.2
28,0.1,0.4,0.2,0.3
29,0.2,0.0,0.5,0.3
30,0.4,0.3,0.1,0.2
31,0.1,0.4,0.5,0.0
32,0.2,0.6,0.1,0.1
33,0.1,0.3,0.4,0.2
34,0.4,0.1,0.0,0.5
35,0.3,0.2,0.4,0.1
36,0.9,0.0,0.0,0.1
37,0.1,0.3,0.2,0.4
38,0.3,0.1,0.5,0.1
39,0.5,0.5,0.0,0.0
40,0.3,0.4,0.1,0.2
41,0.3,0.5,0.1,0.1
42,0.7,0.2,0.1,0.0
43,0.2,0.3,0.2,0.3
44,0.2,0.5,0.2,0.1
45,0.3,0.1,0.0,0.6
46,0.2,0.6,0.2,0.0
47,0.2,0.5,0.2,0.1
48,0.0,0.2,0.1,0.7
49,0.1,0.1,0.3,0.5
50,0.0,1.0,0.0,0.0
51,0.1,0.5,0.3,0.1
52,0.0,0.0,1.0,0.0
53,0.1,0.4,0.5,0.0
54,0.5,0.4,0.1,0.0
55,0.6,0.1,0.2,0.1
56,0.0,0.5,0.3,0.2
57,0.0,0.2,0.4,0.4
58,0.2,0.4,0.2,0.2
59,0.3,0.2,0.2,0.3
60,0.1,0.3,0.4,0.2
61,0.3,0.1,0.6,0.0
62,0.0,0.9,0.0,0.1
63,0.1,0.4,0.2,0.3
64,0.0,0.6,0.3,0.1
65,0.3,0.6,0.0,0.1
66,0.0,0.3,0.4,0.3
67,0.2,0.3,0.5,0.0
68,0.1,0.3,0.1,0.5
69,0.1,0.0,0.9,0.0
70,0.1,0.9,0.0,0.0
71,0.1,0.6,0.1,0.2
72,0.2,0.1,0.2,0.5
73,0.3,0.3,0.4,0.0
74,0.1,0.4,0.2,0.3
75,0.2,0.5,0.1,0.2
76,0.4,0.1,0.1,0.4
77,0.1,0.2,0.6,0.1
78,0.7,0.1,0.2,0.0
79,0.3,0.3,0.1,0.3
80,0.1,0.7,0.1,0.1
81,0.6,0.3,0.1,0.0
82,0.4,0.3,0.2,0.1
83,0.3,0.2,0.3,0.2
84,0.2,0.3,0.2,0.3
85,0.2,0.4,0.3,0.1
86,0.0,0.4,0.4,0.2
87,0.0,0.9,0.0,0.1
88,0.2,0.1,0.0,0.7
89,0.1,0.9,0.0,0.0
90,0.2,0.1,0.2,0.5
91,0.1,0.2,0.2,0.5
92,0.5,0.2,0.3,0.0
93,0.2,0.6,0.1,0.1
94,0.0,0.2,0.2,0.6
