,Low,Medium-High,High,Medium-Low
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,0.7,0.0,0.1,0.2
5,1.0,0.0,0.0,0.0
6,0.4,0.2,0.1,0.3
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,0.9,0.0,0.0,0.1
12,0.8,0.0,0.0,0.2
13,1.0,0.0,0.0,0.0
14,0.0,0.5,0.4,0.1
15,1.0,0.0,0.0,0.0
16,0.8,0.0,0.0,0.2
17,0.8,0.0,0.0,0.2
18,0.4,0.0,0.1,0.5
19,0.7,0.2,0.0,0.1
20,0.7,0.0,0.0,0.3
21,0.8,0.0,0.0,0.2
22,0.7,0.1,0.0,0.2
23,0.9,0.0,0.0,0.1
24,1.0,0.0,0.0,0.0
25,0.5,0.0,0.0,0.5
26,0.9,0.0,0.0,0.1
27,0.7,0.0,0.1,0.2
28,1.0,0.0,0.0,0.0
29,0.9,0.0,0.0,0.1
30,0.0,0.3,0.3,0.4
31,0.4,0.2,0.1,0.3
32,0.9,0.0,0.0,0.1
33,0.5,0.4,0.0,0.1
34,0.9,0.0,0.0,0.1
35,0.5,0.2,0.0,0.3
36,0.6,0.1,0.0,0.3
37,0.7,0.2,0.0,0.1
38,1.0,0.0,0.0,0.0
39,0.4,0.0,0.5,0.1
40,0.5,0.2,0.0,0.3
41,0.5,0.2,0.1,0.2
42,0.9,0.0,0.0,0.1
43,0.6,0.1,0.0,0.3
44,0.6,0.1,0.0,0.3
45,0.8,0.2,0.0,0.0
46,0.9,0.0,0.0,0.1
47,1.0,0.0,0.0,0.0
48,0.6,0.1,0.0,0.3
49,0.9,0.0,0.0,0.1
50,0.9,0.0,0.0,0.1
51,1.0,0.0,0.0,0.0
52,0.9,0.0,0.0,0.1
53,1.0,0.0,0.0,0.0
54,0.9,0.0,0.0,0.1
55,1.0,0.0,0.0,0.0
56,0.9,0.0,0.0,0.1
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,0.9,0.1,0.0,0.0
60,0.5,0.2,0.0,0.3
61,0.9,0.0,0.0,0.1
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,0.8,0.0,0.0,0.2
65,1.0,0.0,0.0,0.0
66,0.8,0.0,0.0,0.2
67,0.9,0.0,0.0,0.1
68,1.0,0.0,0.0,0.0
69,0.7,0.0,0.0,0.3
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.9,0.0,0.0,0.1
74,0.7,0.0,0.1,0.2
75,0.4,0.2,0.3,0.1
76,0.9,0.1,0.0,0.0
77,0.8,0.0,0.0,0.2
78,0.4,0.1,0.0,0.5
79,1.0,0.0,0.0,0.0
80,0.0,0.3,0.3,0.4
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,0.7,0.2,0.0,0.1
85,0.4,0.3,0.0,0.3
86,0.8,0.0,0.0,0.2
87,0.2,0.1,0.7,0.0
88,0.9,0.0,0.0,0.1
89,0.0,0.5,0.4,0.1
90,0.8,0.0,0.0,0.2
91,0.9,0.0,0.0,0.1
92,0.9,0.0,0.0,0.1
93,0.9,0.0,0.0,0.1
94,1.0,0.0,0.0,0.0
95,0.8,0.0,0.0,0.2
96,0.8,0.1,0.0,0.1
97,1.0,0.0,0.0,0.0
98,0.0,0.3,0.7,0.0
99,1.0,0.0,0.0,0.0
100,0.9,0.0,0.0,0.1
101,0.9,0.0,0.0,0.1
102,0.1,0.3,0.6,0.0
103,1.0,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0
105,1.0,0.0,0.0,0.0
106,1.0,0.0,0.0,0.0
107,0.6,0.1,0.0,0.3
108,0.9,0.0,0.0,0.1
109,1.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.8,0.0,0.2,0.0
112,0.8,0.0,0.0,0.2
113,0.7,0.0,0.0,0.3
114,1.0,0.0,0.0,0.0
115,0.7,0.0,0.0,0.3
116,0.8,0.0,0.0,0.2
117,0.8,0.1,0.0,0.1
118,1.0,0.0,0.0,0.0
119,0.7,0.0,0.0,0.3
120,0.8,0.0,0.1,0.1
121,0.8,0.1,0.0,0.1
122,0.8,0.0,0.0,0.2
123,0.8,0.0,0.0,0.2
124,0.8,0.0,0.0,0.2
125,0.3,0.4,0.2,0.1
126,0.4,0.0,0.0,0.6
127,0.9,0.0,0.0,0.1
128,0.9,0.0,0.0,0.1
129,0.1,0.3,0.3,0.3
130,0.5,0.0,0.0,0.5
131,1.0,0.0,0.0,0.0
132,0.5,0.5,0.0,0.0
133,0.8,0.0,0.0,0.2
134,0.9,0.0,0.0,0.1
135,0.0,0.4,0.3,0.3
136,0.9,0.0,0.0,0.1
137,1.0,0.0,0.0,0.0
138,0.8,0.0,0.0,0.2
139,0.7,0.0,0.0,0.3
140,0.7,0.1,0.0,0.2
141,0.9,0.0,0.0,0.1
142,0.9,0.0,0.0,0.1
143,0.8,0.0,0.0,0.2
144,0.8,0.0,0.0,0.2
145,0.6,0.1,0.0,0.3
146,0.8,0.1,0.0,0.1
147,0.8,0.0,0.0,0.2
148,0.9,0.1,0.0,0.0
149,0.7,0.0,0.0,0.3
150,0.8,0.1,0.0,0.1
151,0.5,0.3,0.0,0.2
152,0.7,0.1,0.0,0.2
153,0.1,0.5,0.3,0.1
154,0.4,0.2,0.1,0.3
155,0.6,0.0,0.0,0.4
156,1.0,0.0,0.0,0.0
157,0.6,0.1,0.1,0.2
158,0.4,0.2,0.1,0.3
