,21st century,Pre-1900s,20th century,Unknown
0,0.0,0.3,0.2,0.5
1,0.0,0.4,0.0,0.6
2,0.0,0.0,0.0,1.0
3,0.0,0.2,0.1,0.7
4,0.0,0.4,0.1,0.5
5,0.0,0.7,0.1,0.2
6,0.0,0.1,0.0,0.9
7,0.0,0.2,0.0,0.8
8,0.0,0.0,0.0,1.0
9,0.0,0.4,0.0,0.6
10,0.1,0.1,0.5,0.3
11,0.0,0.3,0.1,0.6
12,0.0,0.1,0.1,0.8
13,0.0,0.5,0.3,0.2
14,0.0,0.0,0.0,1.0
15,0.2,0.1,0.1,0.6
16,0.4,0.1,0.3,0.2
17,0.0,0.5,0.4,0.1
18,0.1,0.2,0.3,0.4
19,0.0,0.0,0.4,0.6
20,0.1,0.1,0.0,0.8
21,0.0,0.1,0.1,0.8
22,0.2,0.1,0.7,0.0
23,0.1,0.3,0.6,0.0
24,0.1,0.0,0.0,0.9
25,0.0,0.3,0.4,0.3
26,0.0,0.0,0.1,0.9
27,0.0,0.0,0.2,0.8
28,0.2,0.1,0.5,0.2
29,0.0,0.1,0.0,0.9
30,0.0,0.1,0.2,0.7
31,0.0,0.1,0.1,0.8
32,0.0,0.1,0.0,0.9
33,0.0,0.1,0.0,0.9
34,0.0,0.2,0.3,0.5
35,0.0,0.0,0.0,1.0
36,0.0,0.1,0.1,0.8
37,0.0,0.3,0.2,0.5
38,0.0,0.1,0.0,0.9
39,0.0,0.0,0.0,1.0
40,0.1,0.3,0.3,0.3
41,0.0,0.0,0.0,1.0
42,0.0,0.0,0.2,0.8
43,0.0,0.5,0.2,0.3
44,0.0,0.1,0.2,0.7
45,0.0,0.2,0.0,0.8
46,0.0,0.0,0.0,1.0
47,0.0,0.1,0.3,0.6
48,0.2,0.0,0.7,0.1
49,0.0,0.3,0.1,0.6
50,0.0,0.0,0.2,0.8
51,0.2,0.3,0.5,0.0
52,0.0,0.2,0.0,0.8
53,0.0,0.0,0.0,1.0
54,0.0,0.0,0.2,0.8
55,0.0,0.3,0.1,0.6
56,0.0,0.5,0.0,0.5
57,0.0,0.4,0.2,0.4
58,0.0,0.0,0.0,1.0
59,0.0,0.2,0.2,0.6
60,0.0,0.4,0.3,0.3
61,0.0,0.1,0.0,0.9
62,0.0,0.0,0.1,0.9
63,0.0,0.1,0.0,0.9
64,0.0,0.1,0.2,0.7
65,0.1,0.1,0.0,0.8
66,0.0,0.2,0.6,0.2
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0
69,0.0,0.2,0.1,0.7
70,0.0,0.2,0.2,0.6
71,0.2,0.3,0.4,0.1
72,0.2,0.1,0.2,0.5
73,0.0,0.3,0.4,0.3
74,0.0,0.5,0.3,0.2
75,0.0,0.0,0.0,1.0
76,0.0,0.6,0.2,0.2
77,0.0,0.0,0.4,0.6
78,0.0,0.4,0.1,0.5
79,0.0,0.0,0.0,1.0
80,0.1,0.0,0.0,0.9
81,0.1,0.0,0.0,0.9
82,0.0,0.0,0.2,0.8
83,0.0,0.7,0.1,0.2
84,0.0,0.2,0.0,0.8
85,0.2,0.0,0.2,0.6
86,0.0,0.1,0.2,0.7
87,0.0,0.0,0.0,1.0
88,0.0,0.3,0.1,0.6
89,0.0,0.0,0.0,1.0
90,0.0,0.3,0.1,0.6
91,0.0,0.0,0.0,1.0
92,0.0,0.2,0.1,0.7
93,0.0,0.1,0.2,0.7
94,0.0,0.1,0.0,0.9
95,0.0,0.3,0.1,0.6
96,0.0,0.1,0.0,0.9
97,0.0,0.1,0.3,0.6
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.3,0.7
101,0.0,0.0,0.0,1.0
102,0.0,0.0,0.0,1.0
103,0.0,0.2,0.4,0.4
104,0.0,0.0,0.0,1.0
105,0.0,0.0,0.0,1.0
106,0.0,0.0,0.1,0.9
107,0.0,0.2,0.0,0.8
108,0.0,0.0,0.1,0.9
109,0.0,0.0,0.0,1.0
110,0.0,0.0,0.0,1.0
111,0.0,0.1,0.2,0.7
112,0.0,0.3,0.0,0.7
113,0.2,0.1,0.0,0.7
114,0.0,0.2,0.0,0.8
115,0.3,0.0,0.0,0.7
116,0.1,0.3,0.2,0.4
117,0.0,0.1,0.1,0.8
118,0.0,0.0,0.0,1.0
119,0.0,0.0,0.2,0.8
120,0.0,0.3,0.2,0.5
121,0.0,0.1,0.1,0.8
122,0.0,0.4,0.0,0.6
123,0.0,0.1,0.0,0.9
124,0.0,0.3,0.2,0.5
125,0.1,0.0,0.1,0.8
126,0.0,0.4,0.4,0.2
127,0.0,0.3,0.0,0.7
128,0.0,0.3,0.2,0.5
129,0.0,0.0,0.0,1.0
130,0.0,0.3,0.1,0.6
131,0.0,0.2,0.5,0.3
132,0.0,0.0,0.0,1.0
133,0.0,0.2,0.0,0.8
134,0.0,0.0,0.0,1.0
135,0.0,0.0,0.1,0.9
136,0.1,0.0,0.0,0.9
137,0.0,0.1,0.2,0.7
138,0.0,0.0,0.2,0.8
139,0.0,0.1,0.3,0.6
140,0.2,0.1,0.3,0.4
141,0.0,0.4,0.5,0.1
142,0.0,0.1,0.1,0.8
143,0.0,0.2,0.1,0.7
144,0.0,0.1,0.3,0.6
145,0.1,0.4,0.1,0.4
146,0.0,0.4,0.3,0.3
147,0.0,0.0,0.1,0.9
148,0.0,0.4,0.0,0.6
149,0.0,0.0,0.0,1.0
150,0.0,0.1,0.1,0.8
151,0.0,0.0,0.0,1.0
152,0.0,0.0,0.2,0.8
153,0.1,0.0,0.4,0.5
154,0.1,0.0,0.0,0.9
155,0.1,0.1,0.1,0.7
156,0.1,0.1,0.5,0.3
157,0.0,0.0,0.0,1.0
158,0.1,0.0,0.1,0.8
