,l-r,s-,e-k,a-d
0,0.1,0.3,0.0,0.6
1,0.1,0.0,0.1,0.8
2,0.2,0.8,0.0,0.0
3,0.3,0.0,0.0,0.7
4,0.3,0.0,0.2,0.5
5,0.1,0.6,0.1,0.2
6,0.8,0.0,0.0,0.2
7,0.2,0.3,0.1,0.4
8,0.7,0.2,0.1,0.0
9,0.3,0.3,0.3,0.1
10,0.1,0.1,0.5,0.3
11,0.0,0.5,0.5,0.0
12,0.2,0.1,0.0,0.7
13,0.2,0.2,0.3,0.3
14,0.6,0.2,0.1,0.1
15,0.2,0.2,0.3,0.3
16,0.1,0.3,0.4,0.2
17,0.1,0.3,0.6,0.0
18,0.1,0.1,0.7,0.1
19,0.1,0.2,0.1,0.6
20,0.6,0.3,0.1,0.0
21,0.1,0.2,0.6,0.1
22,0.3,0.1,0.4,0.2
23,0.2,0.7,0.1,0.0
24,0.1,0.2,0.1,0.6
25,0.2,0.2,0.2,0.4
26,0.2,0.1,0.3,0.4
27,0.5,0.3,0.1,0.1
28,0.3,0.2,0.5,0.0
29,0.0,0.5,0.4,0.1
30,0.5,0.3,0.1,0.1
31,0.2,0.4,0.2,0.2
32,0.2,0.3,0.3,0.2
33,0.2,0.6,0.2,0.0
34,0.1,0.1,0.2,0.6
35,0.2,0.5,0.0,0.3
36,0.1,0.0,0.1,0.8
37,0.8,0.0,0.0,0.2
38,0.3,0.2,0.0,0.5
39,0.3,0.1,0.3,0.3
40,0.7,0.0,0.3,0.0
41,0.6,0.1,0.0,0.3
42,0.0,0.1,0.2,0.7
43,0.5,0.2,0.2,0.1
44,0.6,0.0,0.4,0.0
45,0.3,0.1,0.4,0.2
46,0.6,0.2,0.0,0.2
47,0.7,0.1,0.1,0.1
48,0.2,0.2,0.4,0.2
49,0.1,0.3,0.4,0.2
50,0.9,0.0,0.0,0.1
51,0.4,0.2,0.3,0.1
52,0.1,0.7,0.2,0.0
53,0.5,0.4,0.0,0.1
54,0.0,0.1,0.1,0.8
55,0.0,0.3,0.1,0.6
56,0.4,0.1,0.0,0.5
57,0.2,0.3,0.3,0.2
58,0.5,0.0,0.3,0.2
59,0.2,0.0,0.8,0.0
60,0.0,0.1,0.3,0.6
61,0.4,0.5,0.1,0.0
62,0.8,0.0,0.1,0.1
63,0.4,0.1,0.3,0.2
64,0.7,0.0,0.0,0.3
65,0.4,0.2,0.2,0.2
66,0.2,0.4,0.3,0.1
67,0.3,0.3,0.2,0.2
68,0.2,0.1,0.5,0.2
69,0.2,0.8,0.0,0.0
70,0.8,0.0,0.1,0.1
71,0.1,0.5,0.2,0.2
72,0.1,0.2,0.1,0.6
73,0.2,0.6,0.1,0.1
74,0.2,0.2,0.3,0.3
75,0.1,0.0,0.5,0.4
76,0.3,0.2,0.1,0.4
77,0.6,0.2,0.1,0.1
78,0.0,0.3,0.3,0.4
79,0.4,0.1,0.3,0.2
80,0.5,0.3,0.1,0.1
81,0.4,0.0,0.1,0.5
82,0.5,0.1,0.1,0.3
83,0.0,0.2,0.1,0.7
84,0.1,0.2,0.5,0.2
85,0.2,0.2,0.4,0.2
86,0.9,0.1,0.0,0.0
87,0.7,0.1,0.1,0.1
88,0.1,0.2,0.3,0.4
89,0.3,0.3,0.4,0.0
