,Medium-High,Low,High,Medium-Low
0,0.1,0.7,0.0,0.2
1,0.0,0.9,0.0,0.1
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.1,0.8,0.1,0.0
5,0.1,0.8,0.0,0.1
6,0.1,0.4,0.1,0.4
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,0.9,0.0,0.1
10,0.0,1.0,0.0,0.0
11,0.0,0.9,0.0,0.1
12,0.0,1.0,0.0,0.0
13,0.0,0.6,0.0,0.4
14,0.5,0.2,0.0,0.3
15,0.0,0.9,0.0,0.1
16,0.0,0.7,0.0,0.3
17,0.0,0.7,0.0,0.3
18,0.0,0.4,0.1,0.5
19,0.0,0.8,0.0,0.2
20,0.1,0.5,0.0,0.4
21,0.0,0.9,0.0,0.1
22,0.1,0.7,0.0,0.2
23,0.0,0.9,0.0,0.1
24,0.1,0.7,0.0,0.2
25,0.0,0.8,0.0,0.2
26,0.0,1.0,0.0,0.0
27,0.0,1.0,0.0,0.0
28,0.0,1.0,0.0,0.0
29,0.0,1.0,0.0,0.0
30,0.3,0.1,0.4,0.2
31,0.0,0.8,0.1,0.1
32,0.0,1.0,0.0,0.0
33,0.2,0.6,0.1,0.1
34,0.0,0.7,0.0,0.3
35,0.0,0.9,0.0,0.1
36,0.1,0.8,0.0,0.1
37,0.0,1.0,0.0,0.0
38,0.0,0.8,0.0,0.2
39,0.0,0.8,0.1,0.1
40,0.1,0.8,0.0,0.1
41,0.1,0.7,0.1,0.1
42,0.0,1.0,0.0,0.0
43,0.0,0.9,0.0,0.1
44,0.0,0.9,0.0,0.1
45,0.2,0.6,0.0,0.2
46,0.0,0.8,0.0,0.2
47,0.1,0.9,0.0,0.0
48,0.1,0.7,0.0,0.2
49,0.1,0.8,0.0,0.1
50,0.0,0.9,0.0,0.1
51,0.0,0.9,0.0,0.1
52,0.2,0.8,0.0,0.0
53,0.0,0.7,0.0,0.3
54,0.1,0.8,0.1,0.0
55,0.0,0.6,0.0,0.4
56,0.1,0.8,0.0,0.1
57,0.1,0.7,0.0,0.2
58,0.0,1.0,0.0,0.0
59,0.0,1.0,0.0,0.0
60,0.1,0.7,0.0,0.2
61,0.1,0.8,0.0,0.1
62,0.0,1.0,0.0,0.0
63,0.0,1.0,0.0,0.0
64,0.2,0.7,0.0,0.1
65,0.0,0.8,0.0,0.2
66,0.0,0.9,0.0,0.1
67,0.0,0.9,0.0,0.1
68,0.0,0.9,0.0,0.1
69,0.0,0.9,0.0,0.1
70,0.1,0.7,0.0,0.2
71,0.0,0.8,0.0,0.2
72,0.0,0.7,0.0,0.3
73,0.0,0.9,0.0,0.1
74,0.0,0.7,0.0,0.3
75,0.1,0.3,0.1,0.5
76,0.1,0.7,0.0,0.2
77,0.0,0.9,0.0,0.1
78,0.0,0.8,0.0,0.2
79,0.0,1.0,0.0,0.0
80,0.4,0.3,0.2,0.1
81,0.0,0.7,0.0,0.3
82,0.0,0.9,0.0,0.1
83,0.0,0.9,0.0,0.1
84,0.0,0.7,0.0,0.3
85,0.0,0.9,0.0,0.1
86,0.0,1.0,0.0,0.0
87,0.2,0.5,0.1,0.2
88,0.0,1.0,0.0,0.0
89,0.0,0.8,0.1,0.1
90,0.0,0.7,0.0,0.3
91,0.0,0.9,0.0,0.1
92,0.0,0.8,0.0,0.2
93,0.0,1.0,0.0,0.0
94,0.0,1.0,0.0,0.0
95,0.0,0.7,0.0,0.3
96,0.0,0.6,0.0,0.4
97,0.0,1.0,0.0,0.0
98,0.3,0.1,0.5,0.1
99,0.0,1.0,0.0,0.0
100,0.1,0.8,0.0,0.1
101,0.0,0.9,0.0,0.1
102,0.0,0.7,0.1,0.2
103,0.0,1.0,0.0,0.0
104,0.0,1.0,0.0,0.0
105,0.0,1.0,0.0,0.0
106,0.2,0.4,0.0,0.4
107,0.1,0.6,0.0,0.3
108,0.1,0.7,0.0,0.2
109,0.0,1.0,0.0,0.0
110,0.0,1.0,0.0,0.0
111,0.0,1.0,0.0,0.0
112,0.0,0.9,0.0,0.1
113,0.0,0.8,0.0,0.2
114,0.0,1.0,0.0,0.0
115,0.0,0.8,0.0,0.2
116,0.0,0.7,0.0,0.3
117,0.1,0.8,0.0,0.1
118,0.0,1.0,0.0,0.0
119,0.0,0.7,0.0,0.3
120,0.1,0.8,0.0,0.1
121,0.1,0.9,0.0,0.0
122,0.0,0.9,0.0,0.1
123,0.0,0.9,0.0,0.1
124,0.0,1.0,0.0,0.0
