,21st century,20th century,Pre-1900s,Unknown
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.1,0.9
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.1,0.1,0.8
5,0.0,0.0,0.4,0.6
6,0.0,0.1,0.0,0.9
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.1,0.9
9,0.0,0.0,0.0,1.0
10,0.1,0.0,0.0,0.9
11,0.0,0.1,0.2,0.7
12,0.0,0.1,0.0,0.9
13,0.0,0.1,0.0,0.9
14,0.0,0.1,0.0,0.9
15,0.2,0.2,0.0,0.6
16,0.0,0.8,0.1,0.1
17,0.0,0.2,0.1,0.7
18,0.1,0.4,0.0,0.5
19,0.1,0.2,0.2,0.5
20,0.2,0.0,0.0,0.8
21,0.0,0.1,0.0,0.9
22,0.3,0.7,0.0,0.0
23,0.1,0.5,0.4,0.0
24,0.1,0.0,0.1,0.8
25,0.0,0.1,0.2,0.7
26,0.0,0.2,0.2,0.6
27,0.0,0.1,0.1,0.8
28,0.2,0.4,0.1,0.3
29,0.0,0.0,0.1,0.9
30,0.0,0.2,0.3,0.5
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.2,0.8
33,0.0,0.0,0.0,1.0
34,0.0,0.2,0.1,0.7
35,0.0,0.0,0.0,1.0
36,0.0,0.0,0.1,0.9
37,0.0,0.1,0.0,0.9
38,0.0,0.2,0.2,0.6
39,0.0,0.0,0.1,0.9
40,0.3,0.2,0.1,0.4
41,0.1,0.0,0.1,0.8
42,0.0,0.0,0.0,1.0
43,0.0,0.2,0.0,0.8
44,0.0,0.2,0.1,0.7
45,0.0,0.0,0.1,0.9
46,0.0,0.0,0.0,1.0
47,0.0,0.2,0.0,0.8
48,0.1,0.8,0.0,0.1
49,0.0,0.1,0.1,0.8
50,0.0,0.3,0.1,0.6
51,0.0,0.5,0.4,0.1
52,0.0,0.0,0.2,0.8
53,0.0,0.2,0.1,0.7
54,0.0,0.2,0.0,0.8
55,0.0,0.2,0.4,0.4
56,0.0,0.0,0.0,1.0
57,0.0,0.0,0.1,0.9
58,0.0,0.1,0.0,0.9
59,0.0,0.0,0.0,1.0
60,0.0,0.0,0.2,0.8
61,0.0,0.2,0.0,0.8
62,0.0,0.1,0.0,0.9
63,0.0,0.0,0.1,0.9
64,0.0,0.3,0.1,0.6
65,0.1,0.1,0.1,0.7
66,0.0,0.5,0.1,0.4
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0
69,0.1,0.1,0.0,0.8
70,0.1,0.4,0.1,0.4
71,0.2,0.4,0.4,0.0
72,0.1,0.1,0.1,0.7
73,0.1,0.0,0.2,0.7
74,0.0,0.3,0.5,0.2
75,0.1,0.1,0.0,0.8
76,0.0,0.2,0.5,0.3
77,0.0,0.1,0.1,0.8
78,0.0,0.1,0.2,0.7
79,0.0,0.0,0.0,1.0
80,0.0,0.1,0.0,0.9
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.1,0.3,0.6
84,0.0,0.2,0.1,0.7
85,0.1,0.0,0.3,0.6
86,0.0,0.1,0.0,0.9
87,0.0,0.0,0.0,1.0
88,0.0,0.0,0.2,0.8
89,0.0,0.1,0.0,0.9
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
