,s-,l-r,a-d,e-k
0,0.3,0.1,0.6,0.0
1,0.0,0.1,0.8,0.1
2,0.8,0.2,0.0,0.0
3,0.0,0.3,0.7,0.0
4,0.0,0.3,0.5,0.2
5,0.6,0.1,0.2,0.1
6,0.0,0.8,0.2,0.0
7,0.3,0.2,0.4,0.1
8,0.2,0.7,0.0,0.1
9,0.3,0.3,0.1,0.3
10,0.1,0.1,0.3,0.5
11,0.5,0.0,0.0,0.5
12,0.1,0.2,0.7,0.0
13,0.2,0.2,0.3,0.3
14,0.2,0.6,0.1,0.1
15,0.2,0.2,0.3,0.3
16,0.3,0.1,0.2,0.4
17,0.3,0.1,0.0,0.6
18,0.1,0.1,0.1,0.7
19,0.2,0.1,0.6,0.1
20,0.3,0.6,0.0,0.1
21,0.2,0.1,0.1,0.6
22,0.1,0.3,0.2,0.4
23,0.7,0.2,0.0,0.1
24,0.2,0.1,0.6,0.1
25,0.2,0.2,0.4,0.2
26,0.1,0.2,0.4,0.3
27,0.3,0.5,0.1,0.1
28,0.2,0.3,0.0,0.5
29,0.5,0.0,0.1,0.4
30,0.3,0.5,0.1,0.1
31,0.4,0.2,0.2,0.2
32,0.3,0.2,0.2,0.3
33,0.6,0.2,0.0,0.2
34,0.1,0.1,0.6,0.2
35,0.5,0.2,0.3,0.0
36,0.0,0.1,0.8,0.1
37,0.0,0.8,0.2,0.0
38,0.2,0.3,0.5,0.0
39,0.1,0.3,0.3,0.3
40,0.0,0.7,0.0,0.3
41,0.1,0.6,0.3,0.0
42,0.1,0.0,0.7,0.2
43,0.2,0.5,0.1,0.2
44,0.0,0.6,0.0,0.4
45,0.1,0.3,0.2,0.4
46,0.2,0.6,0.2,0.0
47,0.1,0.7,0.1,0.1
48,0.2,0.2,0.2,0.4
49,0.3,0.1,0.2,0.4
50,0.0,0.9,0.1,0.0
51,0.2,0.4,0.1,0.3
52,0.7,0.1,0.0,0.2
53,0.4,0.5,0.1,0.0
54,0.1,0.0,0.8,0.1
55,0.3,0.0,0.6,0.1
56,0.1,0.4,0.5,0.0
57,0.3,0.2,0.2,0.3
58,0.0,0.5,0.2,0.3
59,0.0,0.2,0.0,0.8
60,0.1,0.0,0.6,0.3
61,0.5,0.4,0.0,0.1
62,0.0,0.8,0.1,0.1
63,0.1,0.4,0.2,0.3
