,Pre-1900s,21st century,Unknown,20th century
0,0.0,0.0,1.0,0.0
1,0.1,0.0,0.9,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.1,0.0,0.8,0.1
5,0.4,0.0,0.6,0.0
6,0.0,0.0,0.9,0.1
7,0.0,0.0,1.0,0.0
8,0.1,0.0,0.9,0.0
9,0.0,0.0,1.0,0.0
10,0.0,0.1,0.9,0.0
11,0.2,0.0,0.7,0.1
12,0.0,0.0,0.9,0.1
13,0.0,0.0,0.9,0.1
14,0.0,0.0,0.9,0.1
15,0.0,0.2,0.6,0.2
16,0.1,0.0,0.1,0.8
17,0.1,0.0,0.7,0.2
18,0.0,0.1,0.5,0.4
19,0.2,0.1,0.5,0.2
20,0.0,0.2,0.8,0.0
21,0.0,0.0,0.9,0.1
22,0.0,0.3,0.0,0.7
23,0.4,0.1,0.0,0.5
24,0.1,0.1,0.8,0.0
25,0.2,0.0,0.7,0.1
26,0.2,0.0,0.6,0.2
27,0.1,0.0,0.8,0.1
28,0.1,0.2,0.3,0.4
29,0.1,0.0,0.9,0.0
30,0.3,0.0,0.5,0.2
31,0.0,0.0,1.0,0.0
32,0.2,0.0,0.8,0.0
33,0.0,0.0,1.0,0.0
34,0.1,0.0,0.7,0.2
35,0.0,0.0,1.0,0.0
36,0.1,0.0,0.9,0.0
37,0.0,0.0,0.9,0.1
38,0.2,0.0,0.6,0.2
39,0.1,0.0,0.9,0.0
40,0.1,0.3,0.4,0.2
41,0.1,0.1,0.8,0.0
42,0.0,0.0,1.0,0.0
43,0.0,0.0,0.8,0.2
44,0.1,0.0,0.7,0.2
45,0.1,0.0,0.9,0.0
46,0.0,0.0,1.0,0.0
47,0.0,0.0,0.8,0.2
48,0.0,0.1,0.1,0.8
49,0.1,0.0,0.8,0.1
50,0.1,0.0,0.6,0.3
51,0.4,0.0,0.1,0.5
52,0.2,0.0,0.8,0.0
53,0.1,0.0,0.7,0.2
54,0.0,0.0,0.8,0.2
55,0.4,0.0,0.4,0.2
56,0.0,0.0,1.0,0.0
57,0.1,0.0,0.9,0.0
58,0.0,0.0,0.9,0.1
59,0.0,0.0,1.0,0.0
60,0.2,0.0,0.8,0.0
61,0.0,0.0,0.8,0.2
62,0.0,0.0,0.9,0.1
63,0.1,0.0,0.9,0.0
64,0.1,0.0,0.6,0.3
65,0.1,0.1,0.7,0.1
66,0.1,0.0,0.4,0.5
67,0.0,0.0,1.0,0.0
68,0.0,0.0,1.0,0.0
69,0.0,0.1,0.8,0.1
70,0.1,0.1,0.4,0.4
71,0.4,0.2,0.0,0.4
72,0.1,0.1,0.7,0.1
73,0.2,0.1,0.7,0.0
74,0.5,0.0,0.2,0.3
75,0.0,0.1,0.8,0.1
76,0.5,0.0,0.3,0.2
77,0.1,0.0,0.8,0.1
78,0.2,0.0,0.7,0.1
79,0.0,0.0,1.0,0.0
80,0.0,0.0,0.9,0.1
81,0.0,0.0,1.0,0.0
82,0.0,0.0,1.0,0.0
83,0.3,0.0,0.6,0.1
84,0.1,0.0,0.7,0.2
85,0.3,0.1,0.6,0.0
86,0.0,0.0,0.9,0.1
87,0.0,0.0,1.0,0.0
88,0.2,0.0,0.8,0.0
89,0.0,0.0,0.9,0.1
90,0.0,0.0,1.0,0.0
91,0.0,0.0,1.0,0.0
92,0.0,0.0,1.0,0.0
93,0.0,0.0,0.8,0.2
94,0.2,0.0,0.8,0.0
95,0.0,0.0,1.0,0.0
96,0.1,0.0,0.9,0.0
97,0.0,0.0,1.0,0.0
98,0.0,0.0,0.9,0.1
99,0.0,0.0,1.0,0.0
100,0.2,0.1,0.7,0.0
101,0.1,0.0,0.9,0.0
102,0.0,0.0,1.0,0.0
103,0.3,0.0,0.3,0.4
104,0.1,0.1,0.8,0.0
105,0.0,0.0,1.0,0.0
106,0.0,0.1,0.4,0.5
107,0.1,0.0,0.9,0.0
108,0.2,0.0,0.6,0.2
109,0.0,0.0,1.0,0.0
110,0.0,0.0,1.0,0.0
111,0.0,0.0,0.9,0.1
112,0.5,0.0,0.3,0.2
113,0.0,0.0,1.0,0.0
114,0.0,0.0,1.0,0.0
115,0.1,0.1,0.6,0.2
116,0.1,0.1,0.6,0.2
117,0.0,0.0,1.0,0.0
118,0.0,0.0,1.0,0.0
119,0.0,0.0,0.7,0.3
120,0.1,0.0,0.9,0.0
121,0.0,0.1,0.9,0.0
122,0.3,0.0,0.7,0.0
123,0.2,0.0,0.8,0.0
124,0.1,0.0,0.8,0.1
125,0.1,0.0,0.8,0.1
126,0.3,0.0,0.4,0.3
127,0.2,0.0,0.7,0.1
128,0.0,0.0,1.0,0.0
129,0.0,0.0,0.9,0.1
130,0.0,0.0,1.0,0.0
131,0.3,0.2,0.4,0.1
132,0.0,0.1,0.9,0.0
133,0.2,0.0,0.8,0.0
134,0.1,0.0,0.9,0.0
135,0.2,0.1,0.7,0.0
136,0.1,0.3,0.5,0.1
137,0.1,0.0,0.8,0.1
138,0.0,0.0,0.9,0.1
139,0.4,0.0,0.4,0.2
140,0.0,0.0,1.0,0.0
141,0.0,0.1,0.8,0.1
142,0.0,0.0,1.0,0.0
143,0.6,0.1,0.3,0.0
144,0.0,0.0,0.8,0.2
145,0.1,0.0,0.6,0.3
146,0.0,0.0,0.8,0.2
147,0.2,0.0,0.7,0.1
148,0.0,0.0,1.0,0.0
149,0.0,0.0,1.0,0.0
150,0.0,0.0,1.0,0.0
151,0.0,0.0,1.0,0.0
152,0.0,0.0,1.0,0.0
153,0.0,0.0,0.5,0.5
154,0.0,0.1,0.9,0.0
155,0.1,0.3,0.6,0.0
156,0.1,0.2,0.6,0.1
157,0.1,0.0,0.9,0.0
158,0.0,0.0,0.9,0.1
