,2017-2022,2012-2016,2001-2006,2007-2011
0,0.0,0.0,1.0,0.0
1,0.2,0.1,0.4,0.3
2,0.0,0.0,0.2,0.8
3,0.1,0.1,0.7,0.1
4,0.0,0.1,0.5,0.4
5,0.0,0.0,1.0,0.0
6,0.0,0.1,0.8,0.1
7,0.0,0.0,1.0,0.0
8,0.0,0.0,0.6,0.4
9,0.0,0.0,0.3,0.7
10,0.1,0.6,0.2,0.1
11,0.0,0.0,0.9,0.1
12,0.0,0.0,1.0,0.0
13,0.0,0.0,1.0,0.0
14,0.0,0.0,0.5,0.5
15,0.1,0.2,0.0,0.7
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.4,0.3,0.3
19,0.0,0.2,0.2,0.6
20,0.0,0.1,0.7,0.2
21,0.4,0.1,0.3,0.2
22,0.0,0.1,0.0,0.9
23,0.1,0.2,0.5,0.2
24,0.0,0.0,0.8,0.2
25,0.6,0.1,0.2,0.1
26,0.7,0.0,0.2,0.1
27,0.1,0.1,0.6,0.2
28,0.0,0.0,0.4,0.6
29,0.0,0.0,0.5,0.5
30,0.0,0.1,0.7,0.2
31,0.0,0.0,0.2,0.8
32,0.0,0.0,0.7,0.3
33,0.0,0.0,0.3,0.7
34,0.0,0.8,0.1,0.1
35,0.2,0.1,0.6,0.1
36,0.3,0.3,0.3,0.1
37,0.0,0.0,0.6,0.4
38,0.1,0.4,0.4,0.1
39,0.0,0.0,0.5,0.5
40,0.0,0.0,0.1,0.9
41,1.0,0.0,0.0,0.0
42,0.1,0.0,0.9,0.0
43,0.2,0.0,0.8,0.0
44,0.0,0.1,0.7,0.2
45,0.2,0.3,0.1,0.4
46,0.1,0.2,0.4,0.3
47,0.0,0.4,0.0,0.6
48,0.4,0.1,0.4,0.1
49,0.0,0.0,0.7,0.3
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.8,0.2
52,0.1,0.0,0.2,0.7
53,0.1,0.4,0.2,0.3
54,0.0,0.8,0.0,0.2
55,0.2,0.1,0.5,0.2
56,0.1,0.1,0.2,0.6
57,0.4,0.3,0.0,0.3
58,0.2,0.0,0.5,0.3
59,0.2,0.0,0.2,0.6
60,0.0,0.2,0.1,0.7
61,0.2,0.1,0.5,0.2
62,0.0,0.0,0.0,1.0
63,0.0,0.2,0.4,0.4
64,0.0,0.0,0.0,1.0
65,0.0,0.0,0.4,0.6
66,0.0,0.0,0.0,1.0
67,0.0,0.1,0.0,0.9
68,0.2,0.3,0.3,0.2
69,0.2,0.2,0.5,0.1
70,0.1,0.2,0.2,0.5
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,1.0
73,0.4,0.3,0.2,0.1
74,0.0,0.0,0.5,0.5
75,0.0,0.1,0.1,0.8
76,0.1,0.1,0.2,0.6
77,0.1,0.0,0.4,0.5
78,0.1,0.2,0.5,0.2
79,0.0,0.0,0.2,0.8
80,0.0,0.0,0.2,0.8
81,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.3,0.0,0.7
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.0,0.2,0.6,0.2
87,0.5,0.0,0.2,0.3
88,0.4,0.0,0.2,0.4
89,0.0,1.0,0.0,0.0
90,0.0,1.0,0.0,0.0
91,0.0,0.9,0.0,0.1
92,0.3,0.1,0.1,0.5
93,0.0,0.9,0.0,0.1
94,0.0,1.0,0.0,0.0
95,0.2,0.5,0.0,0.3
96,0.1,0.1,0.5,0.3
97,0.0,1.0,0.0,0.0
98,0.0,0.7,0.1,0.2
99,0.2,0.5,0.2,0.1
100,0.3,0.0,0.4,0.3
101,0.2,0.2,0.4,0.2
102,0.0,1.0,0.0,0.0
103,0.0,0.4,0.2,0.4
104,0.0,0.8,0.2,0.0
105,0.1,0.5,0.3,0.1
106,0.2,0.0,0.7,0.1
107,0.5,0.3,0.2,0.0
108,0.0,0.5,0.1,0.4
109,0.2,0.6,0.0,0.2
110,0.2,0.2,0.2,0.4
111,0.1,0.0,0.6,0.3
112,0.1,0.7,0.0,0.2
113,0.4,0.2,0.2,0.2
114,0.1,0.9,0.0,0.0
115,0.6,0.1,0.2,0.1
116,0.6,0.1,0.0,0.3
117,0.1,0.3,0.4,0.2
118,0.1,0.1,0.5,0.3
119,0.1,0.2,0.4,0.3
120,1.0,0.0,0.0,0.0
121,0.3,0.2,0.2,0.3
122,0.3,0.2,0.3,0.2
123,0.1,0.4,0.2,0.3
124,1.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,0.1,0.1,0.1,0.7
128,0.1,0.1,0.1,0.7
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0
132,0.5,0.2,0.2,0.1
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0
136,0.7,0.3,0.0,0.0
137,1.0,0.0,0.0,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.5,0.2,0.0,0.3
142,0.8,0.0,0.2,0.0
143,1.0,0.0,0.0,0.0
