,l-r,a-d,e-k,s-
0,0.0,0.0,1.0,0.0
1,0.3,0.3,0.1,0.3
2,0.4,0.1,0.3,0.2
3,0.5,0.0,0.3,0.2
4,0.2,0.5,0.1,0.2
5,0.1,0.3,0.2,0.4
6,0.4,0.0,0.2,0.4
7,0.3,0.0,0.2,0.5
8,0.1,0.1,0.6,0.2
9,0.4,0.2,0.1,0.3
10,0.2,0.0,0.3,0.5
11,0.1,0.5,0.1,0.3
12,0.2,0.4,0.2,0.2
13,0.2,0.0,0.0,0.8
14,0.4,0.1,0.3,0.2
15,0.1,0.0,0.8,0.1
16,0.3,0.3,0.3,0.1
17,0.2,0.4,0.3,0.1
18,0.1,0.0,0.4,0.5
19,0.1,0.3,0.4,0.2
20,0.7,0.3,0.0,0.0
21,0.0,0.5,0.0,0.5
22,0.1,0.8,0.1,0.0
23,0.1,0.2,0.5,0.2
24,0.4,0.1,0.4,0.1
25,0.1,0.2,0.2,0.5
26,0.4,0.0,0.5,0.1
27,0.4,0.1,0.3,0.2
28,0.3,0.3,0.4,0.0
29,0.2,0.4,0.4,0.0
30,0.1,0.1,0.6,0.2
31,0.4,0.2,0.2,0.2
32,0.2,0.6,0.2,0.0
33,0.3,0.4,0.2,0.1
34,0.1,0.3,0.6,0.0
35,0.3,0.2,0.1,0.4
36,0.1,0.2,0.3,0.4
37,0.1,0.0,0.5,0.4
38,0.1,0.2,0.1,0.6
39,0.2,0.2,0.3,0.3
40,0.3,0.3,0.2,0.2
41,0.4,0.3,0.0,0.3
42,0.1,0.4,0.4,0.1
43,0.3,0.5,0.1,0.1
44,0.3,0.3,0.2,0.2
45,0.4,0.3,0.2,0.1
46,0.2,0.2,0.2,0.4
47,0.0,0.2,0.4,0.4
48,0.0,0.4,0.3,0.3
49,0.4,0.2,0.1,0.3
50,0.3,0.5,0.2,0.0
51,0.3,0.3,0.2,0.2
52,0.4,0.3,0.2,0.1
53,0.2,0.0,0.2,0.6
54,0.1,0.3,0.3,0.3
55,0.6,0.2,0.2,0.0
56,0.3,0.3,0.2,0.2
57,0.5,0.3,0.0,0.2
58,0.4,0.3,0.3,0.0
59,0.1,0.4,0.3,0.2
60,0.7,0.2,0.0,0.1
61,0.1,0.3,0.3,0.3
62,0.0,1.0,0.0,0.0
63,0.3,0.1,0.5,0.1
64,0.2,0.4,0.2,0.2
65,0.1,0.2,0.3,0.4
66,0.0,1.0,0.0,0.0
67,0.7,0.2,0.1,0.0
68,0.1,0.5,0.1,0.3
69,0.4,0.3,0.1,0.2
70,1.0,0.0,0.0,0.0
71,0.3,0.2,0.4,0.1
72,0.3,0.1,0.4,0.2
73,0.2,0.4,0.3,0.1
74,0.1,0.1,0.6,0.2
75,0.4,0.0,0.2,0.4
76,0.5,0.2,0.0,0.3
77,0.2,0.3,0.3,0.2
78,0.2,0.3,0.5,0.0
79,0.2,0.1,0.4,0.3
80,0.4,0.1,0.3,0.2
81,0.5,0.0,0.4,0.1
82,0.4,0.1,0.2,0.3
83,0.1,0.4,0.3,0.2
84,0.1,0.8,0.1,0.0
85,0.3,0.0,0.6,0.1
86,0.3,0.4,0.2,0.1
87,0.4,0.1,0.2,0.3
88,0.3,0.2,0.1,0.4
89,0.2,0.2,0.0,0.6
90,0.3,0.2,0.4,0.1
91,0.1,0.5,0.3,0.1
92,0.3,0.4,0.2,0.1
93,0.4,0.3,0.2,0.1
94,0.5,0.0,0.4,0.1
95,0.4,0.0,0.4,0.2
96,0.1,0.2,0.3,0.4
97,0.3,0.3,0.0,0.4
98,0.1,0.3,0.5,0.1
99,0.3,0.3,0.1,0.3
100,0.2,0.1,0.2,0.5
101,0.6,0.2,0.1,0.1
102,0.0,0.0,0.0,1.0
103,0.7,0.1,0.1,0.1
104,0.4,0.4,0.2,0.0
105,0.1,0.0,0.3,0.6
106,0.3,0.4,0.2,0.1
107,0.1,0.2,0.5,0.2
108,0.3,0.3,0.2,0.2
109,0.3,0.0,0.5,0.2
110,0.5,0.0,0.2,0.3
111,0.4,0.3,0.0,0.3
112,1.0,0.0,0.0,0.0
113,0.3,0.3,0.2,0.2
114,0.3,0.2,0.4,0.1
115,0.3,0.2,0.4,0.1
116,0.1,0.1,0.5,0.3
117,0.4,0.3,0.2,0.1
118,0.1,0.0,0.4,0.5
119,0.4,0.4,0.2,0.0
120,0.1,0.2,0.5,0.2
121,0.7,0.0,0.2,0.1
122,0.2,0.1,0.2,0.5
123,0.2,0.5,0.2,0.1
124,0.3,0.1,0.3,0.3
125,0.0,0.5,0.3,0.2
126,0.1,0.2,0.6,0.1
127,0.3,0.3,0.2,0.2
128,0.3,0.2,0.3,0.2
129,0.2,0.2,0.2,0.4
130,0.2,0.4,0.1,0.3
131,0.4,0.2,0.3,0.1
132,0.4,0.5,0.0,0.1
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,0.3,0.2,0.2,0.3
136,0.1,0.4,0.2,0.3
137,0.5,0.2,0.2,0.1
138,0.2,0.3,0.4,0.1
139,0.3,0.2,0.4,0.1
140,0.3,0.5,0.1,0.1
141,0.5,0.2,0.0,0.3
142,0.5,0.2,0.2,0.1
143,0.4,0.2,0.3,0.1
