,Medium-High,High,Medium-Low,Low
0,0.2,0.0,0.8,0.0
1,0.1,0.0,0.1,0.8
2,0.4,0.1,0.1,0.4
3,0.1,0.0,0.7,0.2
4,0.0,0.0,0.2,0.8
5,0.1,0.0,0.9,0.0
6,0.2,0.0,0.8,0.0
7,0.2,0.0,0.8,0.0
8,0.0,0.0,0.2,0.8
9,0.0,0.0,0.0,1.0
10,0.1,0.0,0.2,0.7
11,0.1,0.0,0.9,0.0
12,0.2,0.0,0.8,0.0
13,0.1,0.0,0.5,0.4
14,0.1,0.0,0.1,0.8
15,0.0,0.0,0.1,0.9
16,0.0,0.0,0.1,0.9
17,0.0,0.0,0.1,0.9
18,0.0,0.0,0.1,0.9
19,0.0,0.0,0.2,0.8
20,0.0,0.2,0.3,0.5
21,0.2,0.0,0.3,0.5
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.2,0.8
24,0.1,0.0,0.8,0.1
25,0.0,0.0,0.4,0.6
26,0.0,0.0,0.0,1.0
27,0.0,0.0,0.1,0.9
28,0.1,0.0,0.5,0.4
29,0.1,0.0,0.0,0.9
30,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
33,0.1,0.0,0.2,0.7
34,0.0,0.0,0.0,1.0
35,0.5,0.3,0.0,0.2
36,0.0,0.0,0.5,0.5
37,0.1,0.0,0.1,0.8
38,0.0,0.2,0.3,0.5
39,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,1.0
43,0.4,0.2,0.1,0.3
44,0.3,0.3,0.1,0.3
45,0.1,0.0,0.3,0.6
46,0.3,0.1,0.2,0.4
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.2,0.8
49,0.4,0.3,0.3,0.0
50,0.0,0.0,0.0,1.0
51,0.2,0.0,0.3,0.5
52,0.0,0.0,0.2,0.8
53,0.0,0.0,0.3,0.7
54,0.0,0.0,0.0,1.0
55,0.1,0.0,0.0,0.9
56,0.1,0.0,0.2,0.7
57,0.1,0.0,0.0,0.9
58,0.0,0.0,0.1,0.9
59,0.1,0.0,0.2,0.7
60,0.0,0.0,0.0,1.0
61,0.1,0.0,0.2,0.7
62,0.0,0.0,0.2,0.8
63,0.0,0.0,0.1,0.9
64,0.0,0.0,0.0,1.0
65,0.2,0.0,0.2,0.6
66,0.0,0.0,0.1,0.9
67,0.5,0.0,0.2,0.3
68,0.0,0.0,0.4,0.6
69,0.5,0.4,0.1,0.0
70,0.4,0.1,0.4,0.1
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,1.0
73,0.3,0.1,0.3,0.3
74,0.0,0.0,0.0,1.0
75,0.0,0.0,0.0,1.0
76,0.1,0.0,0.1,0.8
77,0.1,0.0,0.4,0.5
78,0.3,0.0,0.3,0.4
79,0.0,0.0,0.8,0.2
80,0.0,0.0,0.9,0.1
81,0.1,0.0,0.5,0.4
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.1,0.0,0.5,0.4
87,0.0,0.0,0.2,0.8
88,0.0,0.0,0.3,0.7
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.1,0.0,0.2,0.7
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.4,0.1,0.4,0.1
97,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.4,0.6
100,0.0,0.0,0.3,0.7
101,0.4,0.0,0.5,0.1
102,0.0,0.0,0.0,1.0
103,0.2,0.2,0.2,0.4
104,0.1,0.0,0.1,0.8
105,0.0,0.0,0.1,0.9
106,0.1,0.2,0.2,0.5
107,0.3,0.1,0.3,0.3
108,0.1,0.0,0.0,0.9
109,0.0,0.0,0.0,1.0
110,0.3,0.4,0.1,0.2
111,0.1,0.0,0.1,0.8
112,0.1,0.9,0.0,0.0
113,0.0,0.1,0.1,0.8
114,0.0,0.0,0.0,1.0
115,0.3,0.1,0.2,0.4
116,0.0,0.0,0.0,1.0
117,0.2,0.4,0.1,0.3
118,0.5,0.1,0.3,0.1
119,0.2,0.0,0.4,0.4
120,0.0,0.0,0.0,1.0
121,0.2,0.0,0.3,0.5
122,0.2,0.0,0.2,0.6
123,0.0,0.0,0.0,1.0
124,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,1.0
126,0.0,0.0,0.0,1.0
127,0.0,0.0,0.2,0.8
128,0.0,0.0,0.2,0.8
129,0.0,0.0,0.0,1.0
130,0.0,0.0,0.0,1.0
131,0.0,0.0,0.0,1.0
132,0.0,0.0,0.3,0.7
133,0.8,0.0,0.2,0.0
134,0.9,0.0,0.1,0.0
135,0.0,0.0,0.0,1.0
136,0.0,0.0,0.0,1.0
137,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.1,0.9
141,0.0,0.0,0.0,1.0
142,0.1,0.0,0.0,0.9
143,0.3,0.0,0.7,0.0
