,21st century,20th century,Pre-1900s,Unknown
0,0.0,0.0,0.0,1.0
1,0.1,0.0,0.0,0.9
2,0.6,0.1,0.0,0.3
3,0.2,0.2,0.0,0.6
4,0.0,0.0,0.0,1.0
5,0.0,0.9,0.0,0.1
6,0.0,0.7,0.0,0.3
7,0.0,1.0,0.0,0.0
8,0.0,0.0,0.0,1.0
9,0.1,0.2,0.0,0.7
10,0.0,0.6,0.0,0.4
11,0.0,1.0,0.0,0.0
12,0.0,1.0,0.0,0.0
13,0.1,0.0,0.0,0.9
14,0.0,0.0,0.0,1.0
15,0.0,0.6,0.4,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.0,0.7,0.3
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,1.0
21,0.0,0.0,0.2,0.8
22,0.0,0.0,0.0,1.0
23,0.0,0.8,0.2,0.0
24,0.4,0.1,0.0,0.5
25,0.0,0.0,0.0,1.0
26,0.6,0.2,0.0,0.2
27,0.4,0.2,0.0,0.4
28,0.6,0.1,0.0,0.3
29,0.0,0.0,0.0,1.0
30,0.5,0.0,0.0,0.5
31,0.0,0.9,0.0,0.1
32,0.0,0.5,0.0,0.5
33,0.0,0.2,0.1,0.7
34,0.0,0.0,0.0,1.0
35,0.0,0.1,0.0,0.9
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.3,0.7
38,0.0,0.0,0.0,1.0
39,0.2,0.0,0.0,0.8
40,0.0,0.0,0.0,1.0
41,0.0,0.3,0.6,0.1
42,0.0,0.1,0.8,0.1
43,0.0,0.4,0.0,0.6
44,0.0,0.4,0.0,0.6
45,0.0,0.2,0.0,0.8
46,0.0,0.1,0.0,0.9
47,0.0,1.0,0.0,0.0
48,0.0,0.3,0.6,0.1
49,0.1,0.1,0.0,0.8
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,1.0
55,0.0,0.0,0.5,0.5
56,0.0,0.0,0.0,1.0
57,0.1,0.7,0.1,0.1
58,0.2,0.0,0.1,0.7
59,0.2,0.3,0.0,0.5
60,0.0,0.0,0.0,1.0
61,0.1,0.1,0.2,0.6
62,0.0,0.0,0.0,1.0
63,0.0,0.1,0.7,0.2
64,0.0,0.0,0.0,1.0
65,0.1,0.0,0.2,0.7
66,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,1.0
68,0.1,0.0,0.7,0.2
69,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
71,0.1,0.9,0.0,0.0
72,0.4,0.6,0.0,0.0
73,0.0,0.1,0.0,0.9
74,0.2,0.0,0.0,0.8
75,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,1.0
77,0.1,0.0,0.1,0.8
78,0.0,0.0,0.1,0.9
79,0.8,0.1,0.0,0.1
80,0.8,0.1,0.0,0.1
81,1.0,0.0,0.0,0.0
82,0.0,0.9,0.0,0.1
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.1,0.6,0.3
87,0.0,0.2,0.3,0.5
88,0.0,0.0,0.0,1.0
89,0.1,0.0,0.0,0.9
90,0.0,0.0,0.0,1.0
91,0.3,0.0,0.0,0.7
92,0.1,0.7,0.1,0.1
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.7,0.0,0.3
96,0.1,0.0,0.0,0.9
97,0.0,0.0,0.0,1.0
98,0.2,0.7,0.0,0.1
99,0.0,0.4,0.0,0.6
100,0.0,0.1,0.0,0.9
101,0.0,0.1,0.1,0.8
102,0.0,1.0,0.0,0.0
103,0.0,0.0,0.0,1.0
104,0.1,0.0,0.0,0.9
105,0.0,0.5,0.3,0.2
106,0.0,0.1,0.0,0.9
107,0.0,0.0,0.2,0.8
108,0.0,0.5,0.1,0.4
109,0.0,0.4,0.6,0.0
110,0.3,0.1,0.1,0.5
111,0.0,0.0,0.0,1.0
112,0.0,0.3,0.4,0.3
113,0.0,0.0,0.0,1.0
114,0.2,0.1,0.0,0.7
115,0.0,0.1,0.1,0.8
116,0.3,0.1,0.0,0.6
117,0.0,0.1,0.1,0.8
118,0.1,0.0,0.0,0.9
119,0.0,0.3,0.0,0.7
120,0.0,0.0,0.4,0.6
121,0.1,0.3,0.0,0.6
122,0.0,0.3,0.3,0.4
123,0.0,0.0,0.1,0.9
124,0.0,0.1,0.0,0.9
125,0.0,0.1,0.0,0.9
126,0.0,0.1,0.0,0.9
127,0.0,0.0,0.0,1.0
128,0.0,0.0,0.0,1.0
129,0.0,0.0,0.2,0.8
130,0.0,0.0,0.0,1.0
131,0.0,0.0,0.0,1.0
132,0.0,0.0,0.0,1.0
133,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,1.0
135,0.0,0.0,0.0,1.0
136,0.1,0.8,0.0,0.1
137,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.0,1.0
141,0.1,0.5,0.0,0.4
142,0.8,0.1,0.1,0.0
143,0.0,0.0,0.0,1.0
