,20th century,Unknown,Pre-1900s,21st century
0,0.0,1.0,0.0,0.0
1,0.0,0.9,0.0,0.1
2,0.1,0.3,0.0,0.6
3,0.2,0.6,0.0,0.2
4,0.0,1.0,0.0,0.0
5,0.9,0.1,0.0,0.0
6,0.7,0.3,0.0,0.0
7,1.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.2,0.7,0.0,0.1
10,0.6,0.4,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,0.0,0.9,0.0,0.1
14,0.0,1.0,0.0,0.0
15,0.6,0.0,0.4,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.3,0.7,0.0
19,0.0,1.0,0.0,0.0
20,0.0,1.0,0.0,0.0
21,0.0,0.8,0.2,0.0
22,0.0,1.0,0.0,0.0
23,0.8,0.0,0.2,0.0
24,0.1,0.5,0.0,0.4
25,0.0,1.0,0.0,0.0
26,0.2,0.2,0.0,0.6
27,0.2,0.4,0.0,0.4
28,0.1,0.3,0.0,0.6
29,0.0,1.0,0.0,0.0
30,0.0,0.5,0.0,0.5
31,0.9,0.1,0.0,0.0
32,0.5,0.5,0.0,0.0
33,0.2,0.7,0.1,0.0
34,0.0,1.0,0.0,0.0
35,0.1,0.9,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.0,0.7,0.3,0.0
38,0.0,1.0,0.0,0.0
39,0.0,0.8,0.0,0.2
40,0.0,1.0,0.0,0.0
41,0.3,0.1,0.6,0.0
42,0.1,0.1,0.8,0.0
43,0.4,0.6,0.0,0.0
44,0.4,0.6,0.0,0.0
45,0.2,0.8,0.0,0.0
46,0.1,0.9,0.0,0.0
47,1.0,0.0,0.0,0.0
48,0.3,0.1,0.6,0.0
49,0.1,0.8,0.0,0.1
50,0.0,1.0,0.0,0.0
51,0.0,1.0,0.0,0.0
52,0.0,1.0,0.0,0.0
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,0.5,0.5,0.0
56,0.0,1.0,0.0,0.0
57,0.7,0.1,0.1,0.1
58,0.0,0.7,0.1,0.2
59,0.3,0.5,0.0,0.2
60,0.0,1.0,0.0,0.0
61,0.1,0.6,0.2,0.1
62,0.0,1.0,0.0,0.0
63,0.1,0.2,0.7,0.0
64,0.0,1.0,0.0,0.0
65,0.0,0.7,0.2,0.1
66,0.0,1.0,0.0,0.0
67,0.0,1.0,0.0,0.0
68,0.0,0.2,0.7,0.1
69,0.0,1.0,0.0,0.0
70,0.0,1.0,0.0,0.0
71,0.9,0.0,0.0,0.1
72,0.6,0.0,0.0,0.4
73,0.1,0.9,0.0,0.0
74,0.0,0.8,0.0,0.2
75,0.0,1.0,0.0,0.0
76,0.0,1.0,0.0,0.0
77,0.0,0.8,0.1,0.1
78,0.0,0.9,0.1,0.0
79,0.1,0.1,0.0,0.8
80,0.1,0.1,0.0,0.8
81,0.0,0.0,0.0,1.0
82,0.9,0.1,0.0,0.0
83,0.0,1.0,0.0,0.0
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.1,0.3,0.6,0.0
87,0.2,0.5,0.3,0.0
88,0.0,1.0,0.0,0.0
89,0.0,0.9,0.0,0.1
90,0.0,1.0,0.0,0.0
91,0.0,0.7,0.0,0.3
92,0.7,0.1,0.1,0.1
93,0.0,1.0,0.0,0.0
94,0.0,1.0,0.0,0.0
95,0.7,0.3,0.0,0.0
96,0.0,0.9,0.0,0.1
97,0.0,1.0,0.0,0.0
98,0.7,0.1,0.0,0.2
99,0.4,0.6,0.0,0.0
100,0.1,0.9,0.0,0.0
101,0.1,0.8,0.1,0.0
102,1.0,0.0,0.0,0.0
103,0.0,1.0,0.0,0.0
104,0.0,0.9,0.0,0.1
105,0.5,0.2,0.3,0.0
106,0.1,0.9,0.0,0.0
107,0.0,0.8,0.2,0.0
108,0.5,0.4,0.1,0.0
109,0.4,0.0,0.6,0.0
110,0.1,0.5,0.1,0.3
111,0.0,1.0,0.0,0.0
112,0.3,0.3,0.4,0.0
113,0.0,1.0,0.0,0.0
114,0.1,0.7,0.0,0.2
115,0.1,0.8,0.1,0.0
116,0.1,0.6,0.0,0.3
117,0.1,0.8,0.1,0.0
118,0.0,0.9,0.0,0.1
119,0.3,0.7,0.0,0.0
120,0.0,0.6,0.4,0.0
121,0.3,0.6,0.0,0.1
122,0.3,0.4,0.3,0.0
123,0.0,0.9,0.1,0.0
124,0.1,0.9,0.0,0.0
125,0.1,0.9,0.0,0.0
126,0.1,0.9,0.0,0.0
127,0.0,1.0,0.0,0.0
128,0.0,1.0,0.0,0.0
129,0.0,0.8,0.2,0.0
130,0.0,1.0,0.0,0.0
131,0.0,1.0,0.0,0.0
132,0.0,1.0,0.0,0.0
133,0.0,1.0,0.0,0.0
134,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0
136,0.8,0.1,0.0,0.1
137,0.0,1.0,0.0,0.0
138,0.0,1.0,0.0,0.0
139,0.0,1.0,0.0,0.0
140,0.0,1.0,0.0,0.0
141,0.5,0.4,0.0,0.1
142,0.1,0.0,0.1,0.8
143,0.0,1.0,0.0,0.0
