,e-k,l-r,s-,a-d
0,1.0,0.0,0.0,0.0
1,0.2,0.3,0.3,0.2
2,0.2,0.2,0.2,0.4
3,0.5,0.2,0.1,0.2
4,0.3,0.0,0.0,0.7
5,0.3,0.0,0.3,0.4
6,0.2,0.5,0.3,0.0
7,0.2,0.3,0.5,0.0
8,0.1,0.3,0.3,0.3
9,0.3,0.4,0.2,0.1
10,0.2,0.3,0.5,0.0
11,0.2,0.2,0.3,0.3
12,0.7,0.0,0.2,0.1
13,0.1,0.2,0.6,0.1
14,0.2,0.4,0.0,0.4
15,0.5,0.2,0.2,0.1
16,0.2,0.3,0.2,0.3
17,0.2,0.3,0.2,0.3
18,0.1,0.3,0.1,0.5
19,0.2,0.2,0.3,0.3
20,0.3,0.4,0.0,0.3
21,0.1,0.4,0.3,0.2
22,0.2,0.4,0.3,0.1
23,0.6,0.1,0.0,0.3
24,0.4,0.1,0.1,0.4
25,0.5,0.2,0.2,0.1
26,0.3,0.2,0.4,0.1
27,0.2,0.5,0.3,0.0
28,0.3,0.3,0.2,0.2
29,0.4,0.2,0.2,0.2
30,0.4,0.3,0.3,0.0
31,0.0,0.6,0.2,0.2
32,0.3,0.5,0.0,0.2
33,0.2,0.2,0.1,0.5
34,0.8,0.0,0.0,0.2
35,0.0,0.6,0.2,0.2
36,0.2,0.4,0.2,0.2
37,0.3,0.4,0.2,0.1
38,0.0,0.3,0.4,0.3
39,0.2,0.2,0.2,0.4
40,0.2,0.2,0.4,0.2
41,0.0,0.3,0.3,0.4
42,0.3,0.0,0.3,0.4
43,0.3,0.3,0.1,0.3
44,0.1,0.4,0.0,0.5
45,0.2,0.3,0.1,0.4
46,0.3,0.2,0.2,0.3
47,0.3,0.2,0.3,0.2
48,0.6,0.1,0.2,0.1
49,0.1,0.3,0.3,0.3
50,0.3,0.3,0.0,0.4
51,0.0,0.3,0.4,0.3
52,0.2,0.4,0.1,0.3
53,0.5,0.1,0.3,0.1
54,0.5,0.0,0.0,0.5
55,0.4,0.2,0.3,0.1
56,0.1,0.3,0.3,0.3
57,0.3,0.3,0.0,0.4
58,0.5,0.1,0.1,0.3
59,0.3,0.2,0.1,0.4
60,0.0,0.5,0.1,0.4
61,0.6,0.0,0.2,0.2
62,0.0,0.0,0.0,1.0
63,0.6,0.3,0.0,0.1
64,0.4,0.3,0.1,0.2
65,0.2,0.3,0.2,0.3
66,0.0,0.0,0.0,1.0
67,0.0,1.0,0.0,0.0
68,0.1,0.3,0.3,0.3
69,0.1,0.3,0.2,0.4
70,0.0,1.0,0.0,0.0
71,0.4,0.2,0.1,0.3
72,0.5,0.2,0.2,0.1
73,0.2,0.3,0.1,0.4
74,0.4,0.1,0.1,0.4
75,0.1,0.2,0.4,0.3
76,0.0,0.9,0.0,0.1
77,0.3,0.2,0.2,0.3
78,0.5,0.2,0.0,0.3
79,0.3,0.1,0.3,0.3
80,0.3,0.2,0.2,0.3
81,0.4,0.3,0.2,0.1
82,0.4,0.1,0.4,0.1
83,0.1,0.3,0.2,0.4
84,0.0,0.0,0.0,1.0
85,0.6,0.0,0.1,0.3
86,0.4,0.3,0.1,0.2
87,0.1,0.2,0.4,0.3
88,0.0,0.9,0.1,0.0
89,0.1,0.1,0.6,0.2
90,0.1,0.3,0.0,0.6
91,0.4,0.2,0.2,0.2
92,0.2,0.4,0.3,0.1
93,0.3,0.3,0.3,0.1
94,0.3,0.6,0.0,0.1
95,0.4,0.4,0.1,0.1
96,0.4,0.1,0.2,0.3
97,0.3,0.2,0.1,0.4
98,0.5,0.2,0.1,0.2
99,0.2,0.1,0.5,0.2
100,0.5,0.4,0.1,0.0
101,0.4,0.4,0.2,0.0
102,0.0,0.0,1.0,0.0
103,0.0,0.9,0.1,0.0
104,0.2,0.3,0.0,0.5
105,0.3,0.1,0.5,0.1
106,0.1,0.3,0.0,0.6
107,0.3,0.2,0.3,0.2
108,0.2,0.3,0.2,0.3
109,0.5,0.2,0.0,0.3
110,0.2,0.4,0.4,0.0
111,0.0,0.2,0.4,0.4
112,0.0,1.0,0.0,0.0
113,0.3,0.4,0.1,0.2
114,0.3,0.2,0.3,0.2
115,0.2,0.4,0.1,0.3
116,0.5,0.2,0.3,0.0
117,0.0,0.6,0.1,0.3
118,0.3,0.2,0.3,0.2
119,0.2,0.1,0.2,0.5
120,0.5,0.2,0.2,0.1
121,0.1,0.3,0.2,0.4
122,0.1,0.2,0.6,0.1
123,0.5,0.4,0.0,0.1
124,0.2,0.2,0.4,0.2
125,0.6,0.0,0.1,0.3
126,0.7,0.0,0.2,0.1
127,0.1,0.2,0.4,0.3
128,0.3,0.1,0.3,0.3
129,0.5,0.2,0.2,0.1
130,0.3,0.1,0.3,0.3
131,0.0,0.3,0.1,0.6
132,0.1,0.4,0.3,0.2
133,0.2,0.8,0.0,0.0
134,0.1,0.5,0.3,0.1
135,0.4,0.2,0.3,0.1
136,0.4,0.2,0.2,0.2
137,0.3,0.3,0.3,0.1
138,0.6,0.3,0.1,0.0
139,0.1,0.5,0.3,0.1
140,0.3,0.2,0.5,0.0
141,0.0,0.3,0.6,0.1
142,0.2,0.5,0.1,0.2
143,0.3,0.3,0.1,0.3
