,Medium-High,High,Low,Medium-Low
0,0.3,0.0,0.0,0.7
1,0.4,0.0,0.6,0.0
2,0.6,0.2,0.1,0.1
3,0.2,0.0,0.1,0.7
4,0.1,0.0,0.8,0.1
5,0.1,0.0,0.2,0.7
6,0.2,0.0,0.0,0.8
7,0.2,0.0,0.0,0.8
8,0.1,0.1,0.4,0.4
9,0.0,0.0,0.9,0.1
10,0.0,0.0,0.7,0.3
11,0.2,0.0,0.2,0.6
12,0.2,0.0,0.2,0.6
13,0.0,0.0,0.3,0.7
14,0.0,0.0,1.0,0.0
15,0.1,0.0,0.8,0.1
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.2,0.0,0.5,0.3
19,0.2,0.0,0.7,0.1
20,0.1,0.3,0.3,0.3
21,0.1,0.0,0.6,0.3
22,0.5,0.0,0.2,0.3
23,0.0,0.0,0.9,0.1
24,0.1,0.0,0.0,0.9
25,0.1,0.0,0.5,0.4
26,0.0,0.0,0.7,0.3
27,0.0,0.0,0.7,0.3
28,0.2,0.2,0.0,0.6
29,0.1,0.0,0.9,0.0
30,0.1,0.0,0.5,0.4
31,0.1,0.1,0.7,0.1
32,0.0,0.0,1.0,0.0
33,0.1,0.0,0.4,0.5
34,0.0,0.0,1.0,0.0
35,0.2,0.3,0.3,0.2
36,0.0,0.0,0.5,0.5
37,0.1,0.0,0.7,0.2
38,0.3,0.1,0.3,0.3
39,0.0,0.0,1.0,0.0
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
42,0.0,0.0,1.0,0.0
43,0.5,0.3,0.2,0.0
44,0.5,0.2,0.2,0.1
45,0.2,0.0,0.3,0.5
46,0.2,0.0,0.7,0.1
47,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
49,0.4,0.3,0.1,0.2
50,0.0,0.0,0.9,0.1
51,0.2,0.0,0.8,0.0
52,0.0,0.0,0.8,0.2
53,0.2,0.0,0.6,0.2
54,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0
56,0.1,0.0,0.7,0.2
57,0.0,0.0,0.9,0.1
58,0.0,0.0,0.4,0.6
59,0.1,0.0,0.7,0.2
60,0.0,0.0,1.0,0.0
61,0.1,0.0,0.5,0.4
62,0.3,0.0,0.3,0.4
63,0.0,0.0,0.8,0.2
64,0.0,0.0,1.0,0.0
65,0.2,0.0,0.6,0.2
66,0.0,0.0,0.9,0.1
67,0.4,0.0,0.0,0.6
68,0.0,0.0,0.7,0.3
69,0.5,0.4,0.0,0.1
70,0.2,0.1,0.2,0.5
71,0.0,0.0,1.0,0.0
72,0.0,0.0,1.0,0.0
73,0.2,0.2,0.3,0.3
74,0.0,0.0,1.0,0.0
75,0.0,0.0,1.0,0.0
76,0.4,0.1,0.2,0.3
77,0.2,0.1,0.3,0.4
78,0.2,0.0,0.6,0.2
79,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,1.0
81,0.1,0.1,0.1,0.7
82,0.0,0.0,0.8,0.2
83,0.0,0.0,1.0,0.0
84,0.0,0.0,1.0,0.0
85,0.0,0.0,1.0,0.0
86,0.1,0.0,0.5,0.4
87,0.0,0.0,0.9,0.1
88,0.5,0.0,0.2,0.3
89,0.0,0.0,1.0,0.0
90,0.0,0.0,1.0,0.0
91,0.0,0.0,1.0,0.0
92,0.0,0.0,0.8,0.2
93,0.0,0.0,1.0,0.0
94,0.0,0.0,1.0,0.0
95,0.1,0.0,0.8,0.1
96,0.3,0.2,0.2,0.3
97,0.0,0.0,1.0,0.0
98,0.0,0.0,0.9,0.1
99,0.1,0.0,0.4,0.5
100,0.0,0.1,0.3,0.6
101,0.3,0.1,0.2,0.4
102,0.0,0.0,1.0,0.0
103,0.3,0.5,0.0,0.2
104,0.1,0.0,0.7,0.2
105,0.0,0.0,0.9,0.1
106,0.1,0.1,0.7,0.1
107,0.3,0.0,0.1,0.6
108,0.1,0.0,0.9,0.0
109,0.0,0.0,1.0,0.0
110,0.6,0.1,0.1,0.2
111,0.3,0.1,0.4,0.2
112,0.1,0.9,0.0,0.0
113,0.1,0.3,0.4,0.2
114,0.0,0.0,1.0,0.0
115,0.0,0.1,0.7,0.2
116,0.0,0.0,1.0,0.0
117,0.2,0.7,0.0,0.1
118,0.1,0.2,0.3,0.4
119,0.3,0.1,0.2,0.4
120,0.0,0.0,1.0,0.0
121,0.0,0.0,0.6,0.4
122,0.3,0.1,0.5,0.1
123,0.0,0.1,0.8,0.1
124,0.0,0.0,1.0,0.0
125,0.0,0.0,1.0,0.0
126,0.0,0.0,1.0,0.0
127,0.0,0.0,0.7,0.3
128,0.0,0.0,0.7,0.3
129,0.0,0.0,1.0,0.0
130,0.0,0.0,1.0,0.0
131,0.0,0.0,1.0,0.0
132,0.1,0.1,0.4,0.4
133,0.6,0.2,0.2,0.0
134,0.4,0.0,0.4,0.2
135,0.0,0.0,1.0,0.0
136,0.0,0.0,1.0,0.0
137,0.0,0.0,1.0,0.0
138,0.0,0.0,1.0,0.0
139,0.0,0.0,1.0,0.0
140,0.0,0.0,0.9,0.1
141,0.0,0.1,0.9,0.0
142,0.0,0.0,1.0,0.0
143,0.3,0.0,0.0,0.7
