,e-k,s-,a-d,l-r
0,1.0,0.0,0.0,0.0
1,0.2,0.3,0.2,0.3
2,0.2,0.2,0.4,0.2
3,0.5,0.1,0.2,0.2
4,0.3,0.0,0.7,0.0
5,0.3,0.3,0.4,0.0
6,0.2,0.3,0.0,0.5
7,0.2,0.5,0.0,0.3
8,0.1,0.3,0.3,0.3
9,0.3,0.2,0.1,0.4
10,0.2,0.5,0.0,0.3
11,0.2,0.3,0.3,0.2
12,0.7,0.2,0.1,0.0
13,0.1,0.6,0.1,0.2
14,0.2,0.0,0.4,0.4
15,0.5,0.2,0.1,0.2
16,0.2,0.2,0.3,0.3
17,0.2,0.2,0.3,0.3
18,0.1,0.1,0.5,0.3
19,0.2,0.3,0.3,0.2
20,0.3,0.0,0.3,0.4
21,0.1,0.3,0.2,0.4
22,0.2,0.3,0.1,0.4
23,0.6,0.0,0.3,0.1
24,0.4,0.1,0.4,0.1
25,0.5,0.2,0.1,0.2
26,0.3,0.4,0.1,0.2
27,0.2,0.3,0.0,0.5
28,0.3,0.2,0.2,0.3
29,0.4,0.2,0.2,0.2
30,0.4,0.3,0.0,0.3
31,0.0,0.2,0.2,0.6
32,0.3,0.0,0.2,0.5
33,0.2,0.1,0.5,0.2
34,0.8,0.0,0.2,0.0
35,0.0,0.2,0.2,0.6
36,0.2,0.2,0.2,0.4
37,0.3,0.2,0.1,0.4
38,0.0,0.4,0.3,0.3
39,0.2,0.2,0.4,0.2
40,0.2,0.4,0.2,0.2
41,0.0,0.3,0.4,0.3
42,0.3,0.3,0.4,0.0
43,0.3,0.1,0.3,0.3
44,0.1,0.0,0.5,0.4
45,0.2,0.1,0.4,0.3
46,0.3,0.2,0.3,0.2
47,0.3,0.3,0.2,0.2
48,0.6,0.2,0.1,0.1
49,0.1,0.3,0.3,0.3
50,0.3,0.0,0.4,0.3
51,0.0,0.4,0.3,0.3
52,0.2,0.1,0.3,0.4
53,0.5,0.3,0.1,0.1
54,0.5,0.0,0.5,0.0
55,0.4,0.3,0.1,0.2
56,0.1,0.3,0.3,0.3
57,0.3,0.0,0.4,0.3
58,0.5,0.1,0.3,0.1
59,0.3,0.1,0.4,0.2
60,0.0,0.1,0.4,0.5
61,0.6,0.2,0.2,0.0
62,0.0,0.0,1.0,0.0
63,0.6,0.0,0.1,0.3
64,0.4,0.1,0.2,0.3
65,0.2,0.2,0.3,0.3
66,0.0,0.0,1.0,0.0
67,0.0,0.0,0.0,1.0
68,0.1,0.3,0.3,0.3
69,0.1,0.2,0.4,0.3
70,0.0,0.0,0.0,1.0
71,0.4,0.1,0.3,0.2
72,0.5,0.2,0.1,0.2
73,0.2,0.1,0.4,0.3
74,0.4,0.1,0.4,0.1
75,0.1,0.4,0.3,0.2
76,0.0,0.0,0.1,0.9
77,0.3,0.2,0.3,0.2
78,0.5,0.0,0.3,0.2
79,0.3,0.3,0.3,0.1
80,0.3,0.2,0.3,0.2
81,0.4,0.2,0.1,0.3
82,0.4,0.4,0.1,0.1
83,0.1,0.2,0.4,0.3
84,0.0,0.0,1.0,0.0
85,0.6,0.1,0.3,0.0
86,0.4,0.1,0.2,0.3
87,0.1,0.4,0.3,0.2
88,0.0,0.1,0.0,0.9
89,0.1,0.6,0.2,0.1
90,0.1,0.0,0.6,0.3
91,0.4,0.2,0.2,0.2
92,0.2,0.3,0.1,0.4
93,0.3,0.3,0.1,0.3
94,0.3,0.0,0.1,0.6
95,0.4,0.1,0.1,0.4
96,0.4,0.2,0.3,0.1
97,0.3,0.1,0.4,0.2
98,0.5,0.1,0.2,0.2
99,0.2,0.5,0.2,0.1
100,0.5,0.1,0.0,0.4
101,0.4,0.2,0.0,0.4
102,0.0,1.0,0.0,0.0
103,0.0,0.1,0.0,0.9
104,0.2,0.0,0.5,0.3
105,0.3,0.5,0.1,0.1
106,0.1,0.0,0.6,0.3
107,0.3,0.3,0.2,0.2
108,0.2,0.2,0.3,0.3
109,0.5,0.0,0.3,0.2
110,0.2,0.4,0.0,0.4
111,0.0,0.4,0.4,0.2
112,0.0,0.0,0.0,1.0
113,0.3,0.1,0.2,0.4
114,0.3,0.3,0.2,0.2
115,0.2,0.1,0.3,0.4
116,0.5,0.3,0.0,0.2
117,0.0,0.1,0.3,0.6
118,0.3,0.3,0.2,0.2
119,0.2,0.2,0.5,0.1
120,0.5,0.2,0.1,0.2
121,0.1,0.2,0.4,0.3
122,0.1,0.6,0.1,0.2
123,0.5,0.0,0.1,0.4
124,0.2,0.4,0.2,0.2
125,0.6,0.1,0.3,0.0
126,0.7,0.2,0.1,0.0
127,0.1,0.4,0.3,0.2
128,0.3,0.3,0.3,0.1
129,0.5,0.2,0.1,0.2
130,0.3,0.3,0.3,0.1
131,0.0,0.1,0.6,0.3
132,0.1,0.3,0.2,0.4
133,0.2,0.0,0.0,0.8
134,0.1,0.3,0.1,0.5
135,0.4,0.3,0.1,0.2
136,0.4,0.2,0.2,0.2
137,0.3,0.3,0.1,0.3
138,0.6,0.1,0.0,0.3
139,0.1,0.3,0.1,0.5
140,0.3,0.5,0.0,0.2
141,0.0,0.6,0.1,0.3
142,0.2,0.1,0.2,0.5
143,0.3,0.1,0.3,0.3
