,Low,High,Medium-High,Medium-Low
0,0.0,0.0,0.0,1.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,2.0
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,4.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,2.0
14,4.0,0.0,0.0,0.0
15,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,3.0,0.0,2.0,1.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,1.0,0.0
22,1.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,1.0
25,1.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,4.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,8.0,0.0,0.0,0.0
33,0.0,0.0,1.0,2.0
34,3.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,2.0
37,0.0,0.0,0.0,0.0
38,0.0,1.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,9.0,0.0,0.0,0.0
41,3.0,0.0,0.0,0.0
42,5.0,0.0,0.0,0.0
43,0.0,0.0,1.0,0.0
44,0.0,0.0,1.0,0.0
45,2.0,0.0,0.0,1.0
46,0.0,0.0,0.0,0.0
47,4.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.0,1.0,0.0,0.0
50,7.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,2.0,0.0,0.0,1.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,2.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,2.0,0.0,0.0,0.0
58,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,8.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,1.0,2.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,2.0,0.0,0.0,0.0
71,5.0,0.0,0.0,0.0
72,8.0,0.0,0.0,0.0
73,1.0,0.0,0.0,1.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,1.0,0.0,1.0,0.0
77,1.0,1.0,1.0,1.0
78,1.0,0.0,0.0,0.0
79,0.0,0.0,0.0,3.0
80,0.0,0.0,0.0,3.0
81,1.0,0.0,0.0,2.0
82,6.0,0.0,0.0,1.0
83,3.0,0.0,0.0,0.0
84,10.0,0.0,0.0,0.0
85,2.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,7.0,0.0,0.0,0.0
88,2.0,0.0,0.0,1.0
89,0.0,0.0,0.0,0.0
90,7.0,0.0,0.0,0.0
91,7.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,4.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,7.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,1.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,1.0
104,0.0,0.0,0.0,0.0
105,3.0,0.0,0.0,0.0
106,3.0,0.0,0.0,0.0
107,0.0,0.0,0.0,1.0
108,2.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,1.0,0.0
111,0.0,0.0,1.0,0.0
112,0.0,5.0,1.0,0.0
113,2.0,0.0,0.0,1.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,4.0,0.0,0.0,0.0
117,0.0,2.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,5.0,0.0,0.0,0.0
121,1.0,0.0,0.0,2.0
122,2.0,0.0,0.0,1.0
123,0.0,0.0,0.0,0.0
124,8.0,0.0,0.0,0.0
125,9.0,0.0,0.0,0.0
126,2.0,0.0,0.0,0.0
127,2.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,5.0,0.0,0.0,0.0
130,2.0,0.0,0.0,0.0
131,2.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,2.0,2.0,3.0,0.0
134,1.0,0.0,2.0,0.0
135,2.0,0.0,0.0,0.0
136,3.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,2.0,0.0,0.0,0.0
139,4.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,9.0,0.0,0.0,0.0
143,0.0,0.0,2.0,6.0
