,Low,High,Medium-High,Medium-Low
0,0.0,0.0,0.3,0.7
1,0.6,0.0,0.4,0.0
2,0.1,0.2,0.6,0.1
3,0.1,0.0,0.2,0.7
4,0.8,0.0,0.1,0.1
5,0.2,0.0,0.1,0.7
6,0.0,0.0,0.2,0.8
7,0.0,0.0,0.2,0.8
8,0.4,0.1,0.1,0.4
9,0.9,0.0,0.0,0.1
10,0.7,0.0,0.0,0.3
11,0.2,0.0,0.2,0.6
12,0.2,0.0,0.2,0.6
13,0.3,0.0,0.0,0.7
14,1.0,0.0,0.0,0.0
15,0.8,0.0,0.1,0.1
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,0.5,0.0,0.2,0.3
19,0.7,0.0,0.2,0.1
20,0.3,0.3,0.1,0.3
21,0.6,0.0,0.1,0.3
22,0.2,0.0,0.5,0.3
23,0.9,0.0,0.0,0.1
24,0.0,0.0,0.1,0.9
25,0.5,0.0,0.1,0.4
26,0.7,0.0,0.0,0.3
27,0.7,0.0,0.0,0.3
28,0.0,0.2,0.2,0.6
29,0.9,0.0,0.1,0.0
30,0.5,0.0,0.1,0.4
31,0.7,0.1,0.1,0.1
32,1.0,0.0,0.0,0.0
33,0.4,0.0,0.1,0.5
34,1.0,0.0,0.0,0.0
35,0.3,0.3,0.2,0.2
36,0.5,0.0,0.0,0.5
37,0.7,0.0,0.1,0.2
38,0.3,0.1,0.3,0.3
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,0.2,0.3,0.5,0.0
44,0.2,0.2,0.5,0.1
45,0.3,0.0,0.2,0.5
46,0.7,0.0,0.2,0.1
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,0.1,0.3,0.4,0.2
50,0.9,0.0,0.0,0.1
51,0.8,0.0,0.2,0.0
52,0.8,0.0,0.0,0.2
53,0.6,0.0,0.2,0.2
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,0.7,0.0,0.1,0.2
57,0.9,0.0,0.0,0.1
58,0.4,0.0,0.0,0.6
59,0.7,0.0,0.1,0.2
60,1.0,0.0,0.0,0.0
61,0.5,0.0,0.1,0.4
62,0.3,0.0,0.3,0.4
63,0.8,0.0,0.0,0.2
64,1.0,0.0,0.0,0.0
65,0.6,0.0,0.2,0.2
66,0.9,0.0,0.0,0.1
67,0.0,0.0,0.4,0.6
68,0.7,0.0,0.0,0.3
69,0.0,0.4,0.5,0.1
70,0.2,0.1,0.2,0.5
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,0.3,0.2,0.2,0.3
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,0.2,0.1,0.4,0.3
77,0.3,0.1,0.2,0.4
78,0.6,0.0,0.2,0.2
79,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,1.0
81,0.1,0.1,0.1,0.7
82,0.8,0.0,0.0,0.2
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,0.5,0.0,0.1,0.4
87,0.9,0.0,0.0,0.1
88,0.2,0.0,0.5,0.3
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,0.8,0.0,0.0,0.2
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,0.8,0.0,0.1,0.1
96,0.2,0.2,0.3,0.3
97,1.0,0.0,0.0,0.0
98,0.9,0.0,0.0,0.1
99,0.4,0.0,0.1,0.5
100,0.3,0.1,0.0,0.6
101,0.2,0.1,0.3,0.4
102,1.0,0.0,0.0,0.0
103,0.0,0.5,0.3,0.2
104,0.7,0.0,0.1,0.2
105,0.9,0.0,0.0,0.1
106,0.7,0.1,0.1,0.1
107,0.1,0.0,0.3,0.6
108,0.9,0.0,0.1,0.0
109,1.0,0.0,0.0,0.0
110,0.1,0.1,0.6,0.2
111,0.4,0.1,0.3,0.2
112,0.0,0.9,0.1,0.0
113,0.4,0.3,0.1,0.2
114,1.0,0.0,0.0,0.0
115,0.7,0.1,0.0,0.2
116,1.0,0.0,0.0,0.0
117,0.0,0.7,0.2,0.1
118,0.3,0.2,0.1,0.4
119,0.2,0.1,0.3,0.4
120,1.0,0.0,0.0,0.0
121,0.6,0.0,0.0,0.4
122,0.5,0.1,0.3,0.1
123,0.8,0.1,0.0,0.1
124,1.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,0.7,0.0,0.0,0.3
128,0.7,0.0,0.0,0.3
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0
132,0.4,0.1,0.1,0.4
133,0.2,0.2,0.6,0.0
134,0.4,0.0,0.4,0.2
135,1.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0
137,1.0,0.0,0.0,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,0.9,0.0,0.0,0.1
141,0.9,0.1,0.0,0.0
142,1.0,0.0,0.0,0.0
143,0.0,0.0,0.3,0.7
