,2017-2022,2012-2016,2007-2011,2001-2006
0,0.1,0.0,0.1,0.8
1,0.0,0.1,0.1,0.8
2,0.0,0.0,0.8,0.2
3,0.1,0.0,0.3,0.6
4,0.0,0.1,0.5,0.4
5,0.0,0.0,0.1,0.9
6,0.0,0.1,0.0,0.9
7,0.0,0.1,0.0,0.9
8,0.1,0.1,0.3,0.5
9,0.0,0.2,0.5,0.3
10,0.1,0.1,0.2,0.6
11,0.0,0.0,0.2,0.8
12,0.0,0.0,0.2,0.8
13,0.0,0.0,0.2,0.8
14,0.0,0.3,0.4,0.3
15,0.0,0.4,0.4,0.2
16,0.0,0.0,0.0,1.0
17,0.0,0.0,0.1,0.9
18,0.2,0.1,0.2,0.5
19,0.0,0.0,0.6,0.4
20,0.0,0.1,0.2,0.7
21,0.4,0.1,0.3,0.2
22,0.2,0.0,0.5,0.3
23,0.3,0.1,0.4,0.2
24,0.0,0.0,0.6,0.4
25,0.6,0.0,0.1,0.3
26,0.1,0.2,0.2,0.5
27,0.2,0.1,0.1,0.6
28,0.0,0.0,0.6,0.4
29,0.0,0.1,0.4,0.5
30,0.2,0.1,0.1,0.6
31,0.2,0.0,0.3,0.5
32,0.1,0.0,0.2,0.7
33,0.1,0.1,0.3,0.5
34,0.0,0.9,0.1,0.0
35,0.1,0.1,0.0,0.8
36,0.2,0.0,0.0,0.8
37,0.0,0.0,0.2,0.8
38,0.2,0.4,0.1,0.3
39,0.0,0.2,0.6,0.2
40,0.0,0.0,0.9,0.1
41,1.0,0.0,0.0,0.0
42,0.0,0.1,0.0,0.9
43,0.1,0.1,0.0,0.8
44,0.0,0.0,0.1,0.9
45,0.0,0.4,0.1,0.5
46,0.2,0.1,0.3,0.4
47,0.0,0.4,0.6,0.0
48,0.1,0.1,0.4,0.4
49,0.0,0.0,0.4,0.6
50,0.0,0.0,0.9,0.1
51,0.0,0.0,0.4,0.6
52,0.1,0.0,0.6,0.3
53,0.1,0.6,0.2,0.1
54,0.0,0.8,0.2,0.0
55,0.3,0.1,0.3,0.3
56,0.1,0.0,0.5,0.4
57,0.1,0.3,0.6,0.0
58,0.2,0.0,0.3,0.5
59,0.1,0.0,0.6,0.3
60,0.0,0.1,0.6,0.3
61,0.1,0.3,0.2,0.4
62,0.0,0.0,1.0,0.0
63,0.0,0.4,0.5,0.1
64,0.0,0.0,1.0,0.0
65,0.0,0.0,0.3,0.7
66,0.0,0.0,1.0,0.0
67,0.0,0.0,0.9,0.1
68,0.1,0.1,0.4,0.4
69,0.2,0.1,0.3,0.4
70,0.0,0.3,0.6,0.1
71,0.0,0.0,1.0,0.0
72,0.0,0.0,1.0,0.0
73,0.2,0.4,0.1,0.3
74,0.0,0.5,0.3,0.2
75,0.1,0.0,0.6,0.3
76,0.0,0.0,0.3,0.7
77,0.1,0.0,0.2,0.7
78,0.1,0.1,0.4,0.4
79,0.0,0.0,0.4,0.6
80,0.0,0.0,0.8,0.2
81,0.0,0.0,0.8,0.2
82,0.0,0.0,0.9,0.1
83,0.0,0.6,0.4,0.0
84,0.0,1.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,0.0,0.1,0.4,0.5
87,1.0,0.0,0.0,0.0
88,0.1,0.2,0.3,0.4
89,0.0,1.0,0.0,0.0
90,0.0,0.8,0.2,0.0
91,0.0,0.9,0.1,0.0
92,0.2,0.1,0.6,0.1
93,0.1,0.9,0.0,0.0
94,0.0,0.9,0.1,0.0
95,0.2,0.2,0.4,0.2
96,0.1,0.2,0.1,0.6
97,0.0,0.7,0.3,0.0
98,0.0,0.5,0.5,0.0
99,0.0,0.6,0.4,0.0
100,0.1,0.2,0.3,0.4
101,0.1,0.0,0.0,0.9
102,0.0,1.0,0.0,0.0
103,0.0,0.4,0.3,0.3
104,0.0,0.8,0.0,0.2
105,0.0,0.2,0.5,0.3
106,0.5,0.0,0.1,0.4
107,0.0,0.1,0.1,0.8
108,0.0,0.6,0.4,0.0
109,0.0,0.2,0.7,0.1
110,0.2,0.3,0.5,0.0
111,0.4,0.1,0.1,0.4
112,0.0,0.6,0.3,0.1
113,0.1,0.2,0.3,0.4
114,0.2,0.8,0.0,0.0
115,0.2,0.3,0.4,0.1
116,0.4,0.1,0.2,0.3
117,0.0,0.4,0.4,0.2
118,0.0,0.1,0.2,0.7
119,0.0,0.0,0.6,0.4
120,0.9,0.0,0.0,0.1
121,0.3,0.2,0.2,0.3
122,0.2,0.1,0.4,0.3
123,0.3,0.0,0.4,0.3
124,1.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0
127,0.1,0.1,0.6,0.2
128,0.1,0.1,0.7,0.1
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0
132,0.5,0.2,0.0,0.3
133,1.0,0.0,0.0,0.0
134,0.4,0.3,0.3,0.0
135,1.0,0.0,0.0,0.0
136,0.8,0.1,0.1,0.0
137,1.0,0.0,0.0,0.0
138,1.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0
141,0.3,0.4,0.2,0.1
142,0.6,0.0,0.0,0.4
143,0.8,0.0,0.0,0.2
