,a-d,e-k,l-r,s-
0,0.0,3.9999999999999996,1.3333333333333333,0.6666666666666666
1,1.3333333311111109,0.3333333327777777,0.0,0.9999999983333332
2,0.0,0.0,0.0,0.0
3,2.9999999825000003,2.49999998625,2.999999985,0.0
4,2.999999985,1.99999999,0.999999995,3.99999998
5,3.6666666472222222,2.666666652222222,0.0,2.666666652222222
6,0.0,0.4285714284693876,0.9999999998979591,1.142857142653061
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.5999999900000004,1.733333319506173,1.8999999851388893,1.199999990617284
11,0.8333333344444441,0.9999999999999998,0.0,1.8333333344444438
12,0.0,0.0,0.0,0.0
13,0.999999995,0.0,2.999999985,5.999999969999999
14,0.0,0.0,0.0,0.0
15,0.0,3.6000000003999997,1.1333333335333333,0.9333333337333334
16,2.666666652222222,2.3333333194444443,2.3333333194444443,0.999999995
17,1.6666666605555553,0.3333333316666666,1.3333333277777777,1.3333333288888887
18,3.3333333155555556,0.3333333288888889,2.999999985,0.3076923050887574
19,0.0,0.0,0.0,0.0
20,3.99999998,1.99999999,1.99999999,0.0
21,1.99999999,3.99999998,0.999999995,2.999999985
22,0.0,0.0,0.0,0.0
23,3.99999998,4.999999975,0.0,0.999999995
24,1.3333333333333333,2.0,2.1666666679166666,0.6666666666666666
25,0.6666666655555554,1.3333333311111109,0.0,1.3333333311111109
26,0.0,0.0,0.0,0.0
27,0.0,3.99999998,4.499999975,0.999999995
28,0.999999995,3.99999998,2.6666666516666666,0.4999999962500001
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.999999995,0.999999995,2.999999985,4.999999975
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.6666666655555554,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,2.99999999875,2.99999999875,1.499999999375
38,3.857142837244898,0.999999995,0.8571428522448981,3.99999998
39,4.999999975,0.0,0.999999995,3.99999998
40,0.3333333344444442,0.3333333344444442,0.0,0.6666666688888884
41,0.0,0.0,0.0,0.0
42,3.99999998,3.3999999802,0.0,1.99999999
43,0.7999999985333333,0.4666666657555555,0.4666666657555555,0.7999999985333333
44,0.0,0.0,0.0,0.0
45,0.999999995,0.0,0.999999995,0.3333333283333334
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,1.9999999966666662,0.3333333327777777,0.9999999983333332
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
